BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2019;010000024;010780054;M100H;;8;1.21;0;0
BLOCS_P;2019;010000024;010780054;M1030;;16;7.68;1;0
BLOCS_P;2019;010000024;010780054;M200H;;25;8.55;0;1
BLOCS_P;2019;010000024;010780054;N2200;6;2;8.63;0;0
BLOCS_P;2019;010000024;010780054;N2310;15;12;23.52;1;1
BLOCS_P;2019;010000024;010780054;N2320;20;8;23.19;1;1
BLOCS_P;2019;010000024;010780054;N2510;12;3;13.26;0;0
BLOCS_P;2019;010000024;010780054;NAUT;2;;1.75;0;0
BLOCS_P;2019;010000032;010780062;M1030;1;;1;1;0
BLOCS_P;2019;010000032;010780062;M200H;2;;1.9;0;1
BLOCS_P;2019;010000032;010780062;N2200;6;1;7.63;0;1
BLOCS_P;2019;010000032;010780062;N2310;2;2;2.68;0;1
BLOCS_P;2019;010000032;010780062;N2320;2;;2;0;1
BLOCS_P;2019;010000032;010780062;NAUT;5;;5.06;0;0
BLOCS_P;2019;010005239;010008407;M100H;0;0;0.43;;
BLOCS_P;2019;010005239;010008407;M1030;2;3;4.56;;
BLOCS_P;2019;010005239;010008407;M200H;7;1;2.79;;
BLOCS_P;2019;010005239;010008407;N2200;8;2;10.31;;
BLOCS_P;2019;010005239;010008407;N2310;3;2;5.8;;
BLOCS_P;2019;010005239;010008407;N2320;1;1;1.75;;
BLOCS_P;2019;010005239;010008407;N4160;1;0;1;;
BLOCS_P;2019;010005239;010008407;NAUT;2;0;1.35;;
BLOCS_P;2019;010007300;010007292;M100H;0;3;0.75;0;0
BLOCS_P;2019;010007300;010007292;M1030;0;6;0.51;0;0
BLOCS_P;2019;010007300;010007292;M200H;0;6;0.44;0;0
BLOCS_P;2019;010007300;010007292;N2200;0;4;3.1;0;0
BLOCS_P;2019;010007300;010007292;N2310;;1;0.7;0;0
BLOCS_P;2019;010007300;010007292;N4160;1;;1;0;0
BLOCS_P;2019;010007300;010007292;NAUT;0;2;1.62;0;0
BLOCS_P;2019;010780195;010000156;M100H;28;;28;0;1
BLOCS_P;2019;010780195;010000156;M1030;11;1;11.5;1;1
BLOCS_P;2019;010780195;010000156;M200H;48;;48;1;1
BLOCS_P;2019;010780195;010000156;N2310;1;1;1.95;0;1
BLOCS_P;2019;010780195;010000156;N2320;26;6;28.88;0;1
BLOCS_P;2019;010780195;010000156;N2510;14;1;12.67;0;0
BLOCS_P;2019;010780195;010000156;N4160;2;;2.01;0;1
BLOCS_P;2019;010780195;010000156;NAUT;3;;1.59;0;0
BLOCS_P;2019;010780203;010010718;M100H;12;1;13;0;1
BLOCS_P;2019;010780203;010010718;M1030;4;;4;0;1
BLOCS_P;2019;010780203;010010718;M200H;12;14;22;0;1
BLOCS_P;2019;010780203;010010718;N2200;13;;13.33;0;1
BLOCS_P;2019;010780203;010010718;N2310;;;0.01;0;0
BLOCS_P;2019;010780203;010010718;N2320;1;;1.15;0;1
BLOCS_P;2019;010780203;010010718;N2510;2;;2.23;0;0
BLOCS_P;2019;010780203;010010718;N4160;1;;0.69;0;1
BLOCS_P;2019;010780203;010010718;NAUT;4;;4.97;0;0
BLOCS_P;2019;020000162;020000063;M100H;0;3;0.5;0;0
BLOCS_P;2019;020000162;020000063;M1030;3;64;7.9;1;
BLOCS_P;2019;020000162;020000063;M200H;13;20;25.7;0;1
BLOCS_P;2019;020000162;020000063;N2200;17;6;22.98;1;
