BOR;AN;FI;FI_EJ;LIT_REA;SEJ_REA;SEJENF_REA;JOU_REA;LIT_BRU;SEJ;SEJENF;JOU;SAL;TISS;CONVSSR;ACT;VEN;CONS;FILADU;FILENF
BRULES;2019;130783236;130786049;16;623;18;5108;;0;0;0;1;1;;;0;1731;107;12
BRULES;2019;310016977;310781406;;644;619;1995;;0;0;0;0;0;1;113;0;;0;51
BRULES;2019;310783055;310781406;6;76;1;1751;;151;1;1220;;;;938;1;618;137;1
BRULES;2019;330781360;330781196;16;258;13;4351;12;38;20;0;;;;;18;2805;181;17
BRULES;2019;340785161;340780477;9;65;0;837;3;464;14;2262;1;1;1;;7;5235;130;5
BRULES;2019;370004467;370000481;12;301;4;3249;0;0;0;0;1;1;1;1864;0;1635;133;1
BRULES;2019;440000271;440000289;6;79;4;1631;17;720;258;4704;1;1;0;1887;18;;244;78
BRULES;2019;540002698;540023264;;0;0;0;0;156;156;1048;0;1;1;1355;0;2028;0;132
BRULES;2019;570026682;570005165;11;183;5;3951;0;0;0;0;1;0;1;3236;0;1700;151;4
BRULES;2019;590796975;590780193;12;191;14;3520;4;1626;291;0;1;1;1;923;259;5485;362;70
BRULES;2019;690783154;690781810;10;330;166;5470;20;361;10;2857;1;1;0;1875;1;6416;328;132
BRULES;2019;750100075;750712184;15;176;4;3969;5;105;3;1044;1;1;1;3577;0;;143;5
BRULES;2019;750100109;750712184;10;227;227;3433;16;1017;1009;4454;1;1;1;524;43;7995;0;558
BRULES;2019;830100574;750821092;2;35;1;976;6;213;4;1695;1;1;1;1123;0;2515;61;2
BRULES;2019;920120011;750821092;12;133;7;3655;;0;0;0;1;0;0;927;0;941;112;7
BRULES;2019;970100442;970100228;0;41;4;412;;0;0;0;0;0;1;43;24;156;36;3
BRULES;2019;970400024;970408589;6;55;10;1788;1;301;227;0;1;1;1;409;36;936;40;22
