BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
BRULES_P;2019;130783236;130786049;M1030;4;3;4.83;;
BRULES_P;2019;130783236;130786049;N2120;1;;0.52;;
BRULES_P;2019;130783236;130786049;N2200;34;7;37.81;;
BRULES_P;2019;130783236;130786049;N2300;4;1;4.04;;
BRULES_P;2019;130783236;130786049;N2500;22;1;21.02;;
BRULES_P;2019;130783236;130786049;N2710;;1;0.3;;
BRULES_P;2019;130783236;130786049;NAUT;10;1;9.66;;
BRULES_P;2019;310016977;310781406;MAUT;;2;0.42;;
BRULES_P;2019;310016977;310781406;N2120;;1;0.15;;
BRULES_P;2019;310016977;310781406;N2200;3;1;2.87;;
BRULES_P;2019;310016977;310781406;N2300;3;1;2.99;;
BRULES_P;2019;310016977;310781406;N2410;;2;0.5;;
BRULES_P;2019;310016977;310781406;N2500;4;1;3.73;;
BRULES_P;2019;310016977;310781406;N2710;;1;0.09;;
BRULES_P;2019;310016977;310781406;NAUT;;2;0.2;;
BRULES_P;2019;310783055;310781406;M1030;;2;0.8;;
BRULES_P;2019;310783055;310781406;M2040;;1;0.1;;
BRULES_P;2019;310783055;310781406;N2120;2;;1.16;;
BRULES_P;2019;310783055;310781406;N2200;19;1;18.35;;
BRULES_P;2019;310783055;310781406;N2410;;2;0.7;;
BRULES_P;2019;310783055;310781406;N2500;13;3;15.07;;
BRULES_P;2019;310783055;310781406;N2710;;1;0.06;;
BRULES_P;2019;310783055;310781406;NAUT;;2;0.4;;
BRULES_P;2019;330781360;330781196;M1030;2;1;2.1;1;0
BRULES_P;2019;330781360;330781196;M2040;1;;0.75;0;1
BRULES_P;2019;330781360;330781196;MAUT;2;;1.3;;
BRULES_P;2019;330781360;330781196;N2120;2;;2;;
BRULES_P;2019;330781360;330781196;N2200;37;10;44.16;;
BRULES_P;2019;330781360;330781196;N2300;1;;0.89;;
BRULES_P;2019;330781360;330781196;N2500;30;5;33.68;;
BRULES_P;2019;330781360;330781196;N2710;;1;0.5;;
BRULES_P;2019;330781360;330781196;NAUT;3;;3;;
BRULES_P;2019;340785161;340780477;M1030;;3;0.9;1;1
BRULES_P;2019;340785161;340780477;M1180;;1;0.1;;
BRULES_P;2019;340785161;340780477;M2040;;3;0.8;0;1
BRULES_P;2019;340785161;340780477;MAUT;;7;1.52;;
BRULES_P;2019;340785161;340780477;N2120;1;;1;;
BRULES_P;2019;340785161;340780477;N2200;11;;10.82;;
BRULES_P;2019;340785161;340780477;N2500;9;1;9.43;;
BRULES_P;2019;340785161;340780477;N2710;;1;0.1;;
BRULES_P;2019;340785161;340780477;NAUT;1;2;0.8;;
BRULES_P;2019;370004467;370000481;M1030;1;;0.33;1;0
BRULES_P;2019;370004467;370000481;M2040;1;;1;;
BRULES_P;2019;370004467;370000481;N2120;1;0;0.88;;
BRULES_P;2019;370004467;370000481;N2200;24;10;28.5;;
BRULES_P;2019;370004467;370000481;N2500;10;10;14.98;;
BRULES_P;2019;370004467;370000481;NAUT;4;2;4.44;;
BRULES_P;2019;440000271;440000289;M1030;12;3;2.17;0;0
BRULES_P;2019;440000271;440000289;M2040;1;6;2.73;0;1
BRULES_P;2019;440000271;440000289;MAUT;0;2;0.78;;
BRULES_P;2019;440000271;440000289;N2120;0;2;1.14;;
BRULES_P;2019;440000271;440000289;N2200;19;8;25.13;;
BRULES_P;2019;440000271;440000289;N2410;1;1;1.66;;
BRULES_P;2019;440000271;440000289;N2500;16;10;20.63;;
BRULES_P;2019;440000271;440000289;N2710;0;1;0.52;;
BRULES_P;2019;440000271;440000289;NAUT;2;1;3.24;;
BRULES_P;2019;540002698;540023264;M2040;1;;0.38;0;0
BRULES_P;2019;570026682;570005165;M1030;7;0;5.04;1;0
BRULES_P;2019;570026682;570005165;M2040;1;0;0.7;0;1
BRULES_P;2019;570026682;570005165;MAUT;3;0;1.83;;
BRULES_P;2019;570026682;570005165;N2120;1;0;1;;
BRULES_P;2019;570026682;570005165;N2200;18;3;19.73;;
BRULES_P;2019;570026682;570005165;N2300;0;1;0.8;;
BRULES_P;2019;570026682;570005165;N2500;10;7;15.78;;
BRULES_P;2019;570026682;570005165;N2710;;1;0.19;;
BRULES_P;2019;570026682;570005165;NAUT;2;;1.2;;
BRULES_P;2019;590796975;590780193;M1030;3;1;2.6;1;1
BRULES_P;2019;590796975;590780193;M2040;;;0.16;0;1
BRULES_P;2019;590796975;590780193;MAUT;;;0.01;;
BRULES_P;2019;590796975;590780193;N2120;2;0;2.02;;
BRULES_P;2019;590796975;590780193;N2200;26;7;29.59;;
BRULES_P;2019;590796975;590780193;N2300;4;1;4.8;;
BRULES_P;2019;590796975;590780193;N2410;1;1;1.48;;
BRULES_P;2019;590796975;590780193;N2500;23;3;25.73;;
BRULES_P;2019;590796975;590780193;N2710;0;2;0.56;;
BRULES_P;2019;590796975;590780193;NAUT;3;2;2.8;;
BRULES_P;2019;690783154;690781810;M1030;5;;1.57;1;0
BRULES_P;2019;690783154;690781810;M1180;;1;0.2;;
BRULES_P;2019;690783154;690781810;M2040;;;;0;1
BRULES_P;2019;690783154;690781810;MAUT;3;;3.47;;
BRULES_P;2019;690783154;690781810;N2120;1;;1;;
BRULES_P;2019;690783154;690781810;N2200;52;3;49.81;;
BRULES_P;2019;690783154;690781810;N2300;1;1;2.37;;
BRULES_P;2019;690783154;690781810;N2410;;;4.17;;
BRULES_P;2019;690783154;690781810;N2500;31;;33.03;;
BRULES_P;2019;690783154;690781810;N2710;;;0.5;;
