BOR;AN;FI;FI_EJ;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2019;010000024;010780054;1;1;0;27;132;27;9;0;18;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;010780195;010000156;1;1;1;1412;3005;1570;148;0;1422;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;020000162;020000063;1;2;2;1507;5211;1769;366;0;1403;0;0;0;0;0;0;0;0;0;0;29;0;0
CHIRCAR;2019;020000519;020000261;1;1;1;646;1710;670;97;0;573;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;030000061;030780092;1;1;0;274;1121;285;243;0;42;0;0;0;;;0;0;;0;0;15;0;0
CHIRCAR;2019;030000079;030780100;1;1;1;763;2022;858;8;0;850;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;030000087;030780118;1;2;2;1521;2796;1602;88;0;1514;0;0;0;;;0;0;;0;0;25;0;0
CHIRCAR;2019;060000510;060780954;1;1;1;1131;3743;1353;473;0;880;0;0;0;;;0;0;;0;;45;0;0
CHIRCAR;2019;060000544;060780988;1;2;1;1123;3338;1244;351;0;893;0;0;0;;;0;0;;0;0;;0;0
CHIRCAR;2019;060780715;060000361;1;;3;1768;4415;1839;499;0;1340;0;0;0;;;0;0;;0;;25;0;0
CHIRCAR;2019;060785003;060785011;1;2;2;1305;4217;1569;822;0;747;0;0;0;;;0;0;;0;;56;0;0
CHIRCAR;2019;060785219;060780608;1;1;;514;1155;644;633;0;11;0;0;0;;;0;0;;0;;35;0;0
CHIRCAR;2019;060794013;060790797;1;3;3;1882;3865;2094;538;1;1555;1;0;0;2;2;0;566;35;520;24;;4118;6000
CHIRCAR;2019;080000425;080000615;1;0;1;80;437;81;59;0;22;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;100000090;100000017;1;1;1;974;3621;1116;266;0;850;0;0;0;;;0;0;;0;0;45;0;0
CHIRCAR;2019;110000023;110780061;1;;1;635;2983;734;120;0;614;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;120000039;120780044;1;2;1;1089;3782;1315;276;0;1039;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;130000409;130041916;1;2;2;1481;4543;1707;508;0;1199;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2019;130002827;130789274;1;1;;113;423;115;86;0;29;0;0;0;;;0;0;;0;;11;0;0
CHIRCAR;2019;130002835;130789316;1;1;0;107;850;115;0;0;0;0;0;0;;;0;0;;0;0;16;0;0
CHIRCAR;2019;130041767;130041262;1;0;2;1139;3281;1255;30;0;1225;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;130042096;130042062;1;2;2;1256;3972;1342;167;0;1175;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;130780521;130786049;1;2;1;1985;5802;2178;420;1;1757;0;0;0;;;0;0;;0;;41;0;0
CHIRCAR;2019;130781479;130000599;1;3;2;955;3226;1124;185;0;939;0;0;0;;;0;0;;0;;20;0;0
CHIRCAR;2019;130782147;130000979;1;1;;879;2700;993;36;0;957;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2019;130783293;130786049;1;5;3;2329;8579;2855;1163;1;1691;1;0;1;4;5;8;1405;;1200;46;76;1709;13022
