BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
CHIRCAR_P;2019;010780195;010000156;M103X;10;1;10.5;1;1
CHIRCAR_P;2019;010780195;010000156;M1040;4;;4;1;1
CHIRCAR_P;2019;010780195;010000156;N2120;1;1;0.4;;
CHIRCAR_P;2019;010780195;010000156;N2200;6;2;7.01;;
CHIRCAR_P;2019;010780195;010000156;N2320;2;2;3.53;;
CHIRCAR_P;2019;010780195;010000156;N2510;5;;4.89;;
CHIRCAR_P;2019;010780195;010000156;N4130;1;;1.09;;
CHIRCAR_P;2019;020000162;020000063;M103X;1;0;1;0;0
CHIRCAR_P;2019;020000162;020000063;M1040;4;0;4;0;1
CHIRCAR_P;2019;020000162;020000063;N2120;1;0;0.2;;
CHIRCAR_P;2019;020000162;020000063;N2200;6;5;2;;
CHIRCAR_P;2019;020000162;020000063;N2310;16;10;1.4;;
CHIRCAR_P;2019;020000519;020000261;M1040;1;2;2;0;1
CHIRCAR_P;2019;020000519;020000261;N2120;;1;0.5;;
CHIRCAR_P;2019;020000519;020000261;N2200;7;2;8.6;;
CHIRCAR_P;2019;030000061;030780092;M1040;2;4;3.7;1;1
CHIRCAR_P;2019;030000061;030780092;N2120;0;1;0.67;;
CHIRCAR_P;2019;030000061;030780092;N2200;6;10;10.08;;
CHIRCAR_P;2019;030000061;030780092;N2510;1;12;7.79;;
CHIRCAR_P;2019;030000061;030780092;NAUT;3;2;3.87;;
CHIRCAR_P;2019;030000079;030780100;M1040;3;1;0.85;0;1
CHIRCAR_P;2019;030000079;030780100;N2120;1;;0.12;;
CHIRCAR_P;2019;030000079;030780100;N2200;4;1;1.5;;
CHIRCAR_P;2019;030000079;030780100;N4130;5;;1.5;;
CHIRCAR_P;2019;030000079;030780100;NAUT;2;;0.93;;
CHIRCAR_P;2019;030000087;030780118;M1040;3;2;2.24;0;1
CHIRCAR_P;2019;030000087;030780118;N2120;0;1;0.15;;
CHIRCAR_P;2019;030000087;030780118;N2200;9;2;9.45;;
CHIRCAR_P;2019;030000087;030780118;N2510;3;1;3.09;;
CHIRCAR_P;2019;030000087;030780118;N4130;5;0;5;;
CHIRCAR_P;2019;030000087;030780118;NAUT;2;1;3.05;;
CHIRCAR_P;2019;060000510;060780954;M1040;8;3;7.55;1;1
CHIRCAR_P;2019;060000544;060780988;M1040;;6;2.35;0;1
CHIRCAR_P;2019;060000544;060780988;N2120;;1;0.2;;
CHIRCAR_P;2019;060000544;060780988;N2200;;9;4.6;;
