BOR;AN;FI;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2019;010000024;010780054;112AX;;;;3;1;1611;;;;;
DIALYSE;2019;010000024;010780054;112BA;;;;19;78;11075;;;;;
DIALYSE;2019;010000024;010780054;1150A;;;;;2;624;;;;;
DIALYSE;2019;010000024;010780054;1210;;;;;9;;;;936;;
DIALYSE;2019;010000024;010780054;121AA;;;;;5;;;;520;;
DIALYSE;2019;010000024;010780054;121CA;;;;;4;;;;416;;
DIALYSE;2019;010000024;010780054;122AX;;;;;1;;;;1;;
DIALYSE;2019;010000024;010780054;122BA;;;;3;1;;;;341;;
DIALYSE;2019;010000024;010780054;TOT;0;;;;;;947;3;;50;10
DIALYSE;2019;010006526;690796552;1130X;;;;7;16;2148;;;;;
DIALYSE;2019;010006526;690796552;1140X;;;;1;0;53;;;;;
DIALYSE;2019;010006526;690796552;TOT;1;1;16;;;;;1;;;
DIALYSE;2019;010780294;690000278;112AX;;;;1;0;77;;;;;
DIALYSE;2019;010780294;690000278;112BA;;;;12;48;6769;;;;;
DIALYSE;2019;010780294;690000278;1130X;;;;6;12;1742;;;;;
DIALYSE;2019;010780294;690000278;1140X;;;;6;5;836;;;;;
DIALYSE;2019;010780294;690000278;TOT;0;;;;;;0;;;;
DIALYSE;2019;010789006;210012290;112AX;;;;3;6;925;;;;;
DIALYSE;2019;010789006;210012290;1130X;;;;16;52;7127;;;;;
DIALYSE;2019;010789006;210012290;1140X;;;;6;8;1272;;;;;
DIALYSE;2019;010789006;210012290;1150A;;;;3;2;917;;;;;
DIALYSE;2019;010789006;210012290;1210;;;;;4;;;;331;;
DIALYSE;2019;010789006;210012290;121AA;;;;;3;;;;263;;
DIALYSE;2019;010789006;210012290;121CA;;;;1;1;;;;68;;
DIALYSE;2019;010789006;210012290;TOT;0;;;;;;;;;;
DIALYSE;2019;020000162;020000063;112BA;;;;30;120;17683;;;;;
DIALYSE;2019;020000162;020000063;TOT;1;3;183;;;;1578;1;;80;0
DIALYSE;2019;020000394;020000253;112AX;;;;2;1;262;;;;;
DIALYSE;2019;020000394;020000253;112BA;;;;12;48;6265;;;;;
DIALYSE;2019;020000394;020000253;1130X;;;;8;27;0;;;;;
DIALYSE;2019;020000394;020000253;1140X;;;;12;12;;;;;;
DIALYSE;2019;020000394;020000253;1150A;;;;3;3;;;;;;
DIALYSE;2019;020000394;020000253;TOT;0;;;;;;236;1;;36;0
DIALYSE;2019;020000519;020000261;112AX;;;;8;5;12;;;;;
DIALYSE;2019;020000519;020000261;112BA;;;;15;70;9630;;;;;
DIALYSE;2019;020000519;020000261;1140X;;;;11;;;;;;;
DIALYSE;2019;020000519;020000261;TOT;0;;;;;;529;;;;
DIALYSE;2019;020001772;590799995;1130X;;;;12;47;7021;;;;;
DIALYSE;2019;020001913;590799995;1130X;;;;4;29;3867;;;;;
DIALYSE;2019;020001913;590799995;1140X;;;;2;8;1351;;;;;
DIALYSE;2019;020006441;590799995;1130X;;;;8;12;2078;;;;;
DIALYSE;2019;020006441;590799995;1140X;;;;6;4;685;;;;;
DIALYSE;2019;020012860;590799995;112AX;;;;1;0;41;;;;;
DIALYSE;2019;020012860;590799995;1130X;;;;24;109;13891;;;;;
DIALYSE;2019;020016242;590799995;1130X;;;;8;32;4735;;;;;
DIALYSE;2019;020017075;590799995;1130X;;;;3;12;1553;;;;;
DIALYSE;2019;020017075;590799995;1140X;;;;1;3;487;;;;;
DIALYSE;2019;030000061;030780092;112BA;;;;12;49;6806;;;;;
DIALYSE;2019;030000061;030780092;TOT;0;;;;;;498;1;;26;0
DIALYSE;2019;030000079;030780100;112BA;;;;16;57;7099;;;;;
DIALYSE;2019;030000079;030780100;122BA;;;;2;3;;;;29;;
DIALYSE;2019;030000079;030780100;TOT;0;;;;;;604;;;36;
DIALYSE;2019;030000087;030780118;112AX;;;;0;0;78;;;;;
DIALYSE;2019;030000087;030780118;112BA;;;;8;36;6764;;;;;
DIALYSE;2019;030000087;030780118;1130X;;;;4;23;3804;;;;;
DIALYSE;2019;030000087;030780118;1140X;;;;6;14;2416;;;;;
DIALYSE;2019;030000087;030780118;1150A;;;;4;1;1455;;;;;
DIALYSE;2019;030000087;030780118;1210;;;;;21;;;;17925;;
DIALYSE;2019;030000087;030780118;121AA;;;;;17;;;;14512;;
DIALYSE;2019;030000087;030780118;121CA;;;;7;4;;;;3413;;
DIALYSE;2019;030000087;030780118;122AX;;;;7;0;;;;579;;
DIALYSE;2019;030000087;030780118;122BA;;;;7;4;;;;223;;
DIALYSE;2019;030000087;030780118;TOT;0;;;;;;1708;;;65;18
DIALYSE;2019;030003669;630000990;112AX;;;;1;0;394;;;;;
DIALYSE;2019;030003669;630000990;1130X;;;;8;27;3904;;;;;
DIALYSE;2019;030003669;630000990;1140X;;;;4;15;2235;;;;;
DIALYSE;2019;030003669;630000990;1150A;;;;2;;1034;;;;;
DIALYSE;2019;030003669;630000990;1210;;;;;20;;;;742;;
DIALYSE;2019;030003669;630000990;121AA;;;;;18;;;;676;;
DIALYSE;2019;030003669;630000990;121CA;;;;1;2;;;;66;;
DIALYSE;2019;030003669;630000990;122AX;;;;0;0;;;;83;;
DIALYSE;2019;030003669;630000990;TOT;0;;;;;;;;;;
DIALYSE;2019;030003719;630000990;112AX;;;;1;3;151;;;;;
DIALYSE;2019;030003719;630000990;1130X;;;;7;30;4711;;;;;
DIALYSE;2019;030003719;630000990;1140X;;;;;;5;;;;;
DIALYSE;2019;030003768;630000990;112AX;;;;1;1;214;;;;;
DIALYSE;2019;030003768;630000990;1130X;;;;3;22;3698;;;;;
DIALYSE;2019;030003768;630000990;1140X;;;;6;14;2345;;;;;
DIALYSE;2019;030003768;630000990;1150A;;;;5;;1753;;;;;
DIALYSE;2019;030003768;630000990;1210;;;;;56;;;;2581;;
DIALYSE;2019;030003768;630000990;121AA;;;;;45;;;;2093;;
DIALYSE;2019;030003768;630000990;121CA;;;;0;11;;;;488;;
DIALYSE;2019;030003768;630000990;TOT;0;;;;;;;;;;
DIALYSE;2019;040003113;920033503;1130X;;;;8;7;1239;;;;;
DIALYSE;2019;040784860;920033503;112BA;;;;24;85;13765;;;;;
DIALYSE;2019;040784860;920033503;1130X;;;;8;29;4617;;;;;
DIALYSE;2019;040784860;920033503;1150A;;;;1;1;264;;;;;
DIALYSE;2019;040784860;920033503;TOT;1;2;26;;;;0;1;;;
DIALYSE;2019;040787541;920033503;1130X;;;;4;4;559;;;;;
DIALYSE;2019;040787541;920033503;1140X;;;;4;4;691;;;;;
DIALYSE;2019;050000231;050000116;112BA;;;;8;61;3646;;;;;
DIALYSE;2019;050000231;050000116;1130X;;;;3;3;400;;;;;
DIALYSE;2019;050000231;050000116;1140X;;;;3;2;398;;;;;
DIALYSE;2019;050000231;050000116;TOT;0;;;;;;68;;;;
DIALYSE;2019;050000348;050002948;112AX;;;;1;0;34;;;;;
DIALYSE;2019;050000348;050002948;112BA;;;;12;50;6848;;;;;
DIALYSE;2019;050000348;050002948;122AX;;;;1;0;;;;0;;
DIALYSE;2019;050000348;050002948;122BA;;;;0;0;;;;1;;
DIALYSE;2019;050000348;050002948;TOT;0;;;;;;375;1;;19;1
DIALYSE;2019;050000348;050002948;VACAN;;;;0;0;92;;;;;
DIALYSE;2019;050003359;380793802;1130X;;;;3;3;397;;;;;
DIALYSE;2019;050003359;380793802;1140X;;;;3;2;400;;;;;
DIALYSE;2019;050006022;380793802;1130X;;;;6;17;2807;;;;;
DIALYSE;2019;050006022;380793802;1140X;;;;2;6;884;;;;;
DIALYSE;2019;050006022;380793802;1150A;;;;1;1;124;;;;;
DIALYSE;2019;050006022;380793802;1210;;;;;2;;;;103;;
DIALYSE;2019;050006022;380793802;121AA;;;;;2;;;;103;;
DIALYSE;2019;050006022;380793802;122BA;;;;1;0;;;;1;;
DIALYSE;2019;050006022;380793802;TOT;0;;;;;;;;;;
DIALYSE;2019;060000544;060780988;112BA;;;;15;44;8104;;;;;
DIALYSE;2019;060000544;060780988;1210;;;;;0;;;;951;;
DIALYSE;2019;060000544;060780988;121AA;;;;;;;;;351;;
DIALYSE;2019;060000544;060780988;121CA;;;;1;0;;;;600;;
DIALYSE;2019;060000544;060780988;122AX;;;;0;0;;;;3;;
DIALYSE;2019;060000544;060780988;122BA;;;;1;0;;;;23;;
DIALYSE;2019;060000544;060780988;TOT;0;;;;;;835;1;;33;6
DIALYSE;2019;060010949;060790540;1130X;;;;12;59;9111;;;;;
DIALYSE;2019;060019676;060790540;1130X;;;;2;7;945;;;;;
DIALYSE;2019;060019676;060790540;1140X;;;;8;27;4035;;;;;
DIALYSE;2019;060021276;060790540;112BA;;;;15;65;9369;;;;;
DIALYSE;2019;060021276;060790540;1130X;;;;16;79;11609;;;;;
DIALYSE;2019;060021276;060790540;TOT;0;;;;;;0;;;;
DIALYSE;2019;060785003;060785011;112BA;;;;22;104;16339;;;;;
DIALYSE;2019;060785003;060785011;112BE;;;;0;0;8;;;;;
DIALYSE;2019;060785003;060785011;1130X;;;;2;0;248;;;;;
DIALYSE;2019;060785003;060785011;122AX;;;;1;4;;;;4;;
DIALYSE;2019;060785003;060785011;122BA;;;;1;2;;;;204;;
DIALYSE;2019;060785003;060785011;TOT;0;;;;;;888;4;;27;
DIALYSE;2019;060789195;060785011;112BE;;;;3;15;509;;;;;
DIALYSE;2019;060789195;060785011;1210;;;;;7;;;;116;;
DIALYSE;2019;060789195;060785011;121CE;;;;3;7;;;;116;;
DIALYSE;2019;060789195;060785011;TOT;0;;;;;;226;;;;
DIALYSE;2019;060791860;060790797;112AX;;;;2;0;0;;;;;
DIALYSE;2019;060791860;060790797;112BA;;;;28;165;25005;;;;;
DIALYSE;2019;060791860;060790797;1130X;;;;16;58;9064;;;;;
DIALYSE;2019;060791860;060790797;1150A;;;;1;0;0;;;;;
DIALYSE;2019;060791860;060790797;TOT;0;;;;;;0;1;;57;
DIALYSE;2019;060792090;060790540;1150A;;;;5;3;353;;;;;
