BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2019;010000024;010780054;M1110;;5;1.17;0;1
DIALYSE_P;2019;010000024;010780054;N2500;4;7;7.53;;
DIALYSE_P;2019;010000024;010780054;NAUT;3;2;3.58;;
DIALYSE_P;2019;010000024;010780054;NCINF;20;6;23.44;;
DIALYSE_P;2019;010006526;690796552;M1110;0;1;0.25;;1
DIALYSE_P;2019;010006526;690796552;NAUT;;1;0.13;;
DIALYSE_P;2019;010006526;690796552;NCINF;1;6;2.68;;
DIALYSE_P;2019;010780294;690000278;M1110;2;1;2.87;0;1
DIALYSE_P;2019;010780294;690000278;N2500;4;;4.8;;
DIALYSE_P;2019;010780294;690000278;N4100;;1;0.16;;
DIALYSE_P;2019;010780294;690000278;NAUT;;1;0.16;;
DIALYSE_P;2019;010780294;690000278;NCINF;9;1;10.2;;
DIALYSE_P;2019;020000162;020000063;M1110;0;7;3.8;0;1
DIALYSE_P;2019;020000162;020000063;NAUT;9;2;9.3;;
DIALYSE_P;2019;020000162;020000063;NCINF;27;6;30.02;;
DIALYSE_P;2019;020000394;020000253;M1110;3;0;2.25;0;1
DIALYSE_P;2019;020000394;020000253;N2500;2;1;2.8;;
DIALYSE_P;2019;020000394;020000253;NAUT;3;3;4.84;;
DIALYSE_P;2019;020000394;020000253;NCINF;12;0;12.37;;
DIALYSE_P;2019;020000519;020000261;M1110;1;1;1.5;0;1
DIALYSE_P;2019;020000519;020000261;N2500;2;;2;;
DIALYSE_P;2019;020000519;020000261;N4100;3;;3;;
DIALYSE_P;2019;020000519;020000261;NAUT;2;5;4.34;;
DIALYSE_P;2019;020000519;020000261;NCINF;17;7;22.84;;
DIALYSE_P;2019;020001772;590799995;M1110;;8;;0;0
DIALYSE_P;2019;020001772;590799995;NCINF;;4;2;;
DIALYSE_P;2019;020001913;590799995;NCINF;;4;2;;
DIALYSE_P;2019;020006441;590799995;NCINF;;16;1.5;;
DIALYSE_P;2019;020012860;590799995;NCINF;;23;5;;
DIALYSE_P;2019;020016242;590799995;NCINF;;4;2;;
DIALYSE_P;2019;020017075;590799995;NCINF;;1;0.5;;
DIALYSE_P;2019;030000061;030780092;M1110;2;2;3.8;1;1
DIALYSE_P;2019;030000061;030780092;N2500;5;2;5.67;;
DIALYSE_P;2019;030000061;030780092;NAUT;0;3;1.1;;
DIALYSE_P;2019;030000061;030780092;NCINF;12;7;12.16;;
DIALYSE_P;2019;030000079;030780100;M1110;3;1;1.97;0;1
DIALYSE_P;2019;030000079;030780100;N2500;7;;5.94;;
DIALYSE_P;2019;030000079;030780100;NAUT;2;;1.8;;
DIALYSE_P;2019;030000079;030780100;NCINF;11;;9.07;;
DIALYSE_P;2019;030000087;030780118;M1110;5;1;4.05;0;1
DIALYSE_P;2019;030000087;030780118;N2500;3;0;3.83;;
DIALYSE_P;2019;030000087;030780118;NAUT;2;2;2.02;;
DIALYSE_P;2019;030000087;030780118;NCINF;13;5;15.8;;
DIALYSE_P;2019;030003669;630000990;M1110;;3;1.05;0;0
DIALYSE_P;2019;030003669;630000990;NAUT;1;4;2.96;;
DIALYSE_P;2019;030003669;630000990;NCINF;9;2;10.08;;
DIALYSE_P;2019;030003719;630000990;M1110;;3;1.04;0;0
DIALYSE_P;2019;030003719;630000990;NAUT;;;0.03;;
DIALYSE_P;2019;030003719;630000990;NCINF;2;4;4.8;;
DIALYSE_P;2019;030003768;630000990;M1110;;6;1.81;0;0
DIALYSE_P;2019;030003768;630000990;NAUT;1;4;1.45;;
DIALYSE_P;2019;030003768;630000990;NCINF;;14;10.7;;
DIALYSE_P;2019;040003113;920033503;M1110;;;;0;1
DIALYSE_P;2019;040003113;920033503;NCINF;1;;1;;
DIALYSE_P;2019;040784860;920033503;M1110;4;;4;0;1
DIALYSE_P;2019;040784860;920033503;N2500;4;;4.09;;
DIALYSE_P;2019;040784860;920033503;N4100;1;1;1.3;;
DIALYSE_P;2019;040784860;920033503;NAUT;7;1;7.82;;
DIALYSE_P;2019;040784860;920033503;NCINF;25;5;29.6;;
DIALYSE_P;2019;040787541;920033503;M1110;;;;0;1
