BOR;AN;FI;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;PLAMED;AUTOBS;PLAOBS;AUTSSR;PLASSR;AUTCAN;PLACAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2019;010000024;010780054;0;;;;;234972;1;1;0;;1;1;;;1;20;0;;0;;1;25;45;633;0;153;351;13207;0;3664;4136;287;0;105;104;85;42;25;28;0;11;1
HAD;2019;010005379;010010718;1;2;010005379;010005429;;;0;0;0;0;1;1;;;1;60;0;;0;;0;;60;222;0;97;27;8136;0;3326;913;152;0;80;12;63;39;2;35;0;24;0
HAD;2019;020000089;020000022;0;;;;;72514;;;0;0;0;0;1;1;1;15;0;;0;;0;;15;123;0;61;6;5856;0;3543;81;78;0;42;6;27;19;0;3;0;2;0
HAD;2019;020000105;020000055;0;;;;;43370;;0;0;0;1;0;0;1;1;15;0;;0;;0;;15;102;0;49;1;3384;0;1498;1;79;0;43;1;38;27;0;30;0;23;0
HAD;2019;020004297;020005179;1;2;020004297;020004297;;300488;1;0;0;0;1;0;1;0;1;70;0;;0;;0;;70;318;0;110;2;9704;0;3315;89;226;0;74;2;42;22;1;8;0;2;0
HAD;2019;020010898;750721334;0;;;;;55000;1;0;0;0;1;0;1;0;1;25;0;;0;;0;;25;160;0;35;10;5663;0;859;401;107;0;29;6;26;11;1;4;0;1;0
HAD;2019;020014767;590805065;0;0;;;;300000;0;0;0;0;1;0;1;0;1;40;0;;0;;0;;40;269;0;115;3;11788;0;3751;218;177;0;78;3;59;33;0;14;0;9;0
HAD;2019;030000061;030780092;0;;;;;;1;1;0;0;1;1;;;1;12;0;;0;;0;;12;295;0;54;0;3754;0;588;0;200;0;47;0;55;18;0;29;0;12;0
HAD;2019;030000079;030780100;0;;;;;127571;1;1;0;0;1;1;0;0;1;30;0;;0;;0;;30;257;0;54;21;5690;0;842;404;195;0;52;15;67;32;2;32;0;22;0
HAD;2019;030000087;030780118;1;2;630000446;630000412;;;1;0;0;0;1;1;0;0;1;50;0;;0;;0;;50;516;0;108;41;15516;0;3853;1548;338;0;85;35;102;32;6;63;0;23;0
HAD;2019;050000348;050002948;1;3;050000348;;;165684;1;;0;1;1;1;;;1;40;0;;0;;0;;40;343;0;161;8;9300;0;4107;667;233;0;133;7;91;67;3;18;0;12;0
HAD;2019;060000478;060780897;0;;;;;133855;1;1;0;0;1;0;1;0;1;15;0;;0;;0;;15;107;0;21;0;4224;0;449;0;90;0;20;0;39;11;0;28;0;3;0
HAD;2019;060000544;060780988;0;;;;;204000;1;0;0;0;1;0;1;0;1;15;0;;0;;1;10;25;174;0;41;29;6278;0;889;569;91;0;29;7;39;12;0;0;0;0;0
HAD;2019;060006558;060798865;0;;;;;379000;0;0;;;1;0;0;0;1;30;0;;0;;0;;30;242;0;163;2;9788;0;4902;53;179;0;117;2;80;59;0;36;0;30;0
HAD;2019;060785243;060001484;1;2;060785243;060785243;060785243;;0;0;0;0;1;0;1;0;0;;0;;0;;0;;220;1316;0;360;3;68086;0;11290;79;922;0;284;3;505;173;0;257;0;60;0
HAD;2019;070000609;070005566;0;;;;;85000;1;1;0;0;1;1;;;1;24;0;;0;;0;;24;350;0;157;32;9566;0;3843;711;253;0;125;26;84;53;5;38;0;28;0
HAD;2019;080008279;080001969;0;;;;;63000;1;0;0;0;;;;;1;17;0;;0;;1;1;18;181;0;62;5;6156;0;1976;27;128;0;46;3;54;25;1;27;0;12;0
HAD;2019;080010267;080010242;0;;;;;216000;0;0;0;0;1;0;1;0;1;50;0;;0;;0;;50;280;0;112;1;14443;0;4116;12;200;0;89;1;37;25;0;9;0;6;0
HAD;2019;090000175;090781774;1;2;090000175;;;129690;0;0;0;0;1;0;1;0;1;45;0;;0;;0;;45;372;0;110;137;11121;0;3629;2844;239;0;99;44;81;44;4;0;0;0;0
HAD;2019;100007699;100006279;;;;;;;;;;;;;;;1;;0;;0;;0;;40;274;0;27;1;6159;0;777;5;207;0;24;1;84;9;0;49;0;2;0
HAD;2019;100010578;100010347;0;;;;;261931;0;0;0;0;1;1;;;1;45;0;;0;;0;;45;451;0;94;6;12590;0;3280;30;276;0;73;2;70;31;1;32;0;17;0
HAD;2019;110000247;110780772;0;;;;;59925;1;1;0;1;1;0;0;0;1;10;0;;0;0;0;0;10;104;0;30;19;2768;0;381;442;67;0;22;3;21;13;0;3;0;0;0
HAD;2019;110005048;110000114;0;;;;;123720;1;0;0;1;1;1;;;1;16;0;;0;;1;16;32;283;0;82;11;11831;0;2954;256;196;0;64;6;60;31;1;18;0;7;1
HAD;2019;110005394;750056335;0;;;;;190000;1;1;0;0;1;1;;;1;45;0;;0;;0;;45;391;0;242;2;15835;0;11061;75;296;0;180;2;89;64;0;29;0;20;0
HAD;2019;120783618;120784616;0;;;;;280000;0;0;0;0;1;1;;;1;64;1;8;0;;0;;72;629;109;131;13;15392;2263;2435;42;480;85;115;3;176;58;1;98;0;29;2
HAD;2019;130000409;130041916;0;;;;;;0;0;0;0;1;1;0;0;1;30;0;;0;;0;;30;333;0;97;54;9298;0;1818;1813;241;0;91;33;95;59;2;50;0;33;0
HAD;2019;130000565;130781446;1;1;130781446;;;93143;0;0;0;0;0;0;0;0;1;15;1;5;0;;0;0;20;167;55;6;12;4229;890;162;38;112;47;5;3;26;4;2;30;0;3;2
HAD;2019;130001647;130784127;0;;;;;;1;1;0;0;0;1;0;0;0;;0;;0;;1;20;20;460;0;119;244;9858;0;2882;5158;209;0;78;105;45;18;20;0;0;0;0
HAD;2019;130002215;130785512;0;;;;;50000;1;0;0;0;1;0;0;0;1;20;0;;0;;0;;20;78;0;28;6;3283;0;683;196;67;0;27;3;34;13;0;20;0;6;0
HAD;2019;130021488;130021439;0;;;;;334000;1;0;0;0;1;0;1;0;1;40;0;;0;;0;;40;470;0;34;8;15789;0;857;170;330;0;30;5;199;17;1;184;0;3;1
HAD;2019;130021819;130021769;0;;;;;710000;1;0;0;0;1;1;;;1;60;0;;0;;0;;60;506;0;105;5;15764;0;3122;416;370;0;92;4;168;54;2;103;0;33;0
HAD;2019;130022619;130045339;0;;130022619;;;106833;0;0;0;0;1;0;0;0;1;40;0;;0;;0;;40;81;0;38;0;3531;0;1014;0;57;0;31;0;27;11;0;10;0;2;0
HAD;2019;130782071;130002454;0;;;;;200000;1;1;0;0;1;1;;;1;25;0;;0;;0;;25;304;0;33;6;9170;0;635;59;183;0;28;1;93;20;1;47;0;10;0
HAD;2019;130783236;130786049;0;;;;;;;;;;;;;;1;55;1;10;0;;0;;65;1484;173;11;50;18368;3105;363;365;923;148;7;14;200;2;5;37;0;1;1
HAD;2019;130785652;130014228;0;;;;;864134;1;1;0;0;1;1;0;;1;36;0;;0;;1;12;48;501;2;68;165;16382;54;2375;642;246;2;59;16;154;45;9;72;0;20;0
HAD;2019;130802143;130804396;0;;;;;866644;1;0;0;0;1;1;;;1;100;0;;0;;0;;100;731;0;284;18;28425;0;7527;368;554;0;240;15;294;147;4;177;0;97;0
HAD;2019;130809015;130001928;0;;;;;;0;0;0;0;1;1;;;1;45;0;;0;;0;;45;352;0;79;1;15342;0;2800;8;278;0;77;1;229;67;0;263;0;71;0
HAD;2019;140000027;140000035;0;;;;;;1;1;0;0;1;1;;;1;25;1;25;1;25;1;25;25;410;0;121;71;8382;0;2042;759;274;0;107;16;120;63;3;47;0;28;0
HAD;2019;140000076;140000092;0;;;;;45000;1;0;0;0;1;1;0;0;1;12;0;;0;;0;;12;110;0;49;1;3517;0;1184;5;77;0;40;1;30;19;0;16;0;10;0
HAD;2019;140000209;140000100;0;;;;;;0;0;0;0;1;1;;;0;;1;5;0;;0;;5;122;0;0;0;1406;0;0;0;106;0;0;0;0;0;0;0;0;0;0
HAD;2019;140000233;140000118;0;;;;;67000;1;1;0;0;1;1;;;1;15;0;;0;;0;;15;200;0;107;8;4138;0;2086;150;166;0;89;6;73;50;0;30;0;25;0
HAD;2019;140000373;140000159;1;4;500021274;500021282;610007312;;0;0;1;0;1;1;0;0;1;20;0;;0;;0;;20;177;0;56;9;5593;0;1545;284;119;0;37;6;61;23;4;25;0;4;0
HAD;2019;140002619;750721334;0;;;;;300000;0;0;0;0;1;1;0;0;0;;0;;0;;0;;80;617;0;191;7;26494;0;6441;110;463;0;167;4;179;81;0;90;0;20;0
HAD;2019;140016155;140027426;0;;;;;87000;1;1;0;1;1;1;;;1;40;0;;0;;0;;40;245;0;138;0;11145;0;5618;0;175;0;99;0;71;46;0;20;0;9;0
HAD;2019;140026709;140000415;0;;;;;72935;1;1;0;0;1;1;;;1;30;0;;0;;0;;30;334;0;131;27;10977;0;3423;134;215;0;120;6;105;70;3;56;0;44;0
HAD;2019;150000040;150780096;1;3;150000040;;;145000;1;1;0;0;1;0;1;0;1;15;0;;0;;0;;15;382;0;46;129;5009;0;918;329;181;0;38;31;34;9;5;20;0;6;0
HAD;2019;160002036;160009908;0;;;;;350240;1;0;0;0;1;1;;;1;110;0;;0;;0;;110;998;0;442;76;36271;0;14692;2313;692;0;331;50;215;121;8;66;0;19;0
HAD;2019;170000087;170024194;1;3;170000087;170000111;;365000;0;0;0;0;1;0;1;0;1;25;1;20;1;20;1;20;85;844;0;360;106;27738;0;13728;639;509;0;269;24;151;88;5;35;0;10;0
HAD;2019;170000103;170780175;1;3;170000095;170000038;170000129;;1;0;0;0;0;0;1;0;1;;0;;1;;1;;90;864;0;205;125;25962;0;5434;740;538;0;173;36;160;70;4;79;0;36;0
HAD;2019;180000010;180000028;0;;;;;182009;1;1;0;0;1;0;1;0;1;30;0;;0;;1;30;30;418;0;78;135;10022;0;3213;447;189;0;69;14;64;29;3;29;0;9;0
HAD;2019;180008278;750056335;0;;;;;180000;1;1;0;0;1;1;;;1;43;0;;0;;0;;43;329;0;198;8;13111;0;6328;232;240;0;146;7;81;61;0;25;0;16;0
