BOR;AN;FI;FI_EJ;PERSO;EFFPLS;EFFPAS;ETPS;NBLIB
HAD_P;2019;010000024;010780054;M9999;2;2;2.1;148
HAD_P;2019;010000024;010780054;MAUT;1;2;1.1;148
HAD_P;2019;010000024;010780054;Mcoor;1;;1;
HAD_P;2019;010000024;010780054;N2120;1;;1;
HAD_P;2019;010000024;010780054;N2210;5;4;7.88;
HAD_P;2019;010000024;010780054;N2710;;1;0.3;
HAD_P;2019;010000024;010780054;N3120;;;0.45;
HAD_P;2019;010000024;010780054;N9999;8;5;11.63;
HAD_P;2019;010000024;010780054;NAUT;2;;2;
HAD_P;2019;010005379;010010718;M3050;;1;0.8;
HAD_P;2019;010005379;010010718;M9999;1;1;1.8;
HAD_P;2019;010005379;010010718;Mcoor;1;;1;
HAD_P;2019;010005379;010010718;N2120;;;0.25;
HAD_P;2019;010005379;010010718;N2710;;1;0.68;
HAD_P;2019;010005379;010010718;N3120;;2;0.99;
HAD_P;2019;010005379;010010718;N9999;5;5;6.93;
HAD_P;2019;010005379;010010718;NAUT;;2;1.77;
HAD_P;2019;010005379;010010718;Ncoor;5;;3.24;
HAD_P;2019;020000089;020000022;M9999;0;1;0.1;38
HAD_P;2019;020000089;020000022;MAUT;0;1;0.1;38
HAD_P;2019;020000089;020000022;N2120;1;0;0.5;
HAD_P;2019;020000089;020000022;N2210;1;0;1;95
HAD_P;2019;020000089;020000022;N2410;0;0;0;40
HAD_P;2019;020000089;020000022;N2510;14;0;14.39;
HAD_P;2019;020000089;020000022;N9999;16;0;15.89;147
HAD_P;2019;020000089;020000022;NAUT;0;0;0;12
HAD_P;2019;020000105;020000055;M9999;;1;0.05;
HAD_P;2019;020000105;020000055;Mcoor;;1;0.05;
HAD_P;2019;020000105;020000055;N2120;1;;0.25;
HAD_P;2019;020000105;020000055;N2210;3;;3.41;
HAD_P;2019;020000105;020000055;N2460;2;;0.2;
HAD_P;2019;020000105;020000055;N2510;11;;8.71;
HAD_P;2019;020000105;020000055;N2710;1;;0.1;
HAD_P;2019;020000105;020000055;N3120;1;;0.3;
HAD_P;2019;020000105;020000055;N9999;21;1;13.99;
HAD_P;2019;020000105;020000055;NAUT;1;;0.15;
HAD_P;2019;020000105;020000055;Ncoor;1;1;0.87;
HAD_P;2019;020004297;020005179;M3050;;1;0.09;
HAD_P;2019;020004297;020005179;M9999;;4;0.62;
