BOR;AN;FI;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2019;010000024;010780054;IRM;2;2;2087;29;;6838;12;
IMAGES;2019;010000024;010780054;MAMM;1;;;;;;;
IMAGES;2019;010000024;010780054;RADIO;4;4;17162;390;;25015;461;1
IMAGES;2019;010000024;010780054;SCAN;2;2;7539;160;;8285;236;1
IMAGES;2019;010000024;010780054;VASC;1;;;;;;;
IMAGES;2019;010000032;010780062;MAMM;1;1;;;;241;;
IMAGES;2019;010000032;010780062;RADIO;2;2;1698;0;0;12528;176;1
IMAGES;2019;010000032;010780062;SCAN;1;1;1422;0;0;5236;136;1
IMAGES;2019;010000065;010780096;RADIO;1;1;1902;;;72;;
IMAGES;2019;010000214;010007987;RADIO;1;1;1357;393;569;348;0;0
IMAGES;2019;010000214;010007987;VASC;1;1;107;;;;;1
IMAGES;2019;010005239;010008407;IRM;1;1;58;;;964;1;0
IMAGES;2019;010005239;010008407;RADIO;3;3;2367;;;20108;283;
IMAGES;2019;010005239;010008407;SCAN;1;1;1258;;;4306;53;0
IMAGES;2019;010780195;010000156;CAM;2;;;;;;;
IMAGES;2019;010780195;010000156;IRM;1;;;;;;;
IMAGES;2019;010780195;010000156;RADIO;2;;;;;;;
IMAGES;2019;010780195;010000156;SCAN;1;;;;;;;
IMAGES;2019;010780195;010000156;VASC;1;;;;;;;
IMAGES;2019;020000089;020000022;RADIO;1;1;1023;202;0;4089;0;0
IMAGES;2019;020000162;020000063;IRM;1;1;4911;51;26;8234;31;0
IMAGES;2019;020000162;020000063;LITHO;1;1;276;0;0;0;8;1
IMAGES;2019;020000162;020000063;MAMM;1;1;;;;1349;;
IMAGES;2019;020000162;020000063;RADIO;5;5;17316;158;0;24926;511;0
IMAGES;2019;020000162;020000063;SCAN;2;2;24688;145;589;26227;453;0
IMAGES;2019;020000162;020000063;VASC;2;2;3485;0;0;0;9;1
IMAGES;2019;020000303;750814030;RADIO;2;2;2230;;;;;0
IMAGES;2019;020000360;020014742;RADIO;3;;;;;;;
IMAGES;2019;020000394;020000253;MAMM;1;1;;;;415;;
IMAGES;2019;020000394;020000253;RADIO;4;4;6524;;;17279;433;0
IMAGES;2019;020000394;020000253;SCAN;1;1;4977;;;6175;175;0
IMAGES;2019;020000519;020000261;IRM;2;2;451;;;5147;;0
IMAGES;2019;020000519;020000261;MAMM;1;1;;;;1137;;
IMAGES;2019;020000519;020000261;RADIO;3;3;7193;;;22785;328;1
IMAGES;2019;020000519;020000261;SCAN;2;2;2207;;;9083;91;1
IMAGES;2019;020000519;020000261;dtIRM2;1;1;230;;;2758;;0
IMAGES;2019;020000535;020000287;RADIO;2;2;4611;;9049;;406;
IMAGES;2019;020000535;020000287;SCAN;1;1;2043;;;5670;65;0
IMAGES;2019;020000543;020000295;RADIO;1;1;781;;;;;1
IMAGES;2019;020000915;020003620;RADIO;1;1;1048;;;;;
IMAGES;2019;020001061;020004404;IRM;2;2;289;;;4117;;0
IMAGES;2019;020001061;020004404;RADIO;2;2;8847;;;14648;406;0
IMAGES;2019;020001061;020004404;SCAN;1;1;4227;;;2519;79;0
IMAGES;2019;020001061;020004404;dtIRM1;1;1;;;;;;0
IMAGES;2019;020001087;020004495;RADIO;2;2;568;;228;7636;79;0
IMAGES;2019;020001087;020004495;SCAN;1;1;1343;;294;7863;48;0
IMAGES;2019;030000061;030780092;IRM;1;1;573;0;0;2813;0;1
IMAGES;2019;030000061;030780092;LITHO;1;1;118;0;0;88;0;0
IMAGES;2019;030000061;030780092;MAMM;1;1;;;;712;;
IMAGES;2019;030000061;030780092;RADIO;5;5;8621;18;;23746;358;0
IMAGES;2019;030000061;030780092;SCAN;1;1;6612;12;;17500;178;1
IMAGES;2019;030000079;030780100;CAM;1;1;496;35;;7067;;0
IMAGES;2019;030000079;030780100;IRM;1;1;613;13;;5477;84;0
IMAGES;2019;030000079;030780100;MAMM;1;1;;;;1081;;
IMAGES;2019;030000079;030780100;RADIO;4;4;13705;270;;25941;384;0
IMAGES;2019;030000079;030780100;SCAN;1;1;7652;176;;5062;206;1
IMAGES;2019;030000079;030780100;VASC;1;1;706;;;;69;1
IMAGES;2019;030000087;030780118;IRM;2;2;807;;4333;5347;0;0
IMAGES;2019;030000087;030780118;MAMM;1;1;;;;;;
IMAGES;2019;030000087;030780118;RADIO;3;3;8239;;;29232;289;1
IMAGES;2019;030000087;030780118;SCAN;1;1;3644;;;12979;195;1
IMAGES;2019;030000087;030780118;VASC;2;2;3418;;;;;1
IMAGES;2019;030780548;030000194;LITHO;1;;;;;;;
IMAGES;2019;030780548;030000194;RADIO;1;;;;;;;
IMAGES;2019;030780548;030000194;SCAN;1;;;;;;;
IMAGES;2019;030780548;030000194;VASC;1;;;;;;;
IMAGES;2019;030781116;030000426;LITHO;1;1;385;;;;0;1
IMAGES;2019;040000093;040780215;IRM;1;1;463;1;;362;2;1
IMAGES;2019;040000093;040780215;LITHO;1;1;47;;;;;1
IMAGES;2019;040000093;040780215;RADIO;2;2;7346;60;;13207;487;1
IMAGES;2019;040000093;040780215;SCAN;2;2;5563;1;;1808;194;1
IMAGES;2019;040000135;050002948;RADIO;2;2;418;;;8139;39;1
IMAGES;2019;040000135;050002948;SCAN;1;1;473;;752;3421;12;1
IMAGES;2019;040000911;040788879;IRM;1;1;452;12;;723;0;0
IMAGES;2019;040000911;040788879;RADIO;2;2;15999;;;;;1
IMAGES;2019;040000911;040788879;SCAN;1;1;4088;14;;1715;34;1
IMAGES;2019;040780488;040000200;RADIO;1;1;497;;;;;0
IMAGES;2019;050000231;050000116;RADIO;3;3;4800;11;;10679;64;0
IMAGES;2019;050000231;050000116;SCAN;1;1;3538;;;2947;52;0
IMAGES;2019;050000256;050000124;RADIO;2;2;1212;;;6796;13;
IMAGES;2019;050000348;050002948;CAM;1;1;221;;16;2994;;0
IMAGES;2019;050000348;050002948;IRM;1;1;407;;2547;3622;1;0
IMAGES;2019;050000348;050002948;LITHO;1;1;68;;;;;
IMAGES;2019;050000348;050002948;MAMM;1;1;;;;498;;
IMAGES;2019;050000348;050002948;RADIO;4;4;6911;;10;18902;346;1
IMAGES;2019;050000348;050002948;SCAN;1;1;3094;;5;9314;98;1
IMAGES;2019;060000478;060780897;IRM;1;1;392;;;2884;;
IMAGES;2019;060000478;060780897;LITHO;1;1;171;;;;;
IMAGES;2019;060000478;060780897;RADIO;4;4;11210;;;24343;;
IMAGES;2019;060000478;060780897;SCAN;1;1;2713;;;4740;;
IMAGES;2019;060000486;060780905;RADIO;1;0;;;;;;0
IMAGES;2019;060000510;060780954;IRM;2;2;669;0;;5940;;0
IMAGES;2019;060000510;060780954;MAMM;1;1;;;;2089;;
IMAGES;2019;060000510;060780954;RADIO;3;3;15619;0;;20376;619;1
IMAGES;2019;060000510;060780954;SCAN;2;2;7099;0;;7434;133;1
IMAGES;2019;060000510;060780954;VASC;1;1;2237;0;;0;18;1
IMAGES;2019;060000510;060780954;dtIRM1;1;1;214;;;3660;;0
IMAGES;2019;060000510;060780954;dtIRM2;1;1;455;;;2280;;0
IMAGES;2019;060000528;060780962;CAM;3;3;822;;;4528;;
IMAGES;2019;060000528;060780962;IRM;1;1;676;;;7596;;1
IMAGES;2019;060000528;060780962;MAMM;2;2;;;;18521;;
IMAGES;2019;060000528;060780962;RADIO;1;1;4197;;;1410;;1
IMAGES;2019;060000528;060780962;SCAN;1;1;2377;;;15929;;1
IMAGES;2019;060000528;060780962;TOMO;1;1;267;;;5234;;
IMAGES;2019;060000544;060780988;IRM;2;2;1886;;;4492;;0
IMAGES;2019;060000544;060780988;RADIO;4;4;17072;230;;23299;;0
IMAGES;2019;060000544;060780988;SCAN;2;2;12009;53;;11341;462;1
IMAGES;2019;060000544;060780988;VASC;1;1;1504;;;;;1
IMAGES;2019;060002102;060791761;IRM;1;1;183;;;2018;;0
IMAGES;2019;060002102;060791761;MAMM;1;1;;;;215;;
IMAGES;2019;060002102;060791761;RADIO;2;2;5116;;;11261;;0
IMAGES;2019;060002102;060791761;SCAN;1;1;2296;;125;5575;;0
IMAGES;2019;060780442;060000213;RADIO;1;1;653;;;;;0
IMAGES;2019;060780459;010783009;RADIO;1;1;487;;;;;0
IMAGES;2019;060780491;060790797;CAM;3;;;;;;;
IMAGES;2019;060780491;060790797;IRM;1;;;;;;;
IMAGES;2019;060780491;060790797;MAMM;1;;;;;;;
IMAGES;2019;060780491;060790797;RADIO;1;;;;;;;
IMAGES;2019;060780491;060790797;SCAN;2;;;;;;;
IMAGES;2019;060780491;060790797;VASC;2;;;;;;;
IMAGES;2019;060780590;060000270;MAMM;1;;;;;;;
IMAGES;2019;060780590;060000270;RADIO;2;;;;;;;
IMAGES;2019;060780715;060000361;IRM;2;2;313;;;21325;0;0
IMAGES;2019;060780715;060000361;RADIO;2;2;19438;;;8613;;1
IMAGES;2019;060780715;060000361;SCAN;2;2;3268;;;17856;0;1
IMAGES;2019;060780715;060000361;VASC;4;4;1749;;;0;;1
IMAGES;2019;060780723;060004959;LITHO;1;;;;;;;
IMAGES;2019;060780723;060004959;RADIO;2;;;;;;;
IMAGES;2019;060780723;060004959;SCAN;1;;;;;;;
IMAGES;2019;060780723;060004959;VASC;1;;;;;;;
IMAGES;2019;060780756;060000403;RADIO;1;;;;;;;
IMAGES;2019;060780947;060800174;RADIO;4;4;5829;;;24839;;
IMAGES;2019;060780996;630786754;RADIO;1;1;804;;;;;0
IMAGES;2019;060781200;060000635;LITHO;1;1;97;;;;;
IMAGES;2019;060781200;060000635;RADIO;5;5;2167;;;1578;;
IMAGES;2019;060785003;060785011;IRM;3;3;4837;254;34;14649;45;0
IMAGES;2019;060785003;060785011;RADIO;8;8;43673;798;133;53165;1578;0
IMAGES;2019;060785003;060785011;SCAN;3;3;25586;2002;127;25070;790;1
IMAGES;2019;060785003;060785011;VASC;2;2;1207;67;1;1513;9;1
IMAGES;2019;060785003;060785011;dtIRM2;1;1;876;128;16;6051;;0
IMAGES;2019;060788957;060785011;RADIO;1;1;2972;4;1;67;0;0
IMAGES;2019;060789195;060785011;CAM;1;1;395;1470;118;3399;0;0
IMAGES;2019;060789195;060785011;IRM;1;1;806;46;22;5017;9;0
IMAGES;2019;060789195;060785011;RADIO;2;2;9404;11;2;1848;92;0
IMAGES;2019;060789195;060785011;SCAN;2;2;6105;75;39;10681;29;1
IMAGES;2019;060789195;060785011;TOMO;1;1;311;460;47;3334;2;0
IMAGES;2019;060789195;060785011;VASC;1;1;3216;56;105;454;6;1
IMAGES;2019;060789674;130037815;RADIO;1;1;2953;;;;;
IMAGES;2019;060790177;060785011;RADIO;1;1;137;4;0;76;0;0
IMAGES;2019;060791811;060010808;RADIO;2;2;7842;;0;23;;0
IMAGES;2019;060794013;060790797;CAM;1;;;;;;;
IMAGES;2019;060794013;060790797;IRM;1;;;;;;;
IMAGES;2019;060794013;060790797;SCAN;2;;;;;;;
IMAGES;2019;060794013;060790797;VASC;3;3;7342;87;0;0;0;1
IMAGES;2019;060798881;060798873;RADIO;1;1;917;;;;;0
IMAGES;2019;060800174;;IRM;1;1;51;510;;9189;;
IMAGES;2019;060800174;;SCAN;1;1;5;908;;9686;;
IMAGES;2019;070000013;070002878;MAMM;1;1;;;;1122;;
IMAGES;2019;070000013;070002878;RADIO;2;2;2308;315;;10028;74;1
IMAGES;2019;070000013;070002878;SCAN;1;1;2237;115;;3929;28;1
IMAGES;2019;070000070;070780150;RADIO;1;1;289;;;1724;;
IMAGES;2019;070000096;070780184;RADIO;1;;;;;;;
IMAGES;2019;070000179;070780358;IRM;1;1;302;;;6216;;0
IMAGES;2019;070000179;070780358;MAMM;1;1;;;;1982;;
IMAGES;2019;070000179;070780358;RADIO;3;3;1913;;;23914;;0
IMAGES;2019;070000179;070780358;SCAN;1;1;1384;;;10278;;0
IMAGES;2019;070000187;070780366;RADIO;1;1;315;58;0;1902;0;0
IMAGES;2019;070000195;070780374;RADIO;1;1;1115;;;;;0
