BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2019;010000024;010780054;M1160;1;4;1.38;0;1;0;0
IMAGES_P;2019;010000024;010780054;N4130;14;12;22.87;0;1;;
IMAGES_P;2019;010000024;010780054;N4160;1;;1;;;;
IMAGES_P;2019;010000024;010780054;NAUT;6;8;12.46;;;;
IMAGES_P;2019;010000032;010780062;M1160;1;;1;0;1;0;0
IMAGES_P;2019;010000032;010780062;N4130;6;2;7.82;0;1;;
IMAGES_P;2019;010000032;010780062;N4160;1;;1;;;;
IMAGES_P;2019;010000032;010780062;NAUT;3;2;4.93;;;;
IMAGES_P;2019;010000065;010780096;M1160;;1;0.6;0;0;0;0
IMAGES_P;2019;010000065;010780096;N4130;;2;0.9;0;0;;
IMAGES_P;2019;010000065;010780096;NAUT;1;;1;;;;
IMAGES_P;2019;010000214;010007987;N4130;0;3;2.7;;;;
IMAGES_P;2019;010000214;010007987;N4160;1;0;1;;;;
IMAGES_P;2019;010005239;010008407;M1160;2;2;2.65;;;;
IMAGES_P;2019;010005239;010008407;N4130;6;2;7.82;;;;
IMAGES_P;2019;010005239;010008407;NAUT;5;0;3.97;;;;
IMAGES_P;2019;010780195;010000156;N4130;;;;0;1;;
IMAGES_P;2019;020000089;020000022;N4130;0;1;0.64;0;0;;
IMAGES_P;2019;020000089;020000022;N4160;1;0;1;;;;
IMAGES_P;2019;020000089;020000022;NAUT;1;1;1.21;;;;
IMAGES_P;2019;020000162;020000063;M1160;4;5;5.2;1;;1;1
IMAGES_P;2019;020000162;020000063;N4130;22;4;22.36;0;1;;
IMAGES_P;2019;020000162;020000063;N4160;1;0;1;;;;
IMAGES_P;2019;020000162;020000063;NAUT;10;11;13.98;;;;
IMAGES_P;2019;020000303;750814030;M1160;;1;0.11;0;0;0;1
IMAGES_P;2019;020000303;750814030;N4130;1;1;1.62;0;0;;
IMAGES_P;2019;020000303;750814030;NAUT;1;;1;;;;
IMAGES_P;2019;020000360;020014742;M1160;;7;;;;;
IMAGES_P;2019;020000394;020000253;M1160;1;2;2.33;0;1;0;0
IMAGES_P;2019;020000394;020000253;N4130;11;4;12.17;0;1;;
IMAGES_P;2019;020000394;020000253;N4160;0;1;0.85;;;;
IMAGES_P;2019;020000394;020000253;NAUT;7;2;8.2;;;;
IMAGES_P;2019;020000519;020000261;M1160;7;;7;0;1;0;0
IMAGES_P;2019;020000519;020000261;N4130;18;2;19.6;0;1;;
IMAGES_P;2019;020000519;020000261;N4160;2;;2;;;;
IMAGES_P;2019;020000519;020000261;NAUT;14;2;15.3;;;;
IMAGES_P;2019;020000535;020000287;M1160;0;1;0.6;0;0;0;0
IMAGES_P;2019;020000535;020000287;N4130;6;5;9.74;1;;;
IMAGES_P;2019;020000535;020000287;N4160;1;;1;;;;
IMAGES_P;2019;020000535;020000287;NAUT;3;4;4.88;;;;
