BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2019;010000024;010780054;1;;;1;;;1;;;;;;0;0;0;0;0;1;1;0;1;0;;4.88;1.32
INFOMED;2019;010000032;010780062;;;1;;;;;;1;;;;0;0;0;0;0;1;1;0;1;1;730000015;2.71;0.05
INFOMED;2019;010000081;010780112;;;;;;;;;1;;;;;;;;;0;0;0;0;1;740000237;0;0.01
INFOMED;2019;010000099;010780120;;;1;;;;;;1;;;;0;0;;1;1;1;1;0;0;0;;;
INFOMED;2019;010000107;010780138;;1;;;;;;1;;;;;0;0;0;1;1;0;;;0;1;;0.2;0.1
INFOMED;2019;010000115;010009132;;;1;;;;1;;;;;;0;0;0;1;1;0;;;;1;690000583;;
INFOMED;2019;010000131;010009132;;;1;;;;;;1;;;;0;0;0;1;1;0;;;0;1;690000054;;
INFOMED;2019;010000214;010007987;;1;;;;;;1;;;;;0;0;0;0;0;1;0;0;1;1;010008407;1.7;0.2
INFOMED;2019;010000495;010783009;;;;;;;;;;1;;;0;0;0;0;0;1;1;0;;0;;2.84;1
INFOMED;2019;010005239;010008407;;1;;;;;;1;;;;;0;0;0;0;0;0;0;0;1;0;;2;1
INFOMED;2019;010008852;010783009;;;;;;;;1;;;;;0;0;0;0;0;0;0;0;0;1;010780252;0.05;0.01
INFOMED;2019;010780195;010000156;;1;;;;;;;;;;;0;0;0;0;0;1;0;0;0;1;;;
INFOMED;2019;010780203;010010718;;;1;;;;;;;;;;0;0;0;0;0;0;;;1;0;;2;0.08
INFOMED;2019;010780252;010783009;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0.4;0.08
INFOMED;2019;010780278;010783009;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0.32;0.08
INFOMED;2019;010780310;010000222;;;;;;;1;;;;;;0;0;1;0;0;0;0;0;0;0;;;
INFOMED;2019;010780328;010000222;;;;;;;1;;;;;;0;0;1;0;0;0;0;0;0;0;;;
INFOMED;2019;010780476;750005068;;;;;;;;1;;;;;0;0;0;0;0;1;0;0;0;0;;1;
INFOMED;2019;010780492;360000707;;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;;0.8;0.16
INFOMED;2019;010780708;310021381;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0.5;0.1
INFOMED;2019;010780799;750721334;;;;;;;;1;;;;;0;0;0;0;0;1;1;0;0;0;;0.1;0.1
INFOMED;2019;020000089;020000022;;;1;1;;;;;1;;;;0;0;0;0;0;0;;;1;1;020000063;1;0
