BOR;AN;FI;FI_EJ;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFPL_PM;EFFPA_PM;ETP_PM;GAR_PM;AST_PM;EFFPL_NEU;EFFPA_NEU;ETP_NEU;GAR_NEU;AST_NEU;EFFPL_PNM;EFFPA_PNM;ETP_PNM
MCOAVC;2019;010000024;010780054;1;20;716;5961;;7;2.17;0;1;;7;2.17;0;1;;;
MCOAVC;2019;020000162;020000063;1;21;699;6450;5;2;6.1;0;1;5;2;6.1;0;1;18;2;18.1
MCOAVC;2019;020000519;020000261;1;6;1145;6569;5;;5;0;1;5;;5;0;1;10;2;11.06
MCOAVC;2019;030000079;030780100;1;18;538;5068;4;1;4.3;0;1;4;1;4.3;0;1;;;
MCOAVC;2019;030000087;030780118;1;14;486;4211;1;;0.5;0;0;1;;0.5;0;0;9;5;12.54
MCOAVC;2019;060000544;060780988;1;22;814;6136;1;5;3.61;0;1;1;4;3.01;0;1;5;41;24.07
MCOAVC;2019;060785003;060785011;1;24;853;7931;6;2;4.44;1;0;6;0;4.33;1;0;664;114;656.02
MCOAVC;2019;100000090;100000017;1;16;727;5085;0;5;1.66;0;1;0;5;1.66;0;1;1;35;21.53
MCOAVC;2019;110000023;110780061;1;16;720;4183;;6;2.23;;;;6;2.23;;;38;14;33.98
MCOAVC;2019;110000056;110780137;1;4;960;7037;1;3;2.81;0;1;1;3;2.81;0;1;26;3;8.93
MCOAVC;2019;120000039;120780044;1;8;509;2288;7;1;6.98;0;1;6;1;6.23;0;1;22;15;31.05
MCOAVC;2019;130000409;130041916;1;4;665;1086;0;3;0.45;1;;0;3;0.45;1;;11;;9.42
MCOAVC;2019;130783293;130786049;1;26;1266;8628;21;26;24.63;;;21;20;23.03;;;142;38;176.26
MCOAVC;2019;130784051;130037823;1;3;456;1688;3;;3;0;0;;;;0;0;8;1;10.99
MCOAVC;2019;140000027;140000035;1;13;704;4105;3;2;4.56;0;0;;;;0;0;19;8;25.23
MCOAVC;2019;140000209;140000100;1;26;1165;8804;3;2;1.87;0;1;3;2;1.87;0;1;27;23;37.87
MCOAVC;2019;160000253;160000451;1;10;586;3188;2;2;3.28;0;1;2;2;3.28;0;1;22;27;36.76
MCOAVC;2019;170000087;170024194;1;19;1090;6085;;9;2.48;0;1;;9;2.48;0;1;16;5;17.1
MCOAVC;2019;170000103;170780175;1;18;691;2499;4;1;1.16;0;1;3;0;0.86;0;1;99;23;32.63
MCOAVC;2019;180000010;180000028;1;12;542;3602;;4;1.64;0;1;;4;1.64;0;1;10;30;20.17
MCOAVC;2019;210987558;210780581;1;10;992;3170;5;;0.95;;;5;;0.95;;;19;;16.66
MCOAVC;2019;220000012;220000020;1;27;1329;8955;6;2;7.54;0;1;6;2;7.54;0;1;34;31;49.64
MCOAVC;2019;240000489;240000117;1;17;815;5450;4;;5.07;0;1;3;;4.92;0;;11;1;11.41
MCOAVC;2019;250006954;250000015;1;24;926;8306;0;6;2.59;1;0;0;6;2.59;1;0;29;22;43.57
MCOAVC;2019;260000013;260000021;1;20;910;6466;9;0;2;1;0;9;0;2;1;0;22;12;31.31
MCOAVC;2019;260000138;260000047;1;12;313;3178;4;2;4.8;0;1;4;2;4.8;0;1;30;7;34.56
MCOAVC;2019;270000359;270023724;1;4;327;1385;0;4;0.2;0;1;0;4;0.2;0;1;;33;9.36
MCOAVC;2019;280000084;280000183;1;4;336;1183;5;2;1.09;0;1;5;2;1.09;;;18;1;7.62
MCOAVC;2019;280504267;280000134;1;16;613;4740;3;7;2.7;0;1;3;7;2.7;0;1;7;4;11.55
MCOAVC;2019;290000025;290020700;1;6;681;4127;1;5;2;0;1;1;5;2;0;1;33;10;11.87
MCOAVC;2019;290004324;290000017;1;22;1074;7578;5;0;1.95;1;0;;;;1;0;11;6;14.67
MCOAVC;2019;2A0000022;2A0000014;1;9;631;3170;;4;2.39;0;1;;;;0;1;27;2;30.47
MCOAVC;2019;300782117;300780038;1;12;898;3008;13;0;9.22;1;0;12;0;8.92;1;0;39;3;25.36
MCOAVC;2019;310781000;310788880;1;15;354;3220;;4;1;0;1;;4;1;0;1;11;1;11.54
MCOAVC;2019;310783048;310781406;1;69;3628;21937;9;5;7.23;1;1;6;5;6.14;1;1;97;21;107.7
MCOAVC;2019;320000086;320780117;1;14;1070;3998;0;3;0.75;0;0;0;3;0.75;0;0;0;32;17.06
MCOAVC;2019;330000555;330781204;1;12;403;3072;6;1;2;0;1;6;1;1;0;1;51;8;15.52
MCOAVC;2019;330000605;330781253;1;13;648;5719;;5;1.27;0;1;;5;1.27;0;1;14;2;15.24
MCOAVC;2019;330781360;330781196;1;48;1883;14144;3;;2.15;1;1;3;;2.15;1;1;130;28;106.79
MCOAVC;2019;340000033;340780055;1;27;1087;8744;;3;2.01;;1;;2;1.04;;1;18;25;39.2
MCOAVC;2019;340015502;340000512;1;16;598;4153;10;;10;0;1;7;;7;0;1;9;;9
MCOAVC;2019;340782085;340780477;1;16;1224;5159;;5;1.64;0;1;;4;1.49;1;1;;;
MCOAVC;2019;350000147;350000022;1;15;1077;6048;;5;1.56;0;1;;5;1.56;0;1;22;38;42.43
MCOAVC;2019;350000741;350005179;1;26;840;5344;8;1;2.77;;;8;1;2.77;;;47;11;38.85
MCOAVC;2019;370000861;370000481;1;30;1918;9967;;;;;;;;;;;50;15;52.9
MCOAVC;2019;380000067;380780080;1;27;1090;8654;3;2;3.51;1;0;3;2;3.51;1;0;43;9;45.64
MCOAVC;2019;380000174;380781435;1;15;444;2880;;5;1.48;0;0;;5;1.48;0;0;1;40;15.69
MCOAVC;2019;390000040;390780146;1;3;434;719;;2;0.13;;0;;2;0.13;;0;;;
MCOAVC;2019;400000105;400780193;1;16;601;5115;;5;0.99;0;1;;5;0.99;0;1;16;20;26.42
MCOAVC;2019;400000139;400011177;1;13;482;4466;0;5;2.22;;;0;4;2.11;;;0;29;19.33
MCOAVC;2019;420000010;420780033;1;16;547;4529;6;2;2.16;0;1;3;0;0.98;0;1;36;13;22.96
MCOAVC;2019;420785354;420784878;1;23;612;7638;3;1;3.8;1;0;3;;3;1;0;38;11;38.93
MCOAVC;2019;430000117;430000018;1;7;457;3431;0;2;0.33;0;1;0;2;0.33;0;1;5;5;6.42
MCOAVC;2019;440000016;440000057;1;14;582;4556;6;2;5.67;0;1;5;2;5.47;0;1;10;17;19.25
MCOAVC;2019;440017598;440000289;1;23;1309;7633;;;;;;;;;;;24;14;33.35
MCOAVC;2019;450002613;450000088;1;18;919;5331;0;4;3.1;;;0;2;1.59;;;21;11;27.55
MCOAVC;2019;460000110;460780216;1;12;657;3201;2;0;2;0;1;2;0;2;0;1;24;2;25
MCOAVC;2019;470000423;470016171;1;18;884;4557;0;6;2.44;0;1;0;6;2.44;0;1;14;26;24.24
MCOAVC;2019;490000049;490000031;1;20;1135;6489;;1;0.08;;;;1;0.08;;;12;17;20.19
MCOAVC;2019;500000187;500000013;1;18;700;5426;3;1;1.64;0;0;1;1;0.18;0;0;14;4;16.42
MCOAVC;2019;500000450;500000112;1;16;628;4828;5;2;5.76;0;1;5;2;5.76;0;1;31;11;24.09
MCOAVC;2019;510004302;510000029;1;8;738;4878;2;;0.6;0;1;2;;0.6;0;1;19;3;18.67
MCOAVC;2019;540001138;540023264;1;36;1702;12176;6;0;2.19;1;1;6;;2.19;1;1;38;16;47.37
MCOAVC;2019;550000012;550006795;1;9;290;2303;2;2;2.05;0;1;;2;0.05;0;1;7;1;3.8
MCOAVC;2019;550000434;550003354;1;12;438;3632;;4;1.51;0;1;;1;0.2;0;0;;50;16.79
MCOAVC;2019;560000127;560023210;1;16;854;5352;3;0;2;0;1;3;0;2;0;1;4;63;43.07
MCOAVC;2019;560000135;560005746;1;18;805;6685;;6;2.32;0;1;;6;2.32;0;1;22;11;19.65
MCOAVC;2019;560000143;560014748;1;15;518;4626;2;0;0.74;;;2;0;0.73;0;1;5;1;5.94
MCOAVC;2019;570000059;570025254;1;18;626;5169;4;2;4.23;0;1;4;2;4.23;0;1;30;13;31.21
MCOAVC;2019;570000349;570005165;1;12;406;4053;3;0;2.97;0;1;;;;;;22;2;11.13
MCOAVC;2019;570026682;570005165;1;31;1188;8339;4;0;1.9;0;1;4;0;1.9;0;1;36;7;30.06
MCOAVC;2019;580972693;580780039;1;2;33;116;;4;0.2;0;1;;4;0.2;0;1;;;
MCOAVC;2019;590000337;590781415;1;16;859;4825;4;1;4.1;0;1;1;0;1;0;1;30;20;29.73
MCOAVC;2019;590000535;590781803;1;16;685;3805;6;1;6.2;1;1;;;;;;12;3;15.18
MCOAVC;2019;590000618;590782215;1;27;1289;9268;7;;6.5;1;1;7;;6.5;1;1;28;18;43.53
MCOAVC;2019;590780284;590051801;1;22;753;6142;4;2;4.65;0;1;4;2;4.65;0;1;14;31;25.95
MCOAVC;2019;590796975;590780193;1;46;1678;13931;7;;4;;;7;;4;;;72;35;88.73
MCOAVC;2019;590801106;590782421;1;23;921;6782;1;;1;0;1;1;;1;0;1;;;
MCOAVC;2019;590804696;590781902;1;12;496;3461;4;;1.92;0;1;4;;1.92;0;1;13;17;21.83
MCOAVC;2019;600000194;600100713;1;20;909;7415;0;3;2.1;;;0;3;2.1;;;32;6;31.66
MCOAVC;2019;600000467;600101984;1;10;382;3475;;7;2.77;;;;7;2.77;;;3;45;16.39
MCOAVC;2019;600113476;600100721;1;11;587;3452;5;5;5.87;;;5;4;5.54;;;44;17;53.67
MCOAVC;2019;610000051;610780082;1;10;509;3207;;;;;;;;;;;;35;12.59
MCOAVC;2019;620000034;620100057;1;17;988;5322;;3;1.5;1;0;;3;1.5;1;0;38;5;39.75
MCOAVC;2019;620000224;620100651;1;18;691;4867;6;1;1.98;1;0;6;1;1.98;1;0;42;18;23.49
MCOAVC;2019;620000257;620100685;1;27;1118;8647;4;10;2.97;1;0;4;5;2.97;1;0;34;8;36.18
MCOAVC;2019;620000323;620101337;1;15;713;5339;;5;0.74;;;;;;;;6;16;11.13
MCOAVC;2019;620000653;620103440;1;6;830;5973;;6;1.31;;;;6;1.31;;;;1;0.2
MCOAVC;2019;630000404;630780989;1;22;685;7352;5;;2.9;;;5;;2.9;1;;35;17;47.36
MCOAVC;2019;640000162;640780417;1;8;1110;4692;1;12;4.88;;;1;12;4.88;;;36;7;34.3
MCOAVC;2019;640000600;640781290;1;24;951;5222;2;10;5.12;0;1;2;10;5.12;0;1;10;5;11.02
MCOAVC;2019;650000417;650783160;1;12;480;3507;1;;0.3;0;1;;;;;;;;
MCOAVC;2019;660000084;660780180;1;8;1594;13212;9;6;12.45;;;9;6;12.45;;;27;;26.83
MCOAVC;2019;670783273;670780055;1;48;1710;13499;6;3;7.32;1;0;5;2;5.82;1;0;57;5;54.14
MCOAVC;2019;680000684;680000973;1;15;540;4936;9;0;9.88;0;1;9;0;9.88;0;1;5;3;6.95
MCOAVC;2019;680004546;680020336;1;15;439;6203;;4;2;;;;3;1.4;;;5;28;18.64
MCOAVC;2019;690000575;690782222;1;14;690;4343;0;5;2.43;0;1;0;5;2.43;0;1;0;30;14.86
MCOAVC;2019;690784178;690781810;1;35;2148;10707;4;3;2.98;0;0;3;3;2.98;0;0;54;9;59.96
MCOAVC;2019;690784194;690781810;1;14;273;4162;2;;0.4;0;1;;;;0;1;15;7;18.47
MCOAVC;2019;700000029;700004591;1;4;378;1291;1;1;1.2;;1;;;;;;;4;0.42
MCOAVC;2019;710978263;710780958;1;6;901;1770;5;3;3;1;;5;3;3;1;;;;
MCOAVC;2019;720000033;720000025;1;15;714;4833;1;2;2.27;0;0;0;2;1.27;0;0;4;30;23.67
MCOAVC;2019;730000031;730000015;1;24;1116;7705;6;2;6.07;;1;;;;;;48;12;56.7
MCOAVC;2019;740000237;740781133;1;15;715;4800;2;3;2.75;1;0;2;3;2.75;1;0;0;59;29.51
MCOAVC;2019;740000302;740781133;1;9;285;2768;;6;1.01;;;;;;;;;30;5.58
MCOAVC;2019;740781141;740790258;1;8;352;3718;1;3;0.32;0;1;1;3;0.32;0;1;;;
MCOAVC;2019;750000499;750062036;1;25;1572;9892;5;;4.5;1;1;5;;4.5;1;1;167;192;326.81
MCOAVC;2019;750000523;750150120;1;35;1621;10148;5;5;7.52;1;0;5;5;7.52;1;0;33;8;29.35
MCOAVC;2019;750000549;750150229;1;24;1493;7427;6;2;8.28;;;4;1;3.82;;;45;6;42.79
MCOAVC;2019;750100042;750712184;1;35;1819;11532;0;8;2.4;1;1;0;0;;1;1;38;2;39.2
MCOAVC;2019;750100091;750712184;1;8;929;8759;3;4;6;0;0;3;4;6;0;0;40;5;43.9
MCOAVC;2019;750100125;750712184;1;103;898;7666;4;5;7.4;0;0;4;5;7.4;0;0;60;5;60.7
MCOAVC;2019;750100232;750712184;1;29;925;7325;;;;;;;;;;;16;1;16.23
MCOAVC;2019;760000158;760780239;1;30;1635;10071;3;;2.8;0;1;3;;2.8;0;1;74;22;81.24
MCOAVC;2019;760805770;760780726;1;20;990;6690;3;6;5.29;;;3;5;4.93;;;23;20;33.13
MCOAVC;2019;770000446;770021145;1;26;710;9316;4;3;2.54;;;;;;;;1;;1
MCOAVC;2019;780000287;780110011;1;12;619;5175;5;4;1.31;;;;;;;;17;3;15.44
MCOAVC;2019;780000311;780001236;1;16;621;5184;4;4;5.2;0;1;4;4;5.2;0;1;9;4;13.16
MCOAVC;2019;780800256;780110078;1;24;1031;7478;;16;3;;;;;;;;25;11;30.07
MCOAVC;2019;790000087;790000012;1;20;1072;6735;;;;0;1;;;;0;1;32;12;36.27
MCOAVC;2019;800006124;800000044;1;23;1097;7528;2;16;6.57;1;0;2;16;6.57;1;0;42;3;42.93
MCOAVC;2019;810000224;810000471;1;4;323;1253;4;;4;0;1;4;;4;0;1;;;
MCOAVC;2019;810000505;810000331;1;6;411;1431;0;4;1.59;0;1;0;4;1.59;0;1;8;5;9.81
MCOAVC;2019;810000521;810000380;1;4;308;711;5;1;0.9;0;1;5;1;0.9;0;;46;16;13.53
MCOAVC;2019;820000032;820000016;1;6;794;2759;;5;0.55;0;1;;5;0.55;0;1;11;22;18.99
MCOAVC;2019;830000345;830100616;1;16;724;4560;3;2;1.8;1;;3;2;1.8;1;;;51;14.02
MCOAVC;2019;830100574;750821092;1;8;414;2450;6;;6;;;6;;6;;;17;5;19
MCOAVC;2019;840001861;840006597;1;17;825;7160;0;5;1.77;1;1;0;5;1.77;1;1;0;63;32.3
MCOAVC;2019;850000142;850000019;1;10;641;5404;;7;1.52;;;;6;1.11;;;;63;36.79
MCOAVC;2019;860000223;860014208;1;20;1073;8008;19;18;22.72;1;0;1;4;2.7;1;1;15;;15
MCOAVC;2019;870000064;870000015;1;26;1155;8156;4;1;1.87;1;0;4;1;1.87;1;0;44;5;49.12
MCOAVC;2019;880000021;880007059;1;12;431;4748;1;4;3.2;0;;;;;;;25;5;27.31
MCOAVC;2019;890975550;890970569;1;2;;;;;;;;;;;;;22;6;27.53
MCOAVC;2019;900003039;900000365;1;4;631;9699;5;2;4.57;0;1;;;;;;;;
MCOAVC;2019;910000306;910110055;1;24;812;7971;2;3;2.31;;;;;;;;;3;1.16
MCOAVC;2019;910020254;910002773;1;36;1678;15342;10;6;10.53;1;;10;5;10.03;1;;5;2;5.4
MCOAVC;2019;920000650;920150059;1;26;1018;6315;3;;3;0;0;3;;3;0;0;11;;10.33
MCOAVC;2019;930000328;930110051;1;28;952;10129;12;2;8.86;1;0;12;1;8.76;1;0;62;2;61.84
MCOAVC;2019;930000336;930110069;1;24;1113;9894;11;;3.04;;;;;;;;94;;33.97
MCOAVC;2019;940100027;750712184;1;23;920;7934;4;;4;1;1;4;;4;1;1;35;3;36.2
MCOAVC;2019;940100043;750712184;1;32;1186;7369;5;0;5;;;;;;;;29;1;28
MCOAVC;2019;950000331;950110049;1;36;1208;12197;2;9;6.96;;;2;9;6.96;;;25;18;37.13
MCOAVC;2019;950000364;950110080;1;27;920;8034;6;4;7.94;;;6;4;7.94;;;;;
MCOAVC;2019;970100442;970100228;1;16;777;4690;3;3;3.9;1;1;3;3;3.9;1;1;15;1;15.5
MCOAVC;2019;970211215;970211207;1;25;667;7960;4;1;2.82;;;4;1;2.82;;;23;;23
MCOAVC;2019;970400024;970408589;1;16;729;5799;3;;3;;;2;;2;;;26;1;26.5
MCOAVC;2019;970400057;970408589;1;19;1082;6063;3;9;7.74;0;1;3;9;7.74;0;1;30;40;41.71
