BOR;AN;FI;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2019;010000024;010780054;1;431;133;886;1.25;1;22;;1009;0;7876;;;4;4;2;2;0;0;0;0;11;12;;;5;8;1;2;;3;15.75;13.36;0.7;;6.43
MCOGER;2019;010000065;010780096;0;;;;;1;46;;2054;0;14913;2;;3;1;5.11;1.42;0;0;1;1;9;7;;;2;21;30;2;1;11;22.58;22.15;0.1;0.1;8.15
MCOGER;2019;010000099;010780120;0;;;;;1;9;;135;0;1828;;;4;2;0.5;0.23;0;0;0;0;14;9;;;12;5;10;;;4;3.59;4.99;;;3.32
MCOGER;2019;010000107;010780138;0;;;;;1;15;;164;0;1911;1;1;2;2;1;1;0;0;0;0;12;15;;;;3;1;;;;4;1.59;;;
MCOGER;2019;010000115;010009132;0;;;;;1;12;;146;0;3102;;;4;3;0.47;0.45;0;;0;;1;6;;;;3;5;1;;2;2.61;9.28;0.08;;0.43
MCOGER;2019;010000131;010009132;0;;;;;1;20;;191;0;2878;1;1;1;1;0.42;0.42;0;0;0;0;2;0;;;1;1;2;1;;4;2.3;1;0.04;;3.48
MCOGER;2019;010000214;010007987;0;;;;;1;10;0;106;0;1447;2;;3;1;0.85;0.25;0;0;1;1;;;;;;17;21;;;29;5.06;7.92;;;5.74
MCOGER;2019;010005239;010008407;0;;;;;1;15;0;469;0;5020;1;0;0;0;1.38;0;;;;;4;9;0;0;1;3;3;0;0;0;5.08;9.81;0;0;1
MCOGER;2019;010780203;010010718;0;;;;;1;26;;648;0;6757;2;2;;;1.68;1.68;0;0;0;0;7;4;;;;;;;;;7;4;;;
MCOGER;2019;020000097;020000048;0;;;;;1;38;;619;0;8440;2;1;;;2;1;0;0;1;1;28;29;;;;2;2;;;;27.21;28.57;;;
MCOGER;2019;020000105;020000055;0;;;;;1;14;;344;0;3778;1;;2;;1.03;;;;1;;9;12;2;;7;1;1;;;3;6.18;8.51;0.32;;4.77
MCOGER;2019;020000162;020000063;1;344;0;301;1.05;1;50;0;2203;82;18410;3;3;1;1;3.6;3.6;0;0;0;0;14;19;0;0;3;3;2;0;0;9;14.14;17.78;0;0;7.09
MCOGER;2019;020000394;020000253;1;230;0;222;1.56;1;25;0;713;40;8893;4;2;1;1;2.92;2.5;0;0;0;0;10;8;0;0;1;0;2;0;0;0;10.34;10.51;0;0;1.6
MCOGER;2019;020000519;020000261;1;257;;230;0.5;1;15;;;;;2;1;;;2;1;0;0;1;0;5;6;;;;1;2;;;;5.8;7.6;;;
MCOGER;2019;020000535;020000287;1;234;0;203;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;020001061;020004404;1;19;55;53;0.2;1;21;;1215;15;8102;4;1;;;3.43;1;0;0;0;0;9;9;;;2;;2;;;2;8.19;12.06;;;2.45
MCOGER;2019;020001087;020004495;0;;;;;1;14;0;907;0;9531;2;0;4;0;4.68;0;;;;;17;25;0;0;7;6;2;0;0;1;21.68;23.44;0;0;7.25
MCOGER;2019;030000061;030780092;1;819;0;760;3.75;1;33;1;841;77;11939;3;3;0;0;3.93;3.93;1;1;0;0;10;12;0;0;2;13;14;0;0;3;15.33;17.6;0;0;1.79
MCOGER;2019;030000079;030780100;1;63;6;69;0.4;1;30;;961;0;10681;3;3;;;3.21;3.21;0;0;1;1;7;6;;;7;;3;;;;10.3;12.22;;;6.05
MCOGER;2019;030000087;030780118;1;585;26;465;3.16;1;27;2;748;105;10529;3;2;0;0;3;2;0;0;0;0;9;12;0;0;5;2;4;0;0;3;11.67;14.07;0;0;7.49
MCOGER;2019;040000911;040788879;1;141;45;131;3.65;1;24;2;802;28;8412;2;2;3;2;3.62;2.68;1;1;0;0;;;;;;12;11;;;7;7.53;6.02;;;5.59
MCOGER;2019;050000256;050000124;1;420;111;165;1.88;1;12;0;384;0;3926;1;1;2;2;2.05;2.05;1;0;;;3;2;;;3;6;9;;;7;5.53;6.33;;;4.05
MCOGER;2019;050000348;050002948;1;775;242;790;3.4;1;30;1;982;0;10357;2;2;4;4;4.34;3.56;;;;;12;5;0;0;6;11;10;1;0;10;16.92;12.13;0.5;0;11.16
MCOGER;2019;060000478;060780897;1;597;94;487;2.3;1;14;;585;0;5951;2;1;3;3;2.73;1.73;;;;;10;16;0;0;1;1;2;0;0;4;11.72;15.87;0;0;1.32
MCOGER;2019;060000510;060780954;1;532;0;532;4.8;1;31;0;1073;0;11341;5;5;2;2;4.81;4.81;0;0;1;1;16;16;2;0;11;1;2;0;0;0;16.27;17.68;1.5;0;9.67
