BOR;AN;FI;FI_EJ;EX_NEUCHI;LIT_NEUCHI;EX_REA;EX_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;CRAN;CERE;STEREOT;NPED;ENDO;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2019;060780947;060800174;0;;0;0;0;;1;0;;0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2019;060785003;060785011;1;28;;;1;14;;1;;0;;1;1;1;1;1;2400;34;12086;17;1;70;104;971;669;1935;323;36;1838
NEUROCHIR;2019;080010473;080010242;0;3;0;0;0;;0;0;;0;;0;0;0;0;0;181;2;816;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2019;130780521;130786049;1;25;;;;;;1;250;0;;1;0;0;0;0;1265;28;7835;11;0;57;183;1093;218;429;0;0;0
NEUROCHIR;2019;130783293;130786049;1;61;1;1;0;;1;1;;0;;1;1;1;1;1;4028;43;22982;36;0;200;161;1322;687;2044;517;53;2523
NEUROCHIR;2019;130784051;130037823;1;111;0;1;1;4;1;1;;0;;1;1;1;0;1;4436;14;26019;7;0;63;235;823;88;480;157;0;540
NEUROCHIR;2019;130804297;130786049;1;;0;0;0;;1;;;;;0;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2019;140000209;140000100;1;42;0;1;0;0;1;1;2950;0;0;1;1;0;1;1;2090;51;14204;13;0;60;186;2321;515;1848;402;60;2192
NEUROCHIR;2019;210987558;210780581;1;30;;;1;6;;1;2500;0;;;;;;;1846;38;7390;6;0;43;169;932;101;573;396;35;1927
NEUROCHIR;2019;250006954;250000015;1;33;0;1;0;;1;1;;1;;1;0;1;0;1;1709;24;9145;14;1;80;78;819;215;1196;233;8;1480
NEUROCHIR;2019;260020078;420784878;1;10;0;0;0;;0;0;;0;;0;0;0;0;0;547;19;2894;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2019;290004324;290000017;1;42;0;1;1;0;1;1;;0;;1;1;1;1;1;1582;34;12069;17;0;76;120;894;40;81;334;8;1530
NEUROCHIR;2019;2B0000012;2B0000020;1;20;0;0;0;;1;0;;0;;1;0;0;0;0;908;29;5466;9;1;35;29;579;54;211;0;0;0
NEUROCHIR;2019;300780152;300017985;1;29;0;0;0;;1;0;;0;;1;0;0;0;0;2069;5;8574;4;0;10;70;312;320;406;0;0;0
NEUROCHIR;2019;300782117;300780038;1;10;0;0;0;;1;1;;1;;1;0;0;0;0;513;11;2932;2;0;6;28;292;94;161;0;0;0
NEUROCHIR;2019;310780283;310000112;1;34;0;0;0;;1;0;;0;;1;0;0;0;0;370;7;3232;0;0;0;6;120;27;109;0;0;0
NEUROCHIR;2019;310781000;310788880;1;35;;;1;2;1;0;;0;;1;1;1;0;1;3066;8;12969;1;0;1;41;251;199;758;109;1;476
NEUROCHIR;2019;310783048;310781406;1;78;1;1;1;;1;1;;0;;1;1;1;1;1;3078;26;24039;39;1;243;323;4102;850;2575;684;58;3075
NEUROCHIR;2019;330781360;330781196;1;72;1;1;0;;;;;;;1;1;0;1;1;2462;32;18655;230;2;854;553;5614;1475;2465;752;273;1832
NEUROCHIR;2019;340015502;340000512;1;30;1;0;1;2;1;0;;0;;1;0;1;0;1;1677;11;7275;1;0;10;81;337;582;876;0;0;0
