BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
NEUROCHIR_P;2019;060780947;060800174;M2060;;2;0.9;0;1
NEUROCHIR_P;2019;060785003;060785011;M103X;0;13;5.82;;
NEUROCHIR_P;2019;060785003;060785011;M1160;0;2;2.1;0;1
NEUROCHIR_P;2019;060785003;060785011;M2060;0;7;3.61;0;1
NEUROCHIR_P;2019;060785003;060785011;N2200;21;5;23.06;;
NEUROCHIR_P;2019;060785003;060785011;N2500;25;1;24.42;;
NEUROCHIR_P;2019;060785003;060785011;N4000;1;;1;;
NEUROCHIR_P;2019;060785003;060785011;NAUT;27;2;19.85;;
NEUROCHIR_P;2019;060785003;060785011;NCINS;5;1;1.68;;
NEUROCHIR_P;2019;080010473;080010242;M2060;;1;0.5;;
NEUROCHIR_P;2019;130780521;130786049;M1120;1;;1;;
NEUROCHIR_P;2019;130780521;130786049;M2060;2;4;3.39;;
NEUROCHIR_P;2019;130780521;130786049;MAUT;;3;0.18;;
NEUROCHIR_P;2019;130780521;130786049;N2200;11;5;14.81;;
NEUROCHIR_P;2019;130780521;130786049;N2400;;1;0.3;;
NEUROCHIR_P;2019;130780521;130786049;N2500;9;2;9.19;;
NEUROCHIR_P;2019;130780521;130786049;NAUT;2;;2;;
NEUROCHIR_P;2019;130780521;130786049;NCINS;1;;0.4;;
NEUROCHIR_P;2019;130783293;130786049;M1120;;1;0.1;0;0
NEUROCHIR_P;2019;130783293;130786049;M2060;2;7;4.19;1;1
NEUROCHIR_P;2019;130783293;130786049;MAUT;;3;0.88;;
NEUROCHIR_P;2019;130783293;130786049;N2200;38;5;39.01;;
NEUROCHIR_P;2019;130783293;130786049;N2500;33;;32.6;;
NEUROCHIR_P;2019;130783293;130786049;N4000;1;;0.97;;
NEUROCHIR_P;2019;130783293;130786049;NAUT;5;1;5.39;;
NEUROCHIR_P;2019;130783293;130786049;NCINS;3;;2.73;;
NEUROCHIR_P;2019;130784051;130037823;M103X;4;5;7.3;;
NEUROCHIR_P;2019;130784051;130037823;M1120;3;5;1.2;0;0
NEUROCHIR_P;2019;130784051;130037823;M1160;6;2;3.8;0;1
NEUROCHIR_P;2019;130784051;130037823;M2060;6;3;7.6;0;1
NEUROCHIR_P;2019;130784051;130037823;N2200;23;4;33.62;;
NEUROCHIR_P;2019;130784051;130037823;N2500;16;1;22.69;;
NEUROCHIR_P;2019;130784051;130037823;NCINS;3;;2.89;;
NEUROCHIR_P;2019;130804297;130786049;M2060;1;2;1.55;;
NEUROCHIR_P;2019;140000209;140000100;M1160;3;1;2.66;0;1
NEUROCHIR_P;2019;140000209;140000100;M2060;9;2;7.5;1;0
NEUROCHIR_P;2019;140000209;140000100;N2200;14;6;18.03;;
NEUROCHIR_P;2019;140000209;140000100;N2500;21;9;24.16;;
NEUROCHIR_P;2019;140000209;140000100;N4000;18;2;13.46;;
NEUROCHIR_P;2019;140000209;140000100;NAUT;18;4;16.12;;
NEUROCHIR_P;2019;140000209;140000100;NCINS;2;;1.35;;
NEUROCHIR_P;2019;210987558;210780581;M1160;3;2;3.74;;
NEUROCHIR_P;2019;210987558;210780581;M2060;1;;0.35;;
NEUROCHIR_P;2019;210987558;210780581;N2200;27;;24.72;;
NEUROCHIR_P;2019;210987558;210780581;N2500;16;;15.15;;
NEUROCHIR_P;2019;210987558;210780581;NAUT;9;;8.92;;
NEUROCHIR_P;2019;210987558;210780581;NCINS;1;;1;;
NEUROCHIR_P;2019;250006954;250000015;M103X;0;7;2.34;;
NEUROCHIR_P;2019;250006954;250000015;M2060;0;6;2.7;0;1
NEUROCHIR_P;2019;250006954;250000015;N2200;9;17;19.96;;
NEUROCHIR_P;2019;250006954;250000015;N2400;0;2;0.99;;
NEUROCHIR_P;2019;250006954;250000015;N2500;11;9;16.12;;
NEUROCHIR_P;2019;250006954;250000015;N4000;3;2;4;;
NEUROCHIR_P;2019;250006954;250000015;NAUT;3;4;8.66;;
NEUROCHIR_P;2019;250006954;250000015;NCINS;4;3;5.3;;
NEUROCHIR_P;2019;260020078;420784878;M2060;4;;3.4;0;1
NEUROCHIR_P;2019;290004324;290000017;M1120;;;;0;1
NEUROCHIR_P;2019;290004324;290000017;M1160;;;;0;1
NEUROCHIR_P;2019;290004324;290000017;M2060;3;3;4.5;0;1
NEUROCHIR_P;2019;290004324;290000017;N2200;14;11;20.7;;
NEUROCHIR_P;2019;290004324;290000017;N2500;17;8;23.79;;
NEUROCHIR_P;2019;290004324;290000017;NAUT;5;0;5.65;;
NEUROCHIR_P;2019;290004324;290000017;NCINS;1;0;1.72;;
NEUROCHIR_P;2019;2B0000012;2B0000020;M1120;0;;0.07;0;0
NEUROCHIR_P;2019;2B0000012;2B0000020;M2060;0;3;2.01;0;1
NEUROCHIR_P;2019;2B0000012;2B0000020;N2200;13;3;12.77;;
NEUROCHIR_P;2019;2B0000012;2B0000020;N2400;0;1;0.1;;
NEUROCHIR_P;2019;2B0000012;2B0000020;N2500;12;5;12.81;;
NEUROCHIR_P;2019;2B0000012;2B0000020;NAUT;0;1;0.05;;
NEUROCHIR_P;2019;2B0000012;2B0000020;NCINS;1;1;1.15;;
NEUROCHIR_P;2019;300780152;300017985;M103X;11;1;11.5;;
NEUROCHIR_P;2019;300780152;300017985;M1120;;2;0.1;0;0
NEUROCHIR_P;2019;300780152;300017985;M1160;3;26;14.5;0;1
NEUROCHIR_P;2019;300780152;300017985;M2060;2;;3;0;1
NEUROCHIR_P;2019;300780152;300017985;N2200;6;20;12.5;;
NEUROCHIR_P;2019;300780152;300017985;N2500;8;3;9.6;;
NEUROCHIR_P;2019;300780152;300017985;NAUT;2;12;7.9;;
NEUROCHIR_P;2019;300780152;300017985;NCINS;1;;1;;
NEUROCHIR_P;2019;300782117;300780038;M2060;2;4;3.3;0;1
NEUROCHIR_P;2019;300782117;300780038;N2200;7;;5.85;;
NEUROCHIR_P;2019;300782117;300780038;N2400;;1;0.1;;
NEUROCHIR_P;2019;300782117;300780038;N2500;5;1;6.65;;
NEUROCHIR_P;2019;300782117;300780038;NAUT;4;1;4.29;;
NEUROCHIR_P;2019;300782117;300780038;NCINS;1;;0.5;;
NEUROCHIR_P;2019;310780283;310000112;M103X;12;5;15.5;;
NEUROCHIR_P;2019;310780283;310000112;M2060;6;;6;;
NEUROCHIR_P;2019;310780283;310000112;N2200;8;4;10.78;;
NEUROCHIR_P;2019;310780283;310000112;N2500;11;;9.31;;
NEUROCHIR_P;2019;310780283;310000112;NAUT;1;;1;;
NEUROCHIR_P;2019;310780283;310000112;NCINS;1;;1;;
NEUROCHIR_P;2019;310781000;310788880;M103X;5;;5;;
NEUROCHIR_P;2019;310781000;310788880;M1120;4;;4;0;1
NEUROCHIR_P;2019;310781000;310788880;M1160;9;;9;0;1
NEUROCHIR_P;2019;310781000;310788880;M2060;6;;6;0;1
