BOR;AN;FI;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A12;GCS_PM;GHT_PM;AUT_PM;GCS_PARA;GHT_PARA;AUT_PARA;GCS_ADMTECLOG;GHT_ADMTECLOG;AUT_ADMTECLOG
ORG;2019;010000024;010780054;0;;;2;C;B;0;;;0;;;1;D;;0;;;0;;;322;C;D;0;;;;;;;;;;0.6;0;2.81;2;;;2.11;;3.4;2.66
ORG;2019;010000032;010780062;0;;;2;A;B;0;;;0;;;0;;;1;A;;0;;;15;;;1;;;1;1;SAVOIE BELLEY;;;;;0.05;;;0.9;;0.1;10.1;;;1.4
ORG;2019;010000065;010780096;;;;;;;;;;;;;;;;1;A;;;;;1;D;;;;;;;;;;;;;;;;;;0.27;;0.45;0.27
ORG;2019;010000081;010780112;;;;;;;;;;;;;;;;;;;1;;;5;;;;;;;;;;;;;;;;;;0.2;;;0.1;
ORG;2019;010000099;010780120;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0.05;
ORG;2019;010000115;010009132;;;;1;C;;;;;;;;2;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.18;
ORG;2019;010000214;010007987;;;;1;D;;;;;;;;;;;;;;;;;1;D;;;;;;;;;;;;0;;;;;;;;;
ORG;2019;010005239;010008407;;;;;;;;;;;;;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2019;010006526;690796552;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;;0;;;;;;0.1;;;
ORG;2019;010007300;010007292;0;;;0;;;0;;;0;;;0;;;0;;;0;;;3;C;D;0;;;0;;;;;;;0.04;0;0;0;0;0;0;0;0;0
ORG;2019;010008852;010783009;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;010010171;010011559;;;;;;;;;;;;;;;;1;A;;;;;4;C;D;;;;0;;;;;;;;;;;;;;;;
ORG;2019;010780195;010000156;;;;;;;;;;;;;;;;2;A;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;010780252;010783009;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;010780278;010783009;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;010780294;690000278;;;;;;;;;;;;;;;;;;;;;;4;C;C;;;;0;;;;;;;0.16;;;;;;;;;
ORG;2019;010780310;010000222;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;010780328;010000222;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;010780476;750005068;;;;;;;;;;;;;;;;;;;;;;6;C;;1;E;;0;;;;;;;0;;;;;;;;;
ORG;2019;010780708;310021381;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;RHÔNE NORD BEAUJOLAIS DOMBES;;;;;;;;;;;;;;
ORG;2019;010780799;750721334;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;010789006;210012290;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;1;;;;;;
ORG;2019;020000089;020000022;;;;;;;;;;;;;;;;;;;;;;150;C;;;;;;;;;;;;0;;0.4;0.5;;;;;;
ORG;2019;020000097;020000048;;;;3;A;D;;;;;;;1;A;;;;;;;;;;;;;;1;1;AISNE NORD;;;;;;;0;;;0;;;0;
ORG;2019;020000105;020000055;;;;;;;;;;;;;;;;;;;;;;79;C;D;;;;1;1;AISNE NORD;;;;;0.05;;;;0.72;;;2.49;;
ORG;2019;020000162;020000063;;;;1;D;;;;;;;;;;;;;;1;C;;;;;;;;;;;;;;;1;1.3;0.4;;5.37;6.18;;17;1.18;
ORG;2019;020000303;750814030;;;;2;A;D;;;;;;;2;A;B;;;;;;;70;C;A;8;C;A;0;;;;;;;0.5;0;;0.07;0;;4.78;13.1;;1.83
ORG;2019;020000394;020000253;;;;;;;;;;;;;;;;1;D;;;;;;;;;;;;;;;;;;;;0.1;0.75;;;5;;0.5;
ORG;2019;020000519;020000261;1;D;;;;;;;;;;;;;;2;D;;;;;159;;;;;;0;;;;;;;0.5;;;5.95;;;;;;
ORG;2019;020000535;020000287;;;;;;;;;;;;;;;;1;;;;;;;;;;;;0;;;;;;;;;0.95;0.7;;;3.51;;;0.68
ORG;2019;020000543;020000295;;;;1;B;;;;;1;E;;2;B;B;;;;;;;1;D;;;;;;;;;;;;;;;;;;;;;
ORG;2019;020000915;020003620;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2019;020001061;020004404;;;;2;A;D;;;;;;;1;B;;;;;7;;;;;;;;;;;;;;;;0.05;;;;;;;;;
ORG;2019;020004297;020005179;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;AISNE NORD;AISNE SUD- SAPHIR;;;;0;;0;;;0;;;0;
