BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2019;010000024;010780054;M1030;;16;2.99;1;0;1;
PERINAT_P;2019;010000024;010780054;M1140;;2;2.28;1;0;;
PERINAT_P;2019;010000024;010780054;M2050;;8;5.31;1;0;;
PERINAT_P;2019;010000024;010780054;MIVG;;7;0.45;;;;
PERINAT_P;2019;010000024;010780054;N2200;2;4;4.02;;;;
PERINAT_P;2019;010000024;010780054;N2340;7;15;13.39;;;;
PERINAT_P;2019;010000024;010780054;N2530;11;23;22.2;;;;
PERINAT_P;2019;010000024;010780054;N2700;;1;0.65;;;;
PERINAT_P;2019;010000024;010780054;N2800;12;30;28.98;;;;
PERINAT_P;2019;010000024;010780054;N280H;12;30;28.98;;;;
PERINAT_P;2019;010000024;010780054;NAUT;11;5;15.83;;;;
PERINAT_P;2019;010000032;010780062;M1140;1;;1;0;1;;
PERINAT_P;2019;010000032;010780062;M2050;1;;1;1;0;;
PERINAT_P;2019;010000032;010780062;N2800;9;3;10.63;;;;
PERINAT_P;2019;010000032;010780062;N280H;9;3;10.63;;;;
PERINAT_P;2019;010005239;010008407;M2050;2;1;2.56;;;;
PERINAT_P;2019;010005239;010008407;MAUT;0;0;0.26;;;;
PERINAT_P;2019;010005239;010008407;N2530;7;5;12.28;;;;
PERINAT_P;2019;010005239;010008407;N2700;0;1;0.03;;;;
PERINAT_P;2019;010005239;010008407;N2800;14;5;16.92;;;;
PERINAT_P;2019;010005239;010008407;N280H;14;5;16.92;;;;
PERINAT_P;2019;010780203;010010718;M1030;4;;4;0;1;;1
PERINAT_P;2019;010780203;010010718;M1140;;2;2;0;1;;
PERINAT_P;2019;010780203;010010718;M2050;4;3;5;0;1;;
PERINAT_P;2019;010780203;010010718;MAUT;;;0.41;;;;
PERINAT_P;2019;010780203;010010718;N2530;12;;11.32;;;;
PERINAT_P;2019;010780203;010010718;N2800;12;0;12.76;;;;
PERINAT_P;2019;010780203;010010718;N280H;5;;5;;;;
PERINAT_P;2019;020000162;020000063;M1030;1;0;1;;;;
PERINAT_P;2019;020000162;020000063;M1140;5;3;6.3;1;;;
PERINAT_P;2019;020000162;020000063;M2050;6;1;6.4;1;;;
PERINAT_P;2019;020000162;020000063;MIVG;0;1;0.2;;;;
PERINAT_P;2019;020000162;020000063;N2200;8;8;11.98;;;;
PERINAT_P;2019;020000162;020000063;N2340;14;6;18.51;;;;
