BOR;AN;FI;FI_EJ;PN_A1;PN_A2;PN_A3;PN_A4;PN_A5;PN_A6;PN_A7;PN_A73;PN_A8;PN_A9;PN_A74;PN_A10;PN_A11;PN_A12;PN_A13;PN_A75;PN_A14;PN_A15;PN_A16;PN_A17;PN_A18;PN_A19;PN_A20;PN_A21;PN_A22;PN_A23;PN_A24;PN_A25;PN_B25;PN_A26;PN_A27;PN_A28;PN_A29;PN_A30;PN_A31;PN_A32;PN_A33;PN_A34;PN_B30;PN_B31;PN_B32;PN_B33;PN_B34;PN_C30;PN_C31;PN_C32;PN_C33;PN_C34;PN_A35;PN_A36;PN_A37;PN_A38;PN_A39;PN_A40;PN_A41;PN_A42;PN_A43;PN_A44;PN_A45;PN_A46;PN_A47;PN_A48;PN_A49;PN_A50;PN_A51;PN_A53;PN_A54;PN_A55;PN_A56;PN_A57;PN_A58;PN_A59;PN_A60;PN_A61;PN_A62;PN_A63;PN_A64;PN_A65;PN_A66
PN;2019;010000024;010780054;3.6;1.83;2498;1;1.1;;0;0;0;1;010000495;690;5487;249;1508;;1000;1320;2;0;;;0;;;1;1;1;01/01/2006;306;175;1;;;;;;;6;4;2;2;1;0.85;0.45;0.4;0.9;0.46;0;;;;0;;;;0;;;;1;27;726;1;3.48;1;1.46;373;;1;;;;4.33;0;;;;
PN;2019;010000032;010780062;1;0.2;277;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2009;217;88;1;0;1;;;;;;;;2;1;0.1;;;0.9;0.5;0;;;;0;;;;0;;;;1;2;222;0;;0;;;;1;538;505;27;0.3;0;;;;
PN;2019;010000065;010780096;0.75;;45;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;15/02/2005;180;73;0;120;;;;;;3;3;;3;2;0.27;0.27;;1.1;0.49;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010000081;010780112;0.8;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010000099;010780120;0.5;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010000107;010780138;0.2;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010000115;010009132;0.15;0.4;0;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010000131;010009132;0.33;0.04;0;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010000180;010007987;;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;43;19;7;1;0;;;;
PN;2019;010000214;010007987;0.6;0;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;1;5;2;1;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010000495;010783009;0.25;0.2;406;1;1.4;86;0;1;1;0;;;;;;;;;;0;;;0;;;1;1;1;12/10/2006;506;122;0;90;2;1;;2;1;2;;;4;1;1.15;0.4;;2.68;1.36;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010002129;750056335;0.2;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010005239;010008407;1;0.2;64;1;1;141;0;0;0;0;;;;;;;;;;0;;;0;;;1;1;0;;77;;0;;;;;;;1;;1;1;1;0.6;;0.6;0.5;0.5;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010005379;010010718;;0.8;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010007300;010007292;1;0.01;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010008852;010783009;0.02;0.02;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010009314;010780054;;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;1;10;93;3005;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010009702;010780054;;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;15;10;5263;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010010171;010011559;0.1;0.1;;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010780195;010000156;0.5;;1774;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010780203;010010718;1;2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010780252;010783009;0.16;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010780278;010783009;0.22;0.28;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010780294;690000278;0.02;0.11;3;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010780310;010000222;0.04;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010780328;010000222;;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010780476;750005068;0.45;0.18;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010780492;360000707;0.2;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010780708;310021381;0.1;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;010789576;010780096;0.05;;;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020000089;020000022;0;0;17;1;1;17;0;0;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2010;73;25;0;0;0;0;0;0;0;1;1;0;1;1;0.1;0.1;0;0.1;0.1;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020000097;020000048;0.5;0.1;11;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020000105;020000055;0.33;0;11;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/07/2009;40;25;0;31;;;;1;1;2;;;;;0.12;;;0.05;0.05;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020000162;020000063;6.2;1;4904;1;0.5;95;0;1;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2002;706;275;0;94;0;0;0;6;1;2;2;0;8;2;0.4;0.4;0;8.92;1.95;0;;;;1;14;12;4201;0;;;;1;14;1279;1;2.1;0;;;;1;682;248;8;0.8;0;;;;
PN;2019;020000246;020000071;0.33;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020000303;750814030;1;0.5;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2007;309;119;1;180;2;2;;1;1;;;;;;0.24;0.17;;0.1;0.1;1;15;135;4722;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020000360;020014742;0.15;0.02;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2019;020000386;020000600;0.16;0.04;0;0;;;;;0;0;;;;;;;;;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
