BOR;AN;FI;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL_PA;NB_CMP_SEUL_PL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_ASS;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_ASS;HPLETP_REE;HPLETP_EDU
PSY;2019;010000495;010783009;GEN;;4;;;294;;;;;;107310;65;;;4121;96916;;;;;;;7353;;;4;11;1;13;66852;4720;36966;6090;3588;4122;3;11860;10302;1757;63;17;18;28.29;13;8;15.9;0;0;586;153;674.38;416.27;98.49;31.57;;6.15;32.76;9;5;11.08;4;1;4.07;364;61;416.61;235.15;87.54;6.01;;0;10
PSY;2019;010000495;010783009;INF;;1;;;11;;;;;;4015;14;;;369;2571;;;;;;;2150;;;5;6;1;6;26408;1196;9597;22;79;362;664;3538;3222;123;0;5;7;9.52;1;0;0.98;0;0;80;74;121.34;61.42;5.6;19.95;;14.19;11.95;1;1;2.1;1;0;0.57;34;8;36.69;24.43;2.8;2.91;;0.19;2.86
PSY;2019;010000495;010783009;PEN;;;;;0;;;;;;0;0;;;;;;;;;;;;;;1;0;;1;3977;;864;;;;;911;884;;;1;0;0.65;0;0;0;;;4;4;6.56;2.11;0;4.46;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
PSY;2019;010000495;010783009;TOT;1;;6;1;305;;;;;;111325;79;;;4490;99487;;;;;;;9503;;;10;17;2;20;97237;5916;47427;6112;3667;4484;667;16006;14249;1931;63;23;25;38.46;14;8;16.88;;;670;231;802.28;479.8;104.09;55.98;;20.34;44.71;10;6;13.18;5;1;4.64;398;69;453.3;259.58;90.34;8.92;;0.19;12.86
PSY;2019;010010171;010011559;GEN;;;;;80;;;;20;;29200;20;4;;446;12922;;;;14859;;;4634;0;;;;;;;;;;;;;759;;759;;;4;;;;;0;1;49;3;50.45;22.82;16.95;6.85;;2.83;1;;;;;;;;;;;;;;;
PSY;2019;010010171;010011559;TOT;0;;;0;80;;;;20;;29200;20;4;;446;12922;;;;14859;;;4634;0;;;;;;;;;;;;;759;;;;;4;;;;;;;49;3;50.45;22.82;16.95;6.85;;2.83;1;;;;;;;;;;;;;;;
PSY;2019;020000386;020000600;GEN;;;;;71;0;0;0;0;0;25915;10;0;0;933;30795;0;0;0;0;0;0;2112;0;0;;;;;;;;;;;;939;0;0;0;;5;5;;;;0;1;30;4;33.66;25.35;5.54;1.27;;;1.5;;;;;;;;;;;;;;;
PSY;2019;020000386;020000600;TOT;0;;;0;71;0;0;0;0;0;25915;10;0;0;933;30795;0;0;0;0;0;0;2112;0;0;;;;;;;;;;;;939;0;0;0;;5;5;;;;;;30;4;33.66;25.35;5.54;1.27;;;1.5;;;;;;;;;;;;;;;
PSY;2019;020000543;020000295;GEN;;5;;;363;78;0;0;0;0;132495;42;4;0;2698;111654;25358;0;0;0;0;0;6169;0;0;1;6;25;2;52226;5974;9660;42106;2175;2369;4;7177;5406;499;167;17;2;17.5;11;2;11.3;0;0;610;56;650.8;411.5;91;19.5;;3.8;33.1;12;0;12;5;0;5;501;40;530.4;340.8;89;6;;3.8;10.8
PSY;2019;020000543;020000295;INF;;3;;;24;5;;;0;0;7380;118;0;0;627;3890;82;;;0;0;0;13000;0;0;1;8;18;0;41545;1277;0;231;23;283;454;4327;3997;28;0;8;0;7;3;0;3;0;0;155;32;178.75;89.4;6;25.45;;9.5;32.2;2;0;2;1;0;1;45;4;48.1;33.3;5;1.8;;0;3
