BOR;AN;FI;FI_EJ;DISCI;ETP_SAL;ETP_HU;ETP_MAD;ETP_INT;EFF_LIB
Q21;2019;010000024;010780054;1000;1.48;;;;
Q21;2019;010000024;010780054;2000;153.69;;4.81;65.03;11
Q21;2019;010000024;010780054;2100;151.59;;4.81;64.7;11
Q21;2019;010000024;010780054;2300;2.1;;;0.33;
Q21;2019;010000024;010780054;9999;155.17;;4.81;65.03;11
Q21;2019;010000032;010780062;1000;0.1;;;;
Q21;2019;010000032;010780062;2000;29.45;;;2.15;
Q21;2019;010000032;010780062;2100;26.68;;;2.15;
Q21;2019;010000032;010780062;2400;2.77;;;;
Q21;2019;010000032;010780062;9999;29.55;;;2.15;
Q21;2019;010000065;010780096;1000;0.41;;;;
Q21;2019;010000065;010780096;2000;14.02;;;1.16;
Q21;2019;010000065;010780096;2100;9.65;;;0.76;
Q21;2019;010000065;010780096;2400;4.37;;;0.4;
Q21;2019;010000065;010780096;9999;14.43;;;1.16;
Q21;2019;010000081;010780112;2000;2.31;;;;
Q21;2019;010000081;010780112;2400;1.85;;;;
Q21;2019;010000081;010780112;2500;0.46;;;;
Q21;2019;010000081;010780112;9999;2.31;;;;
Q21;2019;010000099;010780120;2000;0.91;;;;
Q21;2019;010000099;010780120;2100;0.4;;;;
Q21;2019;010000099;010780120;2400;0.51;;;;
Q21;2019;010000099;010780120;9999;0.91;;;;
Q21;2019;010000107;010780138;2000;2.33;;;;
Q21;2019;010000107;010780138;2100;1;;;;
Q21;2019;010000107;010780138;2400;1.33;;;;
Q21;2019;010000107;010780138;9999;2.33;;;;
Q21;2019;010000115;010009132;2000;2.3;;;;
Q21;2019;010000115;010009132;2100;0.45;;;;
Q21;2019;010000115;010009132;2400;1.02;;;;
Q21;2019;010000115;010009132;2500;0.83;;;;
Q21;2019;010000115;010009132;9999;2.3;;;;
Q21;2019;010000131;010009132;2000;1.43;;;;
Q21;2019;010000131;010009132;2100;0.42;;;;
Q21;2019;010000131;010009132;2400;1.01;;;;
Q21;2019;010000131;010009132;9999;1.43;;;;
Q21;2019;010000180;010007987;2000;1.36;;;;
Q21;2019;010000180;010007987;2100;0.26;;;;
Q21;2019;010000180;010007987;2400;1.1;;;;
Q21;2019;010000180;010007987;9999;1.36;;;;
Q21;2019;010000198;010007987;2000;4.49;;;0.5;
Q21;2019;010000198;010007987;2400;4.49;;;0.5;
Q21;2019;010000198;010007987;9999;4.49;;;0.5;
Q21;2019;010000214;010007987;2000;8.59;;;;
Q21;2019;010000214;010007987;2100;2;;;;
Q21;2019;010000214;010007987;2400;6.59;;;;
Q21;2019;010000214;010007987;9999;8.59;;;;
Q21;2019;010000495;010783009;1000;5.54;0.08;;0.85;
Q21;2019;010000495;010783009;2000;49.8;13.49;;3.14;
Q21;2019;010000495;010783009;2200;49.8;13.49;;3.14;
Q21;2019;010000495;010783009;9999;55.34;13.57;;3.99;
Q21;2019;010002129;750056335;2000;5.83;;;;2
Q21;2019;010002129;750056335;2400;5.83;;;;2
Q21;2019;010002129;750056335;9999;5.83;;;;2
Q21;2019;010005239;010008407;1000;1.4;0;;0;
Q21;2019;010005239;010008407;2000;42.44;0;;0;
Q21;2019;010005239;010008407;2100;41.28;0;;0;
Q21;2019;010005239;010008407;2400;1.16;0;;0;
Q21;2019;010005239;010008407;9999;43.84;0;;0;
Q21;2019;010005379;010010718;2000;1.4;;;;
Q21;2019;010005379;010010718;2300;1.4;;;;
Q21;2019;010005379;010010718;9999;1.4;;;;
Q21;2019;010006526;690796552;2000;0.25;;;;
Q21;2019;010006526;690796552;2100;0.25;;;;
Q21;2019;010006526;690796552;9999;0.25;;;;
Q21;2019;010007300;010007292;2000;;;;;15
Q21;2019;010007300;010007292;2100;;;;;15
Q21;2019;010007300;010007292;9999;;;;;15
Q21;2019;010008852;010783009;2000;1.3;;;;
Q21;2019;010008852;010783009;2400;1.3;;;;
Q21;2019;010008852;010783009;9999;1.3;;;;
Q21;2019;010009314;010780054;2000;5.56;;;;
Q21;2019;010009314;010780054;2400;3.81;;;;
Q21;2019;010009314;010780054;2500;1.75;;;;
Q21;2019;010009314;010780054;9999;5.56;;;;
Q21;2019;010010171;010011559;2000;1;;;;4
Q21;2019;010010171;010011559;2100;1;;;;
Q21;2019;010010171;010011559;2200;;;;;4
Q21;2019;010010171;010011559;9999;1;;;;4
Q21;2019;010780195;010000156;1000;2;;;;
Q21;2019;010780195;010000156;2000;;;;;96
Q21;2019;010780195;010000156;2100;;;;;96
Q21;2019;010780195;010000156;9999;2;;;;96
Q21;2019;010780203;010010718;2000;3.69;;;;43
Q21;2019;010780203;010010718;2100;3.69;;;;43
Q21;2019;010780203;010010718;9999;3.69;;;;43
Q21;2019;010780252;010783009;2000;3.63;;;;
Q21;2019;010780252;010783009;2400;3.63;;;;
Q21;2019;010780252;010783009;9999;3.63;;;;
Q21;2019;010780278;010783009;2000;4.81;;0.5;;
Q21;2019;010780278;010783009;2400;4.81;;0.5;;
Q21;2019;010780278;010783009;9999;4.81;;0.5;;
Q21;2019;010780294;690000278;2000;3.92;;;;0
Q21;2019;010780294;690000278;2100;3.92;;;;0
Q21;2019;010780294;690000278;9999;3.92;;;;0
Q21;2019;010780310;010000222;2000;1.55;;;;
Q21;2019;010780310;010000222;2400;1.55;;;;
Q21;2019;010780310;010000222;9999;1.55;;;;
Q21;2019;010780328;010000222;2000;2.14;;;;
Q21;2019;010780328;010000222;2400;2.14;;;;
Q21;2019;010780328;010000222;9999;2.14;;;;
Q21;2019;010780476;750005068;1000;0.1;;;;
Q21;2019;010780476;750005068;2000;4.53;;;;
Q21;2019;010780476;750005068;2400;4.53;;;;
Q21;2019;010780476;750005068;9999;4.63;;;;
Q21;2019;010780492;360000707;2000;6.94;;;;
Q21;2019;010780492;360000707;2400;6.94;;;;
Q21;2019;010780492;360000707;9999;6.94;;;;
Q21;2019;010780708;310021381;2000;3.5;;;;
Q21;2019;010780708;310021381;2400;3.5;;;;
Q21;2019;010780708;310021381;9999;3.5;;;;
Q21;2019;010780799;750721334;2000;1.5;;;;
Q21;2019;010780799;750721334;2400;1.5;;;;
Q21;2019;010780799;750721334;9999;1.5;;;;
Q21;2019;010786259;010008407;2000;0.7;0;;0;
Q21;2019;010786259;010008407;2500;0.7;0;;0;
Q21;2019;010786259;010008407;9999;0.7;0;;0;
Q21;2019;010789576;010780096;2000;0.7;;;;
Q21;2019;010789576;010780096;2500;0.7;;;;
Q21;2019;010789576;010780096;9999;0.7;;;;
Q21;2019;010789717;010008407;2000;0.7;0;;0;
Q21;2019;010789717;010008407;2500;0.7;0;;0;
Q21;2019;010789717;010008407;9999;0.7;0;;0;
Q21;2019;020000089;020000022;1000;0.17;0;0;0;0
Q21;2019;020000089;020000022;2000;5.72;0;0;0.36;0
Q21;2019;020000089;020000022;2100;3.23;0;0;0.36;0
Q21;2019;020000089;020000022;2300;0.1;0;0;0;0
Q21;2019;020000089;020000022;2400;1.94;0;0;0;0
Q21;2019;020000089;020000022;2500;0.45;0;0;0;0
Q21;2019;020000089;020000022;9999;5.89;0;0;0.36;0
Q21;2019;020000097;020000048;2000;7.8;;;;
Q21;2019;020000097;020000048;2100;6.3;;;;
Q21;2019;020000097;020000048;2400;1.5;;;;
Q21;2019;020000097;020000048;9999;7.8;;;;
Q21;2019;020000105;020000055;1000;0.37;;;;5
Q21;2019;020000105;020000055;2000;2.06;;;;1
Q21;2019;020000105;020000055;2100;1.03;;;;
Q21;2019;020000105;020000055;2300;;;;;1
Q21;2019;020000105;020000055;2400;1.03;;;;
Q21;2019;020000105;020000055;9999;2.43;;;;6
Q21;2019;020000162;020000063;1000;3.3;0;0;0;0
Q21;2019;020000162;020000063;2000;164.73;0;20.5;90;0
Q21;2019;020000162;020000063;2100;162.03;0;20.5;90;0
Q21;2019;020000162;020000063;2400;2.2;0;0;0;0
Q21;2019;020000162;020000063;2500;0.5;0;0;0;0
Q21;2019;020000162;020000063;9999;168.03;0;20.5;90;0
Q21;2019;020000246;020000071;1000;0.49;0;0;0;0
Q21;2019;020000246;020000071;2000;2.6;0;0;0;0
Q21;2019;020000246;020000071;2100;1.62;0;0;0;0
Q21;2019;020000246;020000071;2400;0.98;0;0;0;0
Q21;2019;020000246;020000071;9999;3.09;0;0;0;0
Q21;2019;020000303;750814030;1000;3.21;;;;
Q21;2019;020000303;750814030;2000;16.63;;0.24;;
Q21;2019;020000303;750814030;2400;16.63;;0.24;;
Q21;2019;020000303;750814030;9999;19.84;;0.24;;
Q21;2019;020000360;020014742;2000;1;;;;33
Q21;2019;020000360;020014742;2100;1;;;;33
Q21;2019;020000360;020014742;9999;1;;;;33
Q21;2019;020000386;020000600;1000;1.02;;;;
Q21;2019;020000386;020000600;2000;0.17;;;;5
Q21;2019;020000386;020000600;2100;0.11;;;;
Q21;2019;020000386;020000600;2200;0.06;;;;5
Q21;2019;020000386;020000600;9999;1.19;;;;5
Q21;2019;020000394;020000253;1000;5.2;0;0;0;0
Q21;2019;020000394;020000253;2000;85.59;0;0.5;30.1;0
Q21;2019;020000394;020000253;2100;84.59;0;0.5;30.1;0
Q21;2019;020000394;020000253;2400;1;0;0;0;0
Q21;2019;020000394;020000253;9999;90.79;0;0.5;30.1;0
Q21;2019;020000519;020000261;1000;0.5;;;;
Q21;2019;020000519;020000261;2000;123.12;;3.24;20;3
Q21;2019;020000519;020000261;2100;119.12;;3.24;19;2
Q21;2019;020000519;020000261;2200;;;;;1
Q21;2019;020000519;020000261;2400;4;;;1;
Q21;2019;020000519;020000261;9999;123.62;;3.24;20;3
Q21;2019;020000535;020000287;1000;0.5;;;;
Q21;2019;020000535;020000287;2000;40.46;;;9.76;11
Q21;2019;020000535;020000287;2100;38.56;;;9.46;11
Q21;2019;020000535;020000287;2400;0.69;;;0.14;
Q21;2019;020000535;020000287;2500;1.21;;;0.16;
Q21;2019;020000535;020000287;9999;40.96;;;9.76;11
Q21;2019;020000543;020000295;2000;48.9;3;;2;
Q21;2019;020000543;020000295;2200;48.9;3;;2;
Q21;2019;020000543;020000295;9999;48.9;3;;2;
Q21;2019;020000915;020003620;2000;9.99;;;;
Q21;2019;020000915;020003620;2400;9.99;;;;
Q21;2019;020000915;020003620;9999;9.99;;;;
Q21;2019;020001061;020004404;1000;0.6;;;;
Q21;2019;020001061;020004404;2000;72.11;;0.4;9.27;16
Q21;2019;020001061;020004404;2100;72.03;;0.4;9.27;16
Q21;2019;020001061;020004404;2200;0.08;;;;
Q21;2019;020001061;020004404;9999;72.71;;0.4;9.27;16
Q21;2019;020001087;020004495;1000;0.95;;1.4;0.95;
Q21;2019;020001087;020004495;2000;19.41;;3.63;;
Q21;2019;020001087;020004495;2100;17.99;;3.53;;
Q21;2019;020001087;020004495;2200;0.1;;0.1;;
Q21;2019;020001087;020004495;2400;1.32;;;;
Q21;2019;020001087;020004495;9999;20.36;;5.03;0.95;
Q21;2019;020001772;590799995;2000;0;;;;8
Q21;2019;020001772;590799995;2100;0;;;;8
Q21;2019;020001772;590799995;9999;0;;;;8
Q21;2019;020003877;020000253;2000;2.21;0;0;1.17;0
Q21;2019;020003877;020000253;2400;2.21;0;0;1.17;0
Q21;2019;020003877;020000253;9999;2.21;0;0;1.17;0
Q21;2019;020004156;590805065;2000;;;;;22
Q21;2019;020004156;590805065;2200;;;;;22
Q21;2019;020004156;590805065;9999;;;;;22
Q21;2019;020004297;020005179;2000;0.62;;;;
Q21;2019;020004297;020005179;2300;0.62;;;;
Q21;2019;020004297;020005179;9999;0.62;;;;
Q21;2019;020004677;020000261;2000;0.8;;;;
Q21;2019;020004677;020000261;2500;0.8;;;;
Q21;2019;020004677;020000261;9999;0.8;;;;
Q21;2019;020005476;020000253;2000;0.11;0;0;0.62;0
Q21;2019;020005476;020000253;2500;0.11;0;0;0.62;0
Q21;2019;020005476;020000253;9999;0.11;0;0;0.62;0
Q21;2019;020006664;020000063;2000;8.81;;;4;
Q21;2019;020006664;020000063;2200;8.81;;;4;
Q21;2019;020006664;020000063;9999;8.81;;;4;
Q21;2019;020009684;020002085;2000;0.59;;;;
Q21;2019;020009684;020002085;2500;0.59;;;;
Q21;2019;020009684;020002085;9999;0.59;;;;
