BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2019;010000024;010780054;REAADU;12;4380;835;884;92;3260;15;34;168;5;1;3.87;1;1;1.8;20;11;26.54;15;4;17.05;;;;1;;1
REA;2019;010000024;010780054;SITOT;6;2190;577;;;1624;;;;;;;;;;;;;;;;;;;;;
REA;2019;010000024;010780054;SIUNV;6;2190;577;;;1624;;;;;7;1.07;;;;;;;;;;;;;;;
REA;2019;010000024;010780054;SURVADU;6;2190;621;;;1829;;;;5;1;1.29;;;;8;4;9.86;8;1;7.9;;;;;;
REA;2019;010000024;010780054;SURVENF;4;1460;296;;;1448;;;;;5;0.37;;;;;;;;;;;;;;;
REA;2019;010000032;010780062;SURVADU;4;1460;846;;;1619;;;;;;;1;;0.18;19;;4.24;9;;4.23;;;;;2;0.94
REA;2019;010005239;010008407;SURVADU;3;1095;417;;;662;;;;0;0;0;1;0;0.45;1;1;1.57;6;3;7.53;0;0;0;0;0;0.05
REA;2019;010780195;010000156;REAADU;10;3650;609;644;18;3810;13;35;180;12;;12;1;;1;19;0;20.86;8;;7.9;;;;1;;1.28
REA;2019;010780195;010000156;SITOT;6;2190;1193;;;1762;;;;;;;;;;;;;;;;;;;;;
REA;2019;010780195;010000156;SURVADU;5;1825;0;;;0;;;;;;;;;;;;;;;;;;;;;
REA;2019;010780195;010000156;USIC;6;2190;1193;;;1762;;;;9;1;9.5;;1;0.9;8;;10.22;;1;1.34;;;;1;;0.89
REA;2019;010780203;010010718;SURVADU;6;2190;415;;;1619;;;;4;;4;;;;4;;4;4;;4;;;;;;
REA;2019;020000162;020000063;REAADU;10;3650;364;383;33;3591;16;43;69;2;51;2.95;1;2;0.82;26;4;17.15;25;0;15.12;0;0;0;7;4;4.15
REA;2019;020000162;020000063;SITOT;18;6570;1771;;;5336;;;;;;;;;;;;;;;;;;;;;
REA;2019;020000162;020000063;SIUNV;6;2190;636;;;1430;;;;3;3;0.8;1;0;0.3;7;2;8.3;8;0;8;0;0;0;2;0;1.5
