BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2019;010000024;010780054;1;1;0;0;0;;0;1;252;336;252;2;2;0;0;1614;403;347;0;0;0;2364;542;203;11;84;244;1371;168;344;878;493;297235;;291731;259924;168839;165200;75710;639;168;471;613;0;3;0;9438;1
SMURSAMU;2019;010000032;010780062;1;1;0;0;0;;0;0;163;151;151;0;2;0;0;545;46;0;34;2;0;627;545;77;0;49;45;414;30;85;231;183;;;;;;;;;;;;;;;;
SMURSAMU;2019;010005239;010008407;1;1;0;0;0;;0;0;168;168;168;;1;;;537;25;;;;;562;316;72;41;41;202;441;53;98;297;144;;;;;;;;;;;;;;;;
SMURSAMU;2019;010780203;010010718;1;1;0;0;0;;0;0;168;168;168;2;1;;;765;24;;;;;789;147;61;;86;;642;80;154;415;227;;;;;;;;;;;;;;;;
SMURSAMU;2019;020000162;020000063;1;1;0;0;0;;0;0;0;0;336;2;2;0;0;1145;229;220;8;81;0;1683;317;120;6;46;142;1124;90;234;1074;50;;;;;;;;;;;;;;;;
SMURSAMU;2019;020000394;020000253;1;1;0;0;0;;0;1;336;336;336;3;2;1;0;1016;380;0;119;330;0;1845;437;108;9;40;266;1041;68;140;796;245;217284;;204862;173150;101788;95609;25560;248;168;80;360;0;0;0;8255;0
SMURSAMU;2019;020000519;020000261;1;1;0;0;0;;0;0;168;168;168;;2;;;761;0;;;;;761;246;106;3;46;91;606;50;120;584;22;;;;;;;;;;;;;;;;
SMURSAMU;2019;020000535;020000287;1;1;0;0;0;;0;0;168;168;168;1;1;;;540;1;;;;;541;110;73;10;26;1;431;52;148;242;189;;;;;;;;;;;;;;;;
SMURSAMU;2019;020001061;020004404;1;1;0;0;0;;0;0;168;168;129;1;1;;;666;137;;5;;;808;128;85;2;13;28;599;47;142;515;84;;;;;;;;;;;;;;;;
SMURSAMU;2019;020001087;020004495;1;1;0;0;0;;0;0;336;205;168;;;;;574;4;;;;;578;222;52;3;36;222;503;88;177;209;294;;;;;;;;;;;;;;;;
SMURSAMU;2019;020016366;020000063;1;0;0;0;1;020000063;0;0;41;4;0;0;0;0;0;320;0;0;0;0;0;320;163;49;5;4;105;163;15;24;149;14;;;;;;;;;;;;;;;;
SMURSAMU;2019;030000061;030780092;1;1;0;0;0;;0;1;168;252;232;2;2;0;0;1159;254;0;0;1;0;1414;434;134;12;198;90;725;83;127;623;102;249991;43306;198951;184186;132961;107209;32783;286;168;118;504;1;2;0;957;0
