BOR;AN;FI;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2019;010000024;010780054;M9999;;17;3.28;1;;17;3.32
SMURSAMU_P;2019;010000024;010780054;N1220;;;;0;23;4;24.02
SMURSAMU_P;2019;010000024;010780054;N2120;;1;0.5;0;;1;0.5
SMURSAMU_P;2019;010000024;010780054;N2223;7;8;11.3;1;;;
SMURSAMU_P;2019;010000024;010780054;N2500;1;;1;;;;
SMURSAMU_P;2019;010000024;010780054;N5140;8;;8.7;0;;;
SMURSAMU_P;2019;010000024;010780054;N9999;16;9;21.5;1;23;5;24.52
SMURSAMU_P;2019;010000032;010780062;M9999;5;2;3.57;1;;;
SMURSAMU_P;2019;010000032;010780062;N2120;1;;0.27;1;;;
SMURSAMU_P;2019;010000032;010780062;N2223;7;;6.23;1;;;
SMURSAMU_P;2019;010000032;010780062;N2500;;;0.16;;;;
SMURSAMU_P;2019;010000032;010780062;N5140;7;;6.15;1;;;
SMURSAMU_P;2019;010000032;010780062;N9999;15;;12.82;1;;;
SMURSAMU_P;2019;010005239;010008407;M9999;6;4;8.2;1;0;0;0
SMURSAMU_P;2019;010005239;010008407;N1220;1;0;0.1;1;0;0;0
SMURSAMU_P;2019;010005239;010008407;N2120;1;0;0.3;1;0;0;0
SMURSAMU_P;2019;010005239;010008407;N2223;9;6;6;1;0;0;0
SMURSAMU_P;2019;010005239;010008407;N2500;6;0;6;;0;0;0
SMURSAMU_P;2019;010005239;010008407;N5140;0;0;0;1;0;0;0
SMURSAMU_P;2019;010005239;010008407;N9999;17;6;12.4;1;0;0;0
SMURSAMU_P;2019;010780203;010010718;M9999;4;1;4.8;1;;;
SMURSAMU_P;2019;010780203;010010718;N1220;1;;0.5;;;;
SMURSAMU_P;2019;010780203;010010718;N2120;;1;0.28;;;;
SMURSAMU_P;2019;010780203;010010718;N2223;4;;4.42;;;;
SMURSAMU_P;2019;010780203;010010718;N5140;5;;5.44;;;;
SMURSAMU_P;2019;010780203;010010718;N9999;10;1;10.64;;;;
SMURSAMU_P;2019;020000162;020000063;M9999;0;90;2;1;;;
SMURSAMU_P;2019;020000162;020000063;N1220;0;5;0.44;1;;;
SMURSAMU_P;2019;020000162;020000063;N2120;0;1;0.33;1;;;
SMURSAMU_P;2019;020000162;020000063;N2223;0;4;1.04;1;;;
SMURSAMU_P;2019;020000162;020000063;N2500;0;7;1.78;;;;
SMURSAMU_P;2019;020000162;020000063;N5140;0;3;1.94;1;;;
SMURSAMU_P;2019;020000162;020000063;N9999;0;20;5.53;1;;;
SMURSAMU_P;2019;020000394;020000253;M9999;0;11;3.66;1;2;4;4.2
SMURSAMU_P;2019;020000394;020000253;MREG;0;3;0.9;1;2;3;4.1
SMURSAMU_P;2019;020000394;020000253;N1220;0;0;0;0;14;0;13.73
SMURSAMU_P;2019;020000394;020000253;N2120;0;0;0.38;0;0;0;0
SMURSAMU_P;2019;020000394;020000253;N2223;12;2;13.14;0;1;0;1
SMURSAMU_P;2019;020000394;020000253;N5140;13;0;12.52;0;1;0;1
SMURSAMU_P;2019;020000394;020000253;N9999;25;2;26.04;0;16;0;14.23
SMURSAMU_P;2019;020000519;020000261;M9999;3;;3;1;;;
SMURSAMU_P;2019;020000519;020000261;N2223;1;1;1.67;1;;;
SMURSAMU_P;2019;020000519;020000261;N5140;;5;1.35;1;;;
SMURSAMU_P;2019;020000519;020000261;N9999;1;6;3.02;1;;;
SMURSAMU_P;2019;020000535;020000287;M9999;0;1;1;1;;;
SMURSAMU_P;2019;020000535;020000287;N1220;;;;1;;;
SMURSAMU_P;2019;020000535;020000287;N2120;;1;0.15;1;;;
SMURSAMU_P;2019;020000535;020000287;N2223;5;1;4.98;1;;;
SMURSAMU_P;2019;020000535;020000287;N2500;3;;3.14;;;;
SMURSAMU_P;2019;020000535;020000287;N5140;;;;1;;;
SMURSAMU_P;2019;020000535;020000287;N9999;8;2;8.27;;;;
SMURSAMU_P;2019;020001061;020004404;M9999;;4;3.7;1;;;
SMURSAMU_P;2019;020001061;020004404;N1220;1;;1;;;;
