BOR;AN;FI;FI_EJ;EQUIPSSR;SANSEQ;EQPL;EQAU
SSR2;2019;010000032;010780062;APTAUT;1;;
SSR2;2019;010000032;010780062;ASSMAR;1;;
SSR2;2019;010000032;010780062;ASSMEM;1;;
SSR2;2019;010000032;010780062;EXPEQU;1;;
SSR2;2019;010000032;010780062;EXPURO;;1;
SSR2;2019;010000032;010780062;IDRACH;1;;
SSR2;2019;010000032;010780062;ISOCIN;1;;
SSR2;2019;010000032;010780062;LABMAR;1;;
SSR2;2019;010000032;010780062;PISCIN;1;;
SSR2;2019;010000032;010780062;SALINT;;1;
SSR2;2019;010000032;010780062;SIMESP;1;;
SSR2;2019;010000032;010780062;STICON;1;;
SSR2;2019;010000032;010780062;VEHADP;1;;
SSR2;2019;010000065;010780096;APTAUT;1;;
SSR2;2019;010000065;010780096;ASSMAR;1;;
SSR2;2019;010000065;010780096;ASSMEM;1;;
SSR2;2019;010000065;010780096;EXPEQU;1;;
SSR2;2019;010000065;010780096;EXPURO;1;;
SSR2;2019;010000065;010780096;IDRACH;1;;
SSR2;2019;010000065;010780096;ISOCIN;1;;
SSR2;2019;010000065;010780096;LABMAR;1;;
SSR2;2019;010000065;010780096;PISCIN;1;;
SSR2;2019;010000065;010780096;SALINT;1;;
SSR2;2019;010000065;010780096;SIMESP;;1;
SSR2;2019;010000065;010780096;STICON;1;;
SSR2;2019;010000065;010780096;VEHADP;1;;
SSR2;2019;010000081;010780112;APTAUT;;1;
SSR2;2019;010000081;010780112;ASSMAR;1;;
SSR2;2019;010000081;010780112;ASSMEM;1;;
SSR2;2019;010000081;010780112;EXPEQU;1;;
SSR2;2019;010000081;010780112;EXPURO;1;;
SSR2;2019;010000081;010780112;IDRACH;1;;
SSR2;2019;010000081;010780112;ISOCIN;1;;
SSR2;2019;010000081;010780112;LABMAR;1;;
SSR2;2019;010000081;010780112;PISCIN;1;;
SSR2;2019;010000081;010780112;SALINT;1;;
SSR2;2019;010000081;010780112;SIMESP;1;;
SSR2;2019;010000081;010780112;STICON;1;;
SSR2;2019;010000081;010780112;VEHADP;;1;
SSR2;2019;010000099;010780120;APTAUT;1;;
SSR2;2019;010000099;010780120;ASSMAR;1;;
SSR2;2019;010000099;010780120;ASSMEM;1;;
SSR2;2019;010000099;010780120;EXPEQU;1;;
SSR2;2019;010000099;010780120;EXPURO;1;;
SSR2;2019;010000099;010780120;IDRACH;1;;
SSR2;2019;010000099;010780120;ISOCIN;1;;
SSR2;2019;010000099;010780120;LABMAR;1;;
SSR2;2019;010000099;010780120;PISCIN;1;;
SSR2;2019;010000099;010780120;SALINT;1;;
SSR2;2019;010000099;010780120;SIMESP;1;;
SSR2;2019;010000099;010780120;STICON;1;;
SSR2;2019;010000099;010780120;VEHADP;1;;
SSR2;2019;010000107;010780138;APTAUT;1;;
SSR2;2019;010000107;010780138;ASSMAR;1;;
SSR2;2019;010000107;010780138;ASSMEM;1;;
SSR2;2019;010000107;010780138;EXPEQU;1;;
SSR2;2019;010000107;010780138;EXPURO;1;;
SSR2;2019;010000107;010780138;IDRACH;1;;
SSR2;2019;010000107;010780138;ISOCIN;1;;
SSR2;2019;010000107;010780138;LABMAR;1;;
SSR2;2019;010000107;010780138;PISCIN;1;;
SSR2;2019;010000107;010780138;SALINT;1;;
SSR2;2019;010000107;010780138;SIMESP;1;;
SSR2;2019;010000107;010780138;STICON;1;;
SSR2;2019;010000107;010780138;VEHADP;1;;
SSR2;2019;010000115;010009132;APTAUT;1;;
SSR2;2019;010000115;010009132;ASSMAR;1;;
SSR2;2019;010000115;010009132;ASSMEM;1;;
SSR2;2019;010000115;010009132;EXPEQU;1;;
SSR2;2019;010000115;010009132;EXPURO;1;;
SSR2;2019;010000115;010009132;IDRACH;1;;
SSR2;2019;010000115;010009132;ISOCIN;1;;
SSR2;2019;010000115;010009132;LABMAR;1;;
SSR2;2019;010000115;010009132;PISCIN;1;;
SSR2;2019;010000115;010009132;SALINT;1;;
SSR2;2019;010000115;010009132;SIMESP;1;;
SSR2;2019;010000115;010009132;STICON;1;;
SSR2;2019;010000115;010009132;VEHADP;1;;
SSR2;2019;010000131;010009132;APTAUT;1;;
SSR2;2019;010000131;010009132;ASSMAR;1;;
SSR2;2019;010000131;010009132;ASSMEM;1;;
SSR2;2019;010000131;010009132;EXPEQU;1;;
SSR2;2019;010000131;010009132;EXPURO;1;;
SSR2;2019;010000131;010009132;IDRACH;1;;
SSR2;2019;010000131;010009132;ISOCIN;1;;
SSR2;2019;010000131;010009132;LABMAR;1;;
SSR2;2019;010000131;010009132;PISCIN;1;;
