BOR;AN;FI;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP
SSR;2019;010000032;010780062;SSR_A;;40;14600;8;536;13418;6;1782
SSR;2019;010000032;010780062;SSR_A50;1;40;;8;;13418;;1782
SSR;2019;010000032;010780062;SSR_TOT;;40;14600;8;536;13418;6;1782
SSR;2019;010000065;010780096;SSR_A;;69;25185;;803;24185;50;0
SSR;2019;010000065;010780096;SSR_A50;1;34;;;;12069;;0
SSR;2019;010000065;010780096;SSR_A59;1;35;;;;12116;;0
SSR;2019;010000065;010780096;SSR_TOT;;69;25185;;803;24185;50;0
SSR;2019;010000081;010780112;SSR_A;;20;7300;;145;4824;4;0
SSR;2019;010000081;010780112;SSR_A50;1;20;;;;4824;;0
SSR;2019;010000081;010780112;SSR_TOT;;20;7300;;145;4824;4;0
SSR;2019;010000099;010780120;SSR_A;;20;7300;;340;7747;1;0
SSR;2019;010000099;010780120;SSR_A50;1;20;;;;7747;;0
SSR;2019;010000099;010780120;SSR_TOT;;20;7300;;340;7747;1;0
SSR;2019;010000107;010780138;SSR_A;;20;7300;;291;7776;9;0
SSR;2019;010000107;010780138;SSR_A50;1;20;;;;7776;;0
SSR;2019;010000107;010780138;SSR_TOT;;20;7300;;291;7776;9;0
SSR;2019;010000115;010009132;SSR_A;;18;6570;;212;5939;3;0
SSR;2019;010000115;010009132;SSR_A50;1;18;;;;5939;;0
SSR;2019;010000115;010009132;SSR_TOT;;18;6570;;212;5939;3;0
SSR;2019;010000131;010009132;SSR_A;;29;10585;;421;9573;1;0
SSR;2019;010000131;010009132;SSR_A50;1;29;;;;9573;;0
SSR;2019;010000131;010009132;SSR_TOT;;29;10585;;421;9573;1;0
SSR;2019;010000180;010007987;SSR_A;;36;13140;0;567;10942;0;0
SSR;2019;010000180;010007987;SSR_A58;1;36;;0;;10942;;0
SSR;2019;010000180;010007987;SSR_TOT;;36;13140;0;567;10942;0;0
SSR;2019;010000198;010007987;SSR_A;;85;31025;;1044;19687;4;0
SSR;2019;010000198;010007987;SSR_A50;1;;;;;0;;0
SSR;2019;010000198;010007987;SSR_A51;1;85;;;;19687;;0
SSR;2019;010000198;010007987;SSR_E;;4;1460;;71;748;0;0
SSR;2019;010000198;010007987;SSR_E50;1;;;;;0;;0
SSR;2019;010000198;010007987;SSR_E51;1;4;;;;748;;0
SSR;2019;010000198;010007987;SSR_TOT;;89;32485;;1115;20435;4;0
SSR;2019;010000214;010007987;SSR_A;;109;39785;;1000;33049;54;0
SSR;2019;010000214;010007987;SSR_A50;1;4;;;;1864;;0
SSR;2019;010000214;010007987;SSR_A51;1;18;;;;5912;;0
SSR;2019;010000214;010007987;SSR_A54;1;30;;;;8526;;0
SSR;2019;010000214;010007987;SSR_A59;1;57;;;;16747;;0
SSR;2019;010000214;010007987;SSR_E50;1;;;;;0;;0
SSR;2019;010000214;010007987;SSR_E51;1;;;;;0;;0
SSR;2019;010000214;010007987;SSR_TOT;;109;39785;;1000;33049;54;0
SSR;2019;010002129;750056335;SSR_A;;100;36500;;827;35750;99;0
SSR;2019;010002129;750056335;SSR_A50;1;47;;;;10058;;0
SSR;2019;010002129;750056335;SSR_A51;1;20;;;;13991;;0
SSR;2019;010002129;750056335;SSR_A52;1;33;;;;11701;;0
SSR;2019;010002129;750056335;SSR_TOT;;100;36500;;827;35750;99;0
SSR;2019;010005239;010008407;SSR_A;;30;10950;;343;10018;3;0
SSR;2019;010005239;010008407;SSR_A50;1;30;;;;10018;;0
SSR;2019;010005239;010008407;SSR_TOT;;30;10950;;343;10018;3;0
SSR;2019;010008852;010783009;SSR_A;;;;10;0;0;0;2412
SSR;2019;010008852;010783009;SSR_A50;1;;;;;0;;0
SSR;2019;010008852;010783009;SSR_A52;1;;;10;;0;;2412
SSR;2019;010008852;010783009;SSR_TOT;;;;10;0;0;0;2412
SSR;2019;010009314;010780054;SSR_A;;70;25550;13;522;15559;20;3454
SSR;2019;010009314;010780054;SSR_A50;1;10;;;;8475;;0
SSR;2019;010009314;010780054;SSR_A53;1;;;5;;0;;1757
SSR;2019;010009314;010780054;SSR_A54;1;;;5;;0;;522
SSR;2019;010009314;010780054;SSR_A59;1;60;;3;;7084;;1175
SSR;2019;010009314;010780054;SSR_TOT;;70;25550;13;522;15559;20;3454
SSR;2019;010780252;010783009;SSR_A;;71;25915;;533;19373;22;0
SSR;2019;010780252;010783009;SSR_A50;1;;;;;0;;0
SSR;2019;010780252;010783009;SSR_A51;1;66;;;;17923;;0
SSR;2019;010780252;010783009;SSR_A52;1;5;;;;1450;;0
SSR;2019;010780252;010783009;SSR_TOT;;71;25915;;533;19373;22;0
SSR;2019;010780278;010783009;SSR_A;;100;36500;;481;32008;162;0
SSR;2019;010780278;010783009;SSR_A50;1;;;;;0;;0
SSR;2019;010780278;010783009;SSR_A51;1;25;;;;10482;;0
SSR;2019;010780278;010783009;SSR_A52;1;75;;;;21526;;0
SSR;2019;010780278;010783009;SSR_TOT;;100;36500;;481;32008;162;0
SSR;2019;010780310;010000222;SSR_A;;38;13870;;349;10572;4;0
SSR;2019;010780310;010000222;SSR_A50;1;20;;;;1369;;0
SSR;2019;010780310;010000222;SSR_A54;1;18;;;;9203;;0
SSR;2019;010780310;010000222;SSR_TOT;;38;13870;;349;10572;4;0
SSR;2019;010780328;010000222;SSR_A;;58;21170;;395;18227;48;0
SSR;2019;010780328;010000222;SSR_A50;1;7;;;;2429;;0
SSR;2019;010780328;010000222;SSR_A54;1;51;;;;15798;;0
SSR;2019;010780328;010000222;SSR_TOT;;58;21170;;395;18227;48;0
SSR;2019;010780476;750005068;SSR_E;;115;32850;3;840;17269;6;275
SSR;2019;010780476;750005068;SSR_E50;1;58;;1;;12491;;200
SSR;2019;010780476;750005068;SSR_E55;1;46;;1;;3054;;49
SSR;2019;010780476;750005068;SSR_E58;1;11;;1;;1724;;26
SSR;2019;010780476;750005068;SSR_TOT;;115;32850;3;840;17269;6;275
SSR;2019;010780492;360000707;SSR_A;;0;;20;84;440;0;2456
SSR;2019;010780492;360000707;SSR_A57;1;0;;20;;440;;2456
SSR;2019;010780492;360000707;SSR_E;;67;24455;20;1676;10643;8;6912
SSR;2019;010780492;360000707;SSR_E50;1;;;;;0;;0
SSR;2019;010780492;360000707;SSR_E51;1;6;;2;;1822;;272
SSR;2019;010780492;360000707;SSR_E52;1;29;;6;;4077;;2038
SSR;2019;010780492;360000707;SSR_E57;1;32;;12;;4744;;4602
SSR;2019;010780492;360000707;SSR_TOT;;67;24455;40;1760;11083;8;9368
SSR;2019;010780708;310021381;SSR_A;;65;23725;10;773;20026;12;1468
