BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2019;010000032;010780062;M1010;1;;1
SSR_P;2019;010000032;010780062;N241P;2;1;3.56
SSR_P;2019;010000032;010780062;N2430;;1;0.6
SSR_P;2019;010000032;010780062;N2500;18;4;11.69
SSR_P;2019;010000032;010780062;N2710;;2;1.3
SSR_P;2019;010000032;010780062;N310H;;1;0.93
SSR_P;2019;010000032;010780062;N3120;;1;0.3
SSR_P;2019;010000032;010780062;NAUT;5;3;6.3
SSR_P;2019;010000032;010780062;NCINF;4;8;11.97
SSR_P;2019;010000065;010780096;M1010;;2;1.38
SSR_P;2019;010000065;010780096;M1040;;1;0.1
SSR_P;2019;010000065;010780096;M1070;;1;0.05
SSR_P;2019;010000065;010780096;M1320;1;2;2.54
SSR_P;2019;010000065;010780096;N241P;;3;2.2
SSR_P;2019;010000065;010780096;N2450;;1;0.5
SSR_P;2019;010000065;010780096;N2460;1;1;1.4
SSR_P;2019;010000065;010780096;N2470;;2;0.75
SSR_P;2019;010000065;010780096;N2500;15;34;31.44
SSR_P;2019;010000065;010780096;N2710;;5;1.72
SSR_P;2019;010000065;010780096;N310H;;1;0.15
SSR_P;2019;010000065;010780096;N3120;;3;1.52
SSR_P;2019;010000065;010780096;NAUT;3;6;6.54
SSR_P;2019;010000065;010780096;NCINF;8;32;19.74
SSR_P;2019;010000081;010780112;M1010;1;4;1.16
SSR_P;2019;010000081;010780112;M1320;;1;0.1
SSR_P;2019;010000081;010780112;MAUT;;1;0.07
SSR_P;2019;010000081;010780112;N241P;2;0;1.2
SSR_P;2019;010000081;010780112;N2450;;1;0.27
SSR_P;2019;010000081;010780112;N2460;;1;0.13
SSR_P;2019;010000081;010780112;N2470;1;1;0.12
SSR_P;2019;010000081;010780112;N2500;;22;6.4
SSR_P;2019;010000081;010780112;N2710;;3;0.11
SSR_P;2019;010000081;010780112;N3120;;1;0.4
SSR_P;2019;010000081;010780112;NAUT;;19;3.24
SSR_P;2019;010000081;010780112;NCINF;3;3;3.8
SSR_P;2019;010000099;010780120;M1180;;2;0.29
SSR_P;2019;010000099;010780120;MAUT;;2;0.36
SSR_P;2019;010000099;010780120;N241P;1;1;0.87
SSR_P;2019;010000099;010780120;N2500;9;10;5.97
SSR_P;2019;010000099;010780120;N2710;;1;0.28
SSR_P;2019;010000099;010780120;N3120;;1;0.33
SSR_P;2019;010000099;010780120;NAUT;6;2;3.02
SSR_P;2019;010000099;010780120;NCINF;14;5;4.78
SSR_P;2019;010000107;010780138;M1320;1;2;1
SSR_P;2019;010000107;010780138;MAUT;1;;0.33
SSR_P;2019;010000107;010780138;N241P;1;;0.3
SSR_P;2019;010000107;010780138;N2450;;1;0.36
SSR_P;2019;010000107;010780138;N2500;15;1;8.13
SSR_P;2019;010000107;010780138;N3120;;1;0.29
SSR_P;2019;010000107;010780138;NCINF;9;3;5.29
SSR_P;2019;010000115;010009132;M1320;;1;1
SSR_P;2019;010000115;010009132;N241P;0;1;0.5
SSR_P;2019;010000115;010009132;N2460;1;1;1.08
SSR_P;2019;010000115;010009132;N2500;1;4;2.58
SSR_P;2019;010000115;010009132;N2710;;2;0.45
SSR_P;2019;010000115;010009132;N3120;;1;0.25
SSR_P;2019;010000115;010009132;NAUT;;1;0.35
SSR_P;2019;010000115;010009132;NCINF;3;0;3
SSR_P;2019;010000131;010009132;M1180;1;;1
SSR_P;2019;010000131;010009132;N241P;;2;0.97
SSR_P;2019;010000131;010009132;N2460;;1;0.15
SSR_P;2019;010000131;010009132;N2500;7;1;8
SSR_P;2019;010000131;010009132;N2710;;1;0.27
SSR_P;2019;010000131;010009132;N310H;;1;0.62
SSR_P;2019;010000131;010009132;NAUT;1;3;1.13
SSR_P;2019;010000131;010009132;NCINF;7;6;9.45
SSR_P;2019;010000180;010007987;M1010;0;2;1.1
SSR_P;2019;010000180;010007987;N2450;;1;0.1
SSR_P;2019;010000180;010007987;N2500;;5;4.61
SSR_P;2019;010000180;010007987;N2710;1;2;2.27
SSR_P;2019;010000180;010007987;N310H;;1;0.8
SSR_P;2019;010000180;010007987;N3120;;1;0.7
SSR_P;2019;010000180;010007987;NAUT;5;3;8.5
SSR_P;2019;010000180;010007987;NCINF;;5;4.72
SSR_P;2019;010000198;010007987;M1010;1;1;2.39
SSR_P;2019;010000198;010007987;M1180;2;1;2.1
SSR_P;2019;010000198;010007987;N241P;8;;8
SSR_P;2019;010000198;010007987;N2500;6;4;9.03
SSR_P;2019;010000198;010007987;N2710;;1;0.1
SSR_P;2019;010000198;010007987;N3120;;1;0.1
SSR_P;2019;010000198;010007987;NAUT;15;6;18.51
SSR_P;2019;010000198;010007987;NCINF;7;3;8.37
SSR_P;2019;010000214;010007987;M1010;;4;3.1
SSR_P;2019;010000214;010007987;M1150;;2;1.97
SSR_P;2019;010000214;010007987;M1320;;3;1.12
SSR_P;2019;010000214;010007987;N241P;12;2;13.01
SSR_P;2019;010000214;010007987;N2450;;3;2.4
SSR_P;2019;010000214;010007987;N2460;2;1;2.68
SSR_P;2019;010000214;010007987;N2500;26;30;44.37
SSR_P;2019;010000214;010007987;N2710;;3;1.63
SSR_P;2019;010000214;010007987;N310H;;1;0.8
SSR_P;2019;010000214;010007987;N3120;1;2;2.1
SSR_P;2019;010000214;010007987;NAUT;63;66;101.94
SSR_P;2019;010000214;010007987;NCINF;17;30;35.22
SSR_P;2019;010002129;750056335;M1010;4;;3.02
SSR_P;2019;010002129;750056335;M1120;;1;0.06
SSR_P;2019;010002129;750056335;M1180;;1;0.15
SSR_P;2019;010002129;750056335;M1190;;1;0.7
SSR_P;2019;010002129;750056335;M1320;;1;0.53
SSR_P;2019;010002129;750056335;MAUT;;2;1.17
SSR_P;2019;010002129;750056335;N241P;4;;4
SSR_P;2019;010002129;750056335;N2430;;1;0.78
SSR_P;2019;010002129;750056335;N2450;;1;0.28
SSR_P;2019;010002129;750056335;N2460;3;1;4.09
SSR_P;2019;010002129;750056335;N2500;18;3;0.4
SSR_P;2019;010002129;750056335;N2710;;1;0.4
SSR_P;2019;010002129;750056335;N310H;2;;1.68
SSR_P;2019;010002129;750056335;N3120;;2;1.03
SSR_P;2019;010002129;750056335;NAUT;19;5;33.48
SSR_P;2019;010002129;750056335;NCINF;18;1;18.55
SSR_P;2019;010005239;010008407;M1010;1;0;1.16
SSR_P;2019;010005239;010008407;M1320;1;0;1.16
SSR_P;2019;010005239;010008407;N241P;1;2;2.56
SSR_P;2019;010005239;010008407;N2500;9;2;11.28
SSR_P;2019;010005239;010008407;NAUT;1;0;1
SSR_P;2019;010005239;010008407;NCINF;5;2;5.07
SSR_P;2019;010008852;010783009;M1010;1;;1
SSR_P;2019;010008852;010783009;M1180;;1;0.25
SSR_P;2019;010008852;010783009;MAUT;;1;0.05
SSR_P;2019;010008852;010783009;N241P;1;1;1.9
SSR_P;2019;010008852;010783009;N2430;;1;0.13
SSR_P;2019;010008852;010783009;N2460;;5;3.8
SSR_P;2019;010008852;010783009;N2710;;2;0.03
SSR_P;2019;010008852;010783009;N3120;;1;0.9
SSR_P;2019;010008852;010783009;NAUT;2;17;3.53
SSR_P;2019;010008852;010783009;NCINF;1;1;1.04
SSR_P;2019;010009314;010780054;M1150;;1;0.1
SSR_P;2019;010009314;010780054;M1180;1;;1
SSR_P;2019;010009314;010780054;M1320;;6;2.61
SSR_P;2019;010009314;010780054;MAUT;;;0.1
SSR_P;2019;010009314;010780054;N241P;;5;2.13
SSR_P;2019;010009314;010780054;N2430;;1;0.13
SSR_P;2019;010009314;010780054;N2450;;2;0.22
SSR_P;2019;010009314;010780054;N2460;;3;0.9
SSR_P;2019;010009314;010780054;N2470;;1;0.5
SSR_P;2019;010009314;010780054;N2500;17;11;19.76
SSR_P;2019;010009314;010780054;N2710;;2;0.75
SSR_P;2019;010009314;010780054;N3120;;2;0.51
SSR_P;2019;010009314;010780054;NAUT;8;5;10.08
SSR_P;2019;010009314;010780054;NCINF;12;12;15.52
SSR_P;2019;010780252;010783009;M1010;1;;1.91
SSR_P;2019;010780252;010783009;M1180;2;1;1.92
SSR_P;2019;010780252;010783009;N241P;3;1;2.95
SSR_P;2019;010780252;010783009;N2450;1;;0.74
SSR_P;2019;010780252;010783009;N2460;3;1;3.36
SSR_P;2019;010780252;010783009;N2470;1;;0.25
SSR_P;2019;010780252;010783009;N2500;11;4;13.05
SSR_P;2019;010780252;010783009;N2710;2;1;0.74
SSR_P;2019;010780252;010783009;N310H;;1;0.58
SSR_P;2019;010780252;010783009;N3120;;1;0.5
SSR_P;2019;010780252;010783009;NAUT;12;51;52.44
SSR_P;2019;010780252;010783009;NCINF;5;11;14.38
SSR_P;2019;010780278;010783009;M1010;1;;1
SSR_P;2019;010780278;010783009;M1120;;;0.25
SSR_P;2019;010780278;010783009;M1180;2;2;3.05
SSR_P;2019;010780278;010783009;MAUT;;2;0.72
SSR_P;2019;010780278;010783009;N241P;7;1;4.41
SSR_P;2019;010780278;010783009;N2430;1;;0.16
SSR_P;2019;010780278;010783009;N2450;1;;1
SSR_P;2019;010780278;010783009;N2460;6;1;7.23
SSR_P;2019;010780278;010783009;N2500;21;5;31.98
