BOR;AN;FI;GRP;RS;FI_ET;RS_ET;FI_EJ
STB;2019;010000024;04;CENTRE HOSPITALIER DE FLEYRIAT;;;010780054
STB;2019;010000032;04;CENTRE HOSPITALIER DE BELLEY;;;010780062
STB;2019;010000065;04;CH DE TREVOUX - MONTPENSIER;;;010780096
STB;2019;010000081;04;CENTRE HOSPITALIER DU PAYS DE GEX;010789022;USLD CH DU PAYS DE GEX;010780112
STB;2019;010000099;04;CENTRE HOSPITALIER DE MEXIMIEUX;;;010780120
STB;2019;010000107;04;CENTRE HOSPITALIER DE PONT DE VAUX;;;010780138
STB;2019;010000115;04;CHI AIN VAL DE SAONE - PONT VEYLE;010788008;USLD CH PONT DE VEYLE;010009132
STB;2019;010000131;04;CHI AIN VAL DE SAONE - THOISSEY;;;010009132
STB;2019;010000180;04;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;;;010007987
STB;2019;010000198;04;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;;;010007987
STB;2019;010000214;04;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;;;010007987
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010002236;CMP INFANTO-JUVENILE GUIDANCE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010002244;CATTP AGORA;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010002251;HDJ ADULTES;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010006286;CATTP ADULTES FRANCOIS TOSQUELLES;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010006385;CATTP CHATEAU GAILLARD;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010007854;CATTP ESPLANADE BELLEGARDE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010007862;CATTP ENFANTS LES 4 SAISONS;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010007870;CMPPA;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010007896;CMP ENFANTS FERNEY-VOLTAIRE;010783009
