BOR;AN;FI;GRP;RS;FI_ET;RS_ET
ST;2019;010007987;02;CH PUBLIC HAUTEVILLE;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE
ST;2019;010007987;02;CH PUBLIC HAUTEVILLE;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT
ST;2019;010007987;02;CH PUBLIC HAUTEVILLE;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE
ST;2019;010008407;02;CENTRE HOSPITALIER DU HAUT BUGEY;010005239;CH DU HAUT BUGEY - GEOVREISSET
ST;2019;010008407;02;CENTRE HOSPITALIER DU HAUT BUGEY;010786259;USLD CH DE NANTUA
ST;2019;010008407;02;CENTRE HOSPITALIER DU HAUT BUGEY;010789717;USLD CH D'OYONNAX
ST;2019;010009132;02;CH INTERCOMMUNAL AIN VAL DE SAONE;010000115;CHI AIN VAL DE SAONE - PONT VEYLE
ST;2019;010009132;02;CH INTERCOMMUNAL AIN VAL DE SAONE;010000131;CHI AIN VAL DE SAONE - THOISSEY
ST;2019;010780054;02;CENTRE HOSPITALIER FLEYRIAT;010000024;CENTRE HOSPITALIER DE FLEYRIAT
ST;2019;010780054;02;CENTRE HOSPITALIER FLEYRIAT;010009314;SSR HOTEL DIEU DE FLEYRIAT
ST;2019;010780054;02;CENTRE HOSPITALIER FLEYRIAT;010009702;USLD EMILE PELICAND
ST;2019;010780062;02;CENTRE HOSPITALIER DE BELLEY RECAMIER;010000032;CENTRE HOSPITALIER DE BELLEY
ST;2019;010780096;02;CENTRE HOSPITALIER DE TREVOUX;010000065;CH DE TREVOUX - MONTPENSIER
ST;2019;010780096;02;CENTRE HOSPITALIER DE TREVOUX;010789576;USLD
ST;2019;010780112;02;CENTRE HOSPITALIER DU PAYS DE GEX;010000081;CENTRE HOSPITALIER DU PAYS DE GEX
ST;2019;010780120;02;CENTRE HOSPITALIER DE MEXIMIEUX;010000099;CENTRE HOSPITALIER DE MEXIMIEUX
ST;2019;010780138;02;CENTRE HOSPITALIER DE PONT DE VAUX;010000107;CENTRE HOSPITALIER DE PONT DE VAUX
ST;2019;020000022;02;CENTRE HOSPITALIER DE GUISE;020000089;CH GUISE
ST;2019;020000048;02;CENTRE HOSPITALIER GERONTOLOGIQUE;020000097;CH LA FÈRE
ST;2019;020000055;02;CH NOUVION EN THIERACHE;020000105;CH LE NOUVION-EN-THIÉRACHE
ST;2019;020000063;02;CENTRE HOSPITALIER DE SAINT QUENTIN;020000162;CH SAINT-QUENTIN
ST;2019;020000063;02;CENTRE HOSPITALIER DE SAINT QUENTIN;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN
ST;2019;020000063;02;CENTRE HOSPITALIER DE SAINT QUENTIN;020016366;SMUR CH SAINT-QUENTIN GUISE
ST;2019;020000071;02;CENTRE HOSPITALIER DE VERVINS;020000246;CH VERVINS
ST;2019;020000253;02;CH DE LAON;020000394;CH LAON
ST;2019;020000253;02;CH DE LAON;020003877;SSR CH LAON
ST;2019;020000253;02;CH DE LAON;020005476;USLD CH LAON
ST;2019;020000261;02;CENTRE HOSPITALIER DE SOISSONS;020000519;CH SOISSONS
