BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2019;010000024;010780054;M9999;;22;12.33;1;1
URGENCES_P;2019;010000024;010780054;N1220;3;1;3.8;;0
URGENCES_P;2019;010000024;010780054;N2120;1;;1;3;1
URGENCES_P;2019;010000024;010780054;N2500;13;8;19.19;;
URGENCES_P;2019;010000024;010780054;N9999;39;25;55.98;;
URGENCES_P;2019;010000024;010780054;NINF;18;16;27.98;1;1
URGENCES_P;2019;010000032;010780062;M9999;6;3;6.9;1;1
URGENCES_P;2019;010000032;010780062;N1220;2;;2;1;1
URGENCES_P;2019;010000032;010780062;N2120;1;;1;2;1
URGENCES_P;2019;010000032;010780062;N2500;9;;7.15;;
URGENCES_P;2019;010000032;010780062;N3120;;;0.05;;
URGENCES_P;2019;010000032;010780062;N9999;33;;27.1;;
URGENCES_P;2019;010000032;010780062;NINF;20;;13.87;1;1
URGENCES_P;2019;010005239;010008407;M9999;6;4;8.14;;
URGENCES_P;2019;010005239;010008407;N1220;2;0;1.54;;
URGENCES_P;2019;010005239;010008407;N2120;1;0;0.55;;
URGENCES_P;2019;010005239;010008407;N2500;14;0;11.65;;
URGENCES_P;2019;010005239;010008407;N9999;34;7;35.31;;
URGENCES_P;2019;010005239;010008407;NINF;17;7;21.57;;
URGENCES_P;2019;010780195;010000156;M9999;6;1;6;;
URGENCES_P;2019;010780195;010000156;N1220;2;1;2.89;;
URGENCES_P;2019;010780195;010000156;N2120;0;1;0.8;;
URGENCES_P;2019;010780195;010000156;N2500;3;2;2.69;;
URGENCES_P;2019;010780195;010000156;N9999;16;30;19.04;;
URGENCES_P;2019;010780195;010000156;NINF;11;26;12.66;;
URGENCES_P;2019;010780203;010010718;M9999;8;;8;3;1
URGENCES_P;2019;010780203;010010718;N1220;3;1;3.5;;
URGENCES_P;2019;010780203;010010718;N2120;1;;0.28;;
URGENCES_P;2019;010780203;010010718;N2500;8;2;4.96;;
URGENCES_P;2019;010780203;010010718;N9999;23;5;21.31;;
URGENCES_P;2019;010780203;010010718;NINF;11;2;12.57;;
URGENCES_P;2019;020000162;020000063;M1140;0;6;1;;0
URGENCES_P;2019;020000162;020000063;M3020;0;2;1;;
URGENCES_P;2019;020000162;020000063;M9999;7;83;10.44;2;1
URGENCES_P;2019;020000162;020000063;N1220;0;4;2.92;3;1
URGENCES_P;2019;020000162;020000063;N2120;0;3;1.3;3;1
URGENCES_P;2019;020000162;020000063;N2500;33;13;40.13;;
URGENCES_P;2019;020000162;020000063;N9999;77;34;92.15;;
URGENCES_P;2019;020000162;020000063;NINF;38;12;40.46;3;1
URGENCES_P;2019;020000394;020000253;M1140;0;5;0.15;;0
URGENCES_P;2019;020000394;020000253;M9999;0;16;5.75;3;1
URGENCES_P;2019;020000394;020000253;N1220;1;1;1.55;;0
URGENCES_P;2019;020000394;020000253;N2120;1;0;0.38;;0
URGENCES_P;2019;020000394;020000253;N2500;11;0;11;;
URGENCES_P;2019;020000394;020000253;N3120;0;0;0.9;;
URGENCES_P;2019;020000394;020000253;N9999;41;2;42.67;;
URGENCES_P;2019;020000394;020000253;NINF;22;1;22.49;;0
URGENCES_P;2019;020000519;020000261;M9999;12;3;13.4;2;1
URGENCES_P;2019;020000519;020000261;N1220;4;;4;2;1
URGENCES_P;2019;020000519;020000261;N2120;1;;1;2;1
URGENCES_P;2019;020000519;020000261;N2500;10;3;11.4;;
URGENCES_P;2019;020000519;020000261;N2620;2;;2;;0
URGENCES_P;2019;020000519;020000261;N9999;37;18;48.69;;
URGENCES_P;2019;020000519;020000261;NINF;20;15;30.29;2;1
URGENCES_P;2019;020000535;020000287;M9999;4;;8.24;;
URGENCES_P;2019;020000535;020000287;N1220;1;;;2;1
URGENCES_P;2019;020000535;020000287;N2120;;1;0.25;2;1
URGENCES_P;2019;020000535;020000287;N2500;13;;12.36;;
URGENCES_P;2019;020000535;020000287;N9999;31;6;31.66;;
