BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2020;010000024;CH DE FLEYRIAT;010780054;M100H;;10;1.17;0;0
BLOCS_P;2020;010000024;CH DE FLEYRIAT;010780054;M1030;;18;11.7;1;0
BLOCS_P;2020;010000024;CH DE FLEYRIAT;010780054;M200H;;30;8.73;0;1
BLOCS_P;2020;010000024;CH DE FLEYRIAT;010780054;N2200;5;1;7.22;0;0
BLOCS_P;2020;010000024;CH DE FLEYRIAT;010780054;N2310;19;11;24.47;1;1
BLOCS_P;2020;010000024;CH DE FLEYRIAT;010780054;N2320;19;10;23.91;1;1
BLOCS_P;2020;010000024;CH DE FLEYRIAT;010780054;N2510;13;2;13.77;0;0
BLOCS_P;2020;010000024;CH DE FLEYRIAT;010780054;NAUT;2;;2;0;0
BLOCS_P;2020;010000032;CH DE BELLEY;010780062;M200H;9;2;9.03;;
BLOCS_P;2020;010000032;CH DE BELLEY;010780062;N2200;7;1;6.5;;
BLOCS_P;2020;010000032;CH DE BELLEY;010780062;N2310;4;2;3.64;;
BLOCS_P;2020;010000032;CH DE BELLEY;010780062;N2320;1;;1.67;;
BLOCS_P;2020;010000032;CH DE BELLEY;010780062;N2510;4;;1.24;;
BLOCS_P;2020;010000032;CH DE BELLEY;010780062;NAUT;4;1;5.03;;
BLOCS_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M100H;0;0;0.05;;
BLOCS_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1030;2;4;5.15;;
BLOCS_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M200H;6;1;2.75;;
BLOCS_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2200;6;3;8.11;;
BLOCS_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2310;4;3;5.1;;
BLOCS_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2320;2;1;2.35;;
BLOCS_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N4160;1;0;1;;
