BOR;AN;FI;RS;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_B17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2020;010000024;CH DE FLEYRIAT;010780054;1;1;1;27748;414;26617;7951;436;1;;;;8352;414;358;7728;436;953;92;0;0;2;0;;816;17743;148;0;0;955;0;0;2;2;4;;1;;2;12;2;2;2;3.6;13.18;0.4;4.43;7;24;;;409;9373;0;0;0;0;0;0;2422;0;0;0;3;;2;;4.35;;10;6;;;3;11;3;1;1;;16.97;8.21;0.61;0.1;3
CANCERO;2020;010000032;CH DE BELLEY;010780062;1;0;0;737;0;649;703;0;0;730000015;;;672;0;23;626;0;93;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;0;83;0;69;215;0;0;010780054;;;60;0;0;60;0;5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;010780195;CLINIQUE CONVERT;010000156;1;0;1;3855;0;3481;2436;0;1;;;;3301;0;5;3258;0;378;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;0;3515;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0.2;1;2;0;0;0;0;0;0;2;1;1;1.98;0;1;0.5;0.14
CANCERO;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;0;0;164;0;84;552;0;0;690023411;;;16;0;0;16;0;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;020000089;CH GUISE;020000022;1;0;0;;1;;;1;0;;;;;1;;;1;;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;020000162;CH SAINT-QUENTIN;020000063;1;1;1;25538;0;24565;9814;0;1;;;;9684;0;365;9020;0;928;0;5;0;3;0;0;795;14417;227;0;0;790;0;0;2;3;16;0;3;1;1;0;0;1;2.8;3.5;14.37;0;2.42;21;30;0;0;733;10754;0;0;0;7;0;0;6783;0;0;0;4;3;2;0;4.7;3;22;10;2;0;6;7;5;0;0;2;25.7;13.69;2;0;6.43
CANCERO;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0;0;0;231;0;128;425;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;020000394;CH LAON;020000253;1;0;1;778;0;632;1386;0;1;;;;618;0;1;617;0;80;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;31;11;;;1;276;0;0;0;2;0;0;6;0;0;0;1;0;0;0;0.2;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;1
CANCERO;2020;020000519;CH SOISSONS;020000261;1;1;1;8212;0;7983;2246;0;1;;;;3240;0;3;3203;0;361;0;0;0;1;1;;257;4494;33;0;0;259;0;0;1;;;;;1;;;;;1.2;;;;;8;16;;;508;3357;0;0;0;0;0;0;2729;0;0;0;2;1;;1;2;1.8;11;7;0;0;6;1;0;0;0;3;12.4;7.08;0.05;0;8.2
CANCERO;2020;020000535;CH CHAUNY;020000287;1;0;1;1837;0;1786;366;0;1;;;;1625;0;2;1579;0;151;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1617;0;0;0;0;0;0;0;0;0;0;1;;;2;1;0.6;1;2;;;2;2;;;;2;1.26;2.32;;0.1;2.26
CANCERO;2020;020001061;CH CHÂTEAU-THIERRY;020004404;1;0;1;600;0;536;458;0;0;020000261;;;495;0;2;475;0;78;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;0;431;0;0;0;0;0;0;0;0;0;0;;;;1;;0.1;;;;;;4;1;;;1;0.4;0.4;;;0.1
CANCERO;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1;0;1;3010;0;2673;2468;0;1;;;;2666;0;8;2635;0;312;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;0;3591;0;0;0;7;0;0;0;0;0;0;2;;;2;2;1;3;;;;;1;;1;;;3.88;;0.25;;
CANCERO;2020;030000061;CH DE MOULINS;030780092;1;1;1;12879;0;12412;6829;0;1;;;;4750;0;64;4512;0;497;0;0;0;2;1;0;338;7851;93;0;0;392;0;0;1;3;7;0;2;0;0;2;0;2;1.43;3;8.63;0;2.63;;8;;;;4576;;;;;;;;;;;2;;2;;2.81;;3;2;0;0;4;6;1;0;0;2;7.54;2.5;0;0;5.18
CANCERO;2020;030000079;CH DE MONTLUCON;030780100;1;0;1;3232;1;2904;3934;2;1;;;;2905;1;20;2788;2;284;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;11;9;;;351;3178;0;0;0;0;0;0;4398;0;0;0;1;;;;1;0.76;10;8;;1;11;;;;;;8.92;6.22;;0.5;8.17
CANCERO;2020;030000087;CH JACQUES LACARIN VICHY;030780118;1;0;1;5477;39;4976;3311;44;1;;;;5140;39;248;4822;44;512;17;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;0;6379;0;0;0;4;0;0;0;0;0;0;3;;;;1.8;;9;7;1;0;5;4;3;0;0;0;12.24;8.96;1;0;5
CANCERO;2020;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;0;1;0;14994;;14357;;;;;;;;;;;;;;;;2;;0;637;14357;1331;;;623;;;2;2;3;1;3;;;3;0;0;2;2;5.2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;1;0;1;1755;0;1498;1558;0;1;;;;1421;0;0;1405;0;111;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1366;0;0;0;0;0;0;0;0;0;0;;;1;;0.8;;2;;;;;;;;;;1.5;;;;
CANCERO;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;0;1;7325;1;6679;7988;1;1;;;;6518;0;61;6310;0;576;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;0;6356;0;0;0;0;0;0;0;0;0;0;3;1;3;;3;1;4;;1;;1;;;;1;1;4;;0.8;0.5;1.5
CANCERO;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;1;0;1;1390;0;801;3212;0;1;;;;1190;0;446;707;0;133;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;0;1063;0;0;0;0;0;0;0;0;0;0;1;;1;1;1.2;0.5;1;;;;;4;;;;;2.36;;;;
CANCERO;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;0;1;4434;0;4221;2354;0;0;040788879;;;4251;0;1;4195;0;418;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;5336;0;0;0;8;0;0;0;0;0;0;0;0;2;0;1.1;0.01;7;0;1;0;1;2;0;1;0;0;5.32;0.7;0.45;0;0.97
CANCERO;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;0;1;1227;0;1143;884;0;1;;;;1194;0;18;1126;0;145;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;3;13;;;12;2042;0;0;0;1;0;0;12;0;0;0;;;1;4;0.15;2.26;14;10;;;4;1;1;1;;3;14.77;10.9;0.5;;5.56
CANCERO;2020;040780470;CLINIQUE TOUTES AURES;040000192;0;0;0;321;0;263;216;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;1;0;0;694;0;498;552;0;0;;;;166;0;0;166;0;24;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;0;0;523;0;484;221;0;0;050000348;;;467;0;0;452;0;86;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;1;1;6815;2;6214;4104;2;1;;;;6345;2;98;6192;2;725;2;1;0;;;;0;0;7;0;0;6;0;0;0;1;1;0;2;0;1;7;0;5;0;1.8;6.5;0;3.83;;1;;;2;7451;0;0;0;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CANCERO;2020;050007533;INSTITUT PAOLI CALMETTES RADIOTH GAP;130784127;0;1;0;9521;0;9116;0;0;;;;;;;;;;;;;;1;0;;405;9116;0;0;0;429;0;0;2;1;6;;4;1;2;1;;1;2.11;1.9;6.5;;4.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;0;1;3857;0;3458;2676;0;1;;;;3452;0;21;3380;0;360;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;0;3366;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0.27;0.7;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
CANCERO;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;0;0;2458;0;2145;3217;0;1;;;;2275;0;113;2074;0;299;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;1;1;1;52164;0;47887;23293;0;1;;;;20525;0;1771;18168;0;2271;0;1;0;4;;3;1755;26078;695;310;348;1869;10;229;8;6;20;4;11;3;0;4;0;1;5.02;4.88;22.29;4.22;9.5;82;47;31;15;5056;18977;1649;1429;0;2;0;0;22918;3630;0;0;14;26;0;7;6.04;10.79;113;80;2;3;28;9;2;0;0;3;98.39;69.81;0.7;3.13;20.39
CANCERO;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;1;0;1;3608;4;3205;2662;9;1;;;;3080;4;168;2836;9;340;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;3204;0;0;0;0;0;0;0;0;0;0;1;1;;;1;1;;;;;1;4;1;;;1;2.54;0.5;;;1.15
CANCERO;2020;060019627;CTRE AZUREEN CANCEROLOGIE SITE TZANCK;060019551;0;1;0;59119;;56227;0;;;;;;;;;;;;;;;5;1;;2892;56227;2000;;;2688;0;;6;4;23;5;8;1;1;2;0;1;6.33;4.1;24.05;5;8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060021342;CTRE COBALTH TRAIT HTE ENERG SITE CLIN;060003621;0;1;0;19830;;18640;0;;;;;;;;;;;;;;;2;;0;1190;18640;;0;;1030;0;0;5;5;15;1;17;1;0;;;4;5.75;5;15;1;18.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;0;0;0;530;0;413;693;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060024551;CENTRE ANTOINE LACASSAGNE CYCLOTRON 2;060780962;0;1;0;8579;;60;0;;;;;;;;;;;;;;;3;;0;1017;7562;0;0;0;749;45;0;3;6;8;2;6;0;1;3;1;2;2.59;6.28;11.28;2.68;7.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;0;0;0;407;0;353;64;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;0;0;0;914;0;290;4048;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;1;0;1;10409;0;9796;4428;0;1;;;;9330;0;137;9104;0;950;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;0;9104;0;0;0;0;0;0;0;0;0;0;;;5;1;0;0.2;4;1;;;;1;;1;0;;4.06;0.17;0.52;0;
CANCERO;2020;060780590;CLINIQUE DU PALAIS;060000270;0;0;0;269;0;131;619;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060780715;CLINIQUE SAINT GEORGE;060000361;1;0;1;9741;0;8607;6946;0;1;;;;4018;0;69;7837;0;621;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;29;49;;;2402;2103;0;0;0;0;0;0;7877;0;0;0;3;;;;3;;3;;1;;5;2;;;1;;3.3;;1;0.3;5
CANCERO;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;1;0;1;4849;0;4530;2332;0;1;;;;4254;0;7;4192;0;385;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;0;4198;0;0;0;0;0;0;0;0;0;0;1;;2;;2;;4;;;;1;;;1;1;1;4.2;;0.74;0.6;1.57
CANCERO;2020;060780756;POLYCLINIQUE SANTA MARIA;060000403;0;0;0;709;0;383;1109;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;0;0;0;43;0;10;534;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060781200;CLINIQUE SAINT ANTOINE;060000635;0;0;0;146;0;59;407;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;0;0;2461;0;1085;8543;0;0;060789195;;;963;0;27;955;0;182;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;0;1;10332;0;8839;17155;0;1;;;;9117;0;516;8117;0;906;0;90;0;;;;;;;;;;;;;;;;;;;;;;;;;;;16;14;;;444;3;0;0;0;0;0;0;5780;0;0;0;;0;;2;;0.9;;;;;;;;;;;;;;;
CANCERO;2020;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;1;0;1;10080;0;9206;5700;0;1;;;;8533;0;1;8529;0;949;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;20;20;;;1;8395;0;0;;1;0;0;8;0;;0;;;;;;;11;8;;;1;2;1;1;;2;12.69;8.5;0.5;;2.5
CANCERO;2020;070000013;CH DES VALS D'ARDECHE;070002878;1;0;1;1120;0;796;1517;0;0;260000138;;;901;0;117;763;0;101;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;4;8;;;174;1302;0;0;0;0;0;0;588;0;0;0;;3;;;;1.54;2;2;;;2;2;;1;;1;3.06;2.3;0.2;;1.66
CANCERO;2020;070000179;CH ARDECHE NORD;070780358;1;0;0;1109;0;957;1767;0;0;690783220;;;978;0;34;907;0;79;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;070000609;CH D'AUBENAS;070005566;1;0;1;2862;12;2617;2666;27;1;;;;2639;12;36;2531;27;284;8;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;16;10;;;598;3380;0;0;0;0;0;0;6251;0;0;0;3;1;1;1;2.11;1.16;19;15;1;;5;6;3;1;;2;17.58;15.03;0.66;0.03;4.83
CANCERO;2020;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;0;0;0;158;0;118;199;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;070780424;CLINIQUE PASTEUR;070000245;0;0;0;1210;0;459;4525;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;0;1;5563;0;4714;5402;0;1;;;;4917;0;325;4527;0;582;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;29;1172;0;0;0;0;0;0;57;0;0;0;2;;;;2;;3;;;;2;3;1;;;1;3.86;0.91;;;1.39
CANCERO;2020;080009392;CENTRE DE RADIOTHERAPIE;510007081;0;1;0;9734;0;9174;0;;;;;;;;;;;;;;;1;0;0;560;9174;450;0;0;435;0;0;2;2;4;1;3;;;;;;2;2;4;1;2.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;090000175;CHIVAL SITE FOIX;090781774;1;0;0;3337;270;2936;3328;271;1;;;;3170;270;179;2916;271;402;47;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;0;0;154;0;143;198;0;0;090000175;;;141;0;0;137;0;26;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;1;1;16972;0;15926;10886;0;1;;;;8116;0;351;7368;0;841;0;5;0;2;1;0;431;7777;89;0;0;434;0;0;1;2;6;0;3;3;1;4;0;4;2.12;2.72;8.86;0;5.73;17;27;;;425;8862;0;0;0;6;0;0;5303;0;0;0;0;1;0;11;0;4.14;7;2;0;0;4;23;19;0;1;20;19.37;10.84;0;0.26;6.07
CANCERO;2020;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;0;0;0;288;0;66;908;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;1;0;1;1830;0;1420;2495;0;1;;;;1354;0;18;1317;0;180;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;10;1207;0;0;0;0;0;0;82;0;0;0;;1;;;;1;4;;;;2;0;;;;0;4;;;;2
CANCERO;2020;110000023;CH CARCASSONNE;110780061;1;1;1;18909;0;18498;3704;0;1;;;;5389;0;63;5197;0;584;0;4;0;2;0;0;843;12197;81;0;31;611;0;31;0;0;8;1;2;3;4;3;0;1;1.9;2.73;8.66;1;2.41;10;16;;;446;5714;0;0;0;0;0;0;2556;0;0;0;0;;3;;2.21;;11;8;0;0;0;2;5;1;1;6;13.66;10.64;0.5;0.2;3.69
CANCERO;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;1;0;0;465;0;363;976;0;1;;;;359;0;1;349;0;45;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;1;0;0;0;8;0;0;12;0;310025333;;;0;8;0;0;12;0;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;110780228;POLYCL LE LANGUEDOC;110000114;1;0;1;8332;0;7447;6819;0;1;;;;6828;0;232;7207;0;668;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;0;6271;0;0;0;0;0;0;0;0;0;0;1;;;1;1;0.5;5;6;;;;1;1;1;1;;5;6.9;0.1;0.1;
CANCERO;2020;110780483;POLYCL MONTREAL;110000155;1;0;1;1991;0;1575;2251;0;1;;;;1340;0;1;1322;0;203;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;0;1458;0;0;0;9;0;0;0;0;0;0;3;;;;3;;1;;;;;1;;;;;1.86;;;;
CANCERO;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;1;1;20320;0;19742;3257;0;1;;;;6426;0;171;6210;0;709;0;3;0;2;;2;555;12955;127;15;0;633;0;2;3;3;7;0;2;0;1;8;0;2;2.28;3.8;10.66;0;2.81;12;21;;;811;6747;0;0;0;2;0;0;3767;0;0;0;4;0;1;0;4.88;0;7;1;0;0;2;22;15;2;1;2;18.81;7.57;0.78;0.36;3.04
CANCERO;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;0;1;1486;0;1291;1625;0;1;;;;1259;0;10;1207;0;135;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;1207;;;;;;;;;;;;;;;;;3;2;1;;;;;;;;2.75;1.5;0.5;;
CANCERO;2020;120004569;CH MILLAU;120004528;1;0;0;438;0;353;441;0;0;340780493;;;333;0;8;314;0;54;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
