BOR;AN;FI;RS;FI_EJ;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2020;010000024;CH DE FLEYRIAT;010780054;1;1;0;43;203;44;26;0;18;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;010780195;CLINIQUE CONVERT;010000156;1;1;1;1239;2713;1366;155;0;1211;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2020;020000162;CH SAINT-QUENTIN;020000063;1;2;2;1233;4426;1429;377;0;1052;0;0;0;0;0;0;0;0;0;0;29;0;0
CHIRCAR;2020;020000519;CH SOISSONS;020000261;1;1;1;611;1691;641;87;0;554;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;030000061;CH DE MOULINS;030780092;1;1;0;262;793;273;246;0;27;0;0;0;0;0;0;0;0;0;0;15;0;0
CHIRCAR;2020;030000079;CH DE MONTLUCON;030780100;1;1;1;618;1435;685;2;0;683;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2020;030000087;CH JACQUES LACARIN VICHY;030780118;1;2;2;1266;2486;1347;76;1;1270;0;0;0;;;0;0;;0;0;25;0;0
CHIRCAR;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;1;1;1206;4457;1530;642;0;888;0;0;0;;;0;0;;0;;44;0;0
CHIRCAR;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;1;2;1;1213;3315;1323;481;0;842;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;060780715;CLINIQUE SAINT GEORGE;060000361;1;;4;1867;4503;1972;522;0;1450;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;2;2;1235;3871;1476;704;0;772;0;0;0;;;0;0;;0;;42;0;0
CHIRCAR;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;1;3;3;1640;3181;1832;504;0;1328;1;0;0;2;2;0;432;49;409;24;;3919;3358
CHIRCAR;2020;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;1;1;;259;712;316;300;0;16;0;0;0;;;0;0;;0;;35;0;0
CHIRCAR;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;0;1;61;338;63;42;0;21;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;1;1;999;3832;1125;302;0;823;0;0;0;;;0;0;;0;;47;0;0
CHIRCAR;2020;110000023;CH CARCASSONNE;110780061;1;;1;745;3203;864;174;0;690;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;1;;;0;0;;;;;0;0;0;;;;;;;;;0;0
CHIRCAR;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;2;1;946;3662;1116;228;0;888;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;2;2;1574;5119;1849;539;0;1310;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2020;130001225;HOPITAL DU PAYS SALONNAIS;130782634;1;;;;;;;;;0;0;0;;;;;;;;;;
CHIRCAR;2020;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;1;;120;486;132;95;0;37;0;0;0;;;0;0;;0;;21;0;0
CHIRCAR;2020;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;56;;40;0;16;0;0
CHIRCAR;2020;130041767;EUROMED CARDIO;130041262;1;0;2;1069;2984;1162;38;0;1124;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;1;0;2;1214;3724;1313;179;0;1134;0;0;0;;;0;0;;0;0;0;0;0
CHIRCAR;2020;130780521;APHM HOPITAL NORD;130786049;1;2;0;1863;4687;1939;398;0;1541;0;0;0;0;0;0;0;0;0;0;41;0;0
CHIRCAR;2020;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;1;3;2;856;3072;1057;161;0;896;0;0;0;;;0;0;;0;;20;0;0
CHIRCAR;2020;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;1;1;;735;1964;869;31;0;841;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;130783293;APHM HOPITAL LA TIMONE;130786049;1;5;0;2304;8441;3094;1008;1;2085;1;0;1;4;5;5;1195;;1019;44;76;1516;10770
CHIRCAR;2020;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;3;3;1959;5341;2513;1288;0;1225;1;0;0;3;4;0;819;0;708;17;34;933;6303
CHIRCAR;2020;130784713;HOPITAL PRIVE BEAUREGARD VERT COTEAU;130038847;1;2;1;970;4855;1155;395;0;760;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;130785652;HOPITAL SAINT JOSEPH;130014228;1;2;1;2003;5655;2431;1168;0;1263;1;0;0;;;0;950;;831;22;49;1049;3310
CHIRCAR;2020;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;;;0;0;0;0;0;0;0;1;1;1;2;284;0;;0;16;;811;2904
CHIRCAR;2020;140000209;CHU COTE DE NACRE - CAEN;140000100;1;1;3;2336;6986;2634;835;1;1798;1;0;1;2;2;0;851;;0;;22;0;0
CHIRCAR;2020;140017237;HOPITAL PRIVE ST MARTIN-CAEN;140003278;1;3;1;3171;7626;3591;942;0;2649;1;0;0;2;2;0;676;;628;14;40;549;2330
CHIRCAR;2020;150000040;CH HENRI MONDOR;150780096;1;1;0;868;2463;954;119;0;835;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;1;1;1515;4592;1634;473;0;1161;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;3;0;1851;3901;2045;770;0;1275;0;0;0;;;;;;;;46;0;0
CHIRCAR;2020;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;1;;1;1785;4875;2004;501;0;1503;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;180000010;CH BOURGES - JACQUES COEUR;180000028;1;1;2;1432;4263;1636;336;0;1300;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;1;1;1304;3180;1474;99;0;1375;0;0;0;;;0;0;;0;0;34;0;0
CHIRCAR;2020;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;1;0;0;68;198;71;51;0;20;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;1;;2;1525;3135;1590;300;0;1290;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;3;2;2473;6661;2857;994;0;1863;1;0;1;2;3;8;1056;;807;17;44;817;5861
CHIRCAR;2020;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;2;2;1331;3346;1466;356;0;1110;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;230000820;CENTRE HOSPITALIER GUERET;230780041;1;1;0;113;580;127;85;0;42;0;0;0;0;0;0;0;;0;0;23;0;0
CHIRCAR;2020;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;1;1;1299;4520;1557;432;0;1125;0;0;0;0;0;0;0;0;0;0;39;0;0
CHIRCAR;2020;250000270;CAPIO CLINIQUE SAINT VINCENT BESANCON;250000643;1;2;2;1179;1718;1230;316;0;914;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;250006954;CHRU JEAN MINJOZ;250000015;1;3;3;2573;6469;2957;860;0;2097;1;0;0;3;4;1;829;0;685;24;37;799;5138
CHIRCAR;2020;260000013;CH DE VALENCE;260000021;1;2;1;1634;5127;1725;417;0;1308;0;0;0;;;0;0;;0;;;0;0
