BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
CHIRCAR_P;2020;010000024;CH DE FLEYRIAT;010780054;M1040;;1;0.2;;
CHIRCAR_P;2020;010000024;CH DE FLEYRIAT;010780054;N2510;;1;0.58;;
CHIRCAR_P;2020;010000024;CH DE FLEYRIAT;010780054;N4130;1;1;1.16;;
CHIRCAR_P;2020;010780195;CLINIQUE CONVERT;010000156;M103X;9;3;10.5;1;1
CHIRCAR_P;2020;010780195;CLINIQUE CONVERT;010000156;M1040;3;0;3;1;1
CHIRCAR_P;2020;010780195;CLINIQUE CONVERT;010000156;N2200;3;1;4.05;;
CHIRCAR_P;2020;010780195;CLINIQUE CONVERT;010000156;N2320;5;1;4.05;;
CHIRCAR_P;2020;010780195;CLINIQUE CONVERT;010000156;N4130;1;0;1.09;;
CHIRCAR_P;2020;020000162;CH SAINT-QUENTIN;020000063;M103X;1;0;1;0;0
CHIRCAR_P;2020;020000162;CH SAINT-QUENTIN;020000063;M1040;4;0;4;0;1
CHIRCAR_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2120;1;0;0.2;;
CHIRCAR_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2200;6;5;2;;
CHIRCAR_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2310;16;10;1.4;;
CHIRCAR_P;2020;020000519;CH SOISSONS;020000261;M1040;2;1;2.6;0;1
CHIRCAR_P;2020;020000519;CH SOISSONS;020000261;N2120;1;0;1;;
CHIRCAR_P;2020;020000519;CH SOISSONS;020000261;N2200;23;7;23.66;;
CHIRCAR_P;2020;020000519;CH SOISSONS;020000261;N2510;11;2;12.53;;
CHIRCAR_P;2020;020000519;CH SOISSONS;020000261;NAUT;9;1;9.64;;
CHIRCAR_P;2020;030000061;CH DE MOULINS;030780092;M1040;1;7;2.03;1;0
CHIRCAR_P;2020;030000061;CH DE MOULINS;030780092;N2120;0;1;0.48;;
CHIRCAR_P;2020;030000061;CH DE MOULINS;030780092;N2200;10;1;9.91;;
CHIRCAR_P;2020;030000061;CH DE MOULINS;030780092;N2510;8;1;8.22;;
CHIRCAR_P;2020;030000061;CH DE MOULINS;030780092;NAUT;3;2;3.75;;
CHIRCAR_P;2020;030000079;CH DE MONTLUCON;030780100;M1040;2;4;1.5;0;1
CHIRCAR_P;2020;030000079;CH DE MONTLUCON;030780100;N2120;1;;0.12;;
CHIRCAR_P;2020;030000079;CH DE MONTLUCON;030780100;N2200;4;1;1.5;;
CHIRCAR_P;2020;030000079;CH DE MONTLUCON;030780100;N4130;5;;1.5;;
CHIRCAR_P;2020;030000079;CH DE MONTLUCON;030780100;NAUT;2;;0.94;;
CHIRCAR_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;M1040;3;0;1.37;0;1
CHIRCAR_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2120;0;1;0.15;;
CHIRCAR_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2200;7;3;10.58;;
CHIRCAR_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;4;1;4.34;;
CHIRCAR_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;3;2;4.75;;
CHIRCAR_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;2;3;3.2;;
CHIRCAR_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1040;7;3;7.19;1;1
CHIRCAR_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;M1040;;9;2.8;0;1
CHIRCAR_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2120;;1;0.2;;
CHIRCAR_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2200;;9;4.19;;
CHIRCAR_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N4130;1;1;1.6;;
CHIRCAR_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;M103X;;7;2.8;0;1
CHIRCAR_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;M1040;8;20;11;1;1
CHIRCAR_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;M1160;;14;2.8;0;1
CHIRCAR_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N2120;;1;0.2;;
CHIRCAR_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N2320;2;1;2.2;;
CHIRCAR_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N4130;4;1;4.2;;
CHIRCAR_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;NAUT;2;;2;;
CHIRCAR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M1040;10;6;11.39;1;1
CHIRCAR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2120;4;;1.4;;
CHIRCAR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2200;17;2;14.85;;
CHIRCAR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2510;10;4;13.83;;
CHIRCAR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N4130;2;2;2.21;;
CHIRCAR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;NAUT;12;1;6.25;;
CHIRCAR_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;M103X;5;;6.65;1;1
CHIRCAR_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;M1040;6;2;6.42;1;1
CHIRCAR_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;M104H;4;2;4.56;1;1
CHIRCAR_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;M2140;3;;2.5;0;1
CHIRCAR_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;N2120;1;;1.5;;
CHIRCAR_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;N2200;16;;17.52;;
CHIRCAR_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;N2310;2;;2.64;;
CHIRCAR_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;N2510;1;;0.97;;
CHIRCAR_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;N4130;3;;2.69;;
CHIRCAR_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;NAUT;2;;2.04;;
CHIRCAR_P;2020;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;M103X;;10;0.2;0;1
CHIRCAR_P;2020;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;M1040;4;;4;0;1
CHIRCAR_P;2020;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;M1160;;1;0.1;0;1
CHIRCAR_P;2020;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;N2120;;1;0.5;;
CHIRCAR_P;2020;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;N2200;9;;8.54;;
CHIRCAR_P;2020;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;N2510;6;3;7.75;;
CHIRCAR_P;2020;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;NAUT;3;;3;;
CHIRCAR_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1040;;3;0.08;0;1
CHIRCAR_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2200;;3;2.58;;
CHIRCAR_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2510;1;3;3.58;;
CHIRCAR_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;M1040;0;5;1.09;0;1
CHIRCAR_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N2200;0;5;2.33;;
CHIRCAR_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N4130;1;0;1;;
CHIRCAR_P;2020;110000023;CH CARCASSONNE;110780061;M1040;0;5;1.8;1;1
CHIRCAR_P;2020;110000023;CH CARCASSONNE;110780061;N2120;0;1;0.04;;
CHIRCAR_P;2020;110000023;CH CARCASSONNE;110780061;N2200;0;9;3.93;;
CHIRCAR_P;2020;110000023;CH CARCASSONNE;110780061;N2510;0;1;0.2;;
CHIRCAR_P;2020;110000023;CH CARCASSONNE;110780061;N4130;0;4;1.12;;
CHIRCAR_P;2020;110000023;CH CARCASSONNE;110780061;NAUT;0;2;1.24;;
CHIRCAR_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;M1040;0;5;2;0;1
CHIRCAR_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;M1040;0;9;3.15;1;1
CHIRCAR_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2120;;1;0.17;;
CHIRCAR_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2200;2;8;4.88;;
CHIRCAR_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2510;3;;2.08;;
CHIRCAR_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N4130;4;1;4.04;;
CHIRCAR_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;NAUT;;1;0.45;;
CHIRCAR_P;2020;130002827;CH JOSEPH IMBERT D'ARLES;130789274;M2140;0;1;0.2;;
CHIRCAR_P;2020;130041767;EUROMED CARDIO;130041262;M103X;1;18;1;0;1
CHIRCAR_P;2020;130041767;EUROMED CARDIO;130041262;M1040;3;2;3.6;1;1
CHIRCAR_P;2020;130041767;EUROMED CARDIO;130041262;N2120;2;0;2;;
CHIRCAR_P;2020;130041767;EUROMED CARDIO;130041262;N2200;4;0;4.12;;
CHIRCAR_P;2020;130041767;EUROMED CARDIO;130041262;N4130;6;;3.44;;
CHIRCAR_P;2020;130041767;EUROMED CARDIO;130041262;NAUT;5;;4.53;;
CHIRCAR_P;2020;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;M103X;5;0;5;0;1
CHIRCAR_P;2020;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;M1040;11;0;11;1;0
CHIRCAR_P;2020;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;N2120;1;0;1;;
