BOR;AN;FI;RS;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2020;010000024;CH DE FLEYRIAT;010780054;112BA;;;;19;87;11293;;;;;
DIALYSE;2020;010000024;CH DE FLEYRIAT;010780054;1130X;;;;;57;0;;;;;
DIALYSE;2020;010000024;CH DE FLEYRIAT;010780054;1140X;;;;6;9;;;;;;
DIALYSE;2020;010000024;CH DE FLEYRIAT;010780054;1150A;;;;;;624;;;;;
DIALYSE;2020;010000024;CH DE FLEYRIAT;010780054;1210;;;;;9;;;;10;;
DIALYSE;2020;010000024;CH DE FLEYRIAT;010780054;121AA;;;;;5;;;;10;;
DIALYSE;2020;010000024;CH DE FLEYRIAT;010780054;121CA;;;;0;4;;;;;;
DIALYSE;2020;010000024;CH DE FLEYRIAT;010780054;122AX;;;;0;0;;;;3;;
DIALYSE;2020;010000024;CH DE FLEYRIAT;010780054;122BA;;;;3;0;;;;112;;
DIALYSE;2020;010000024;CH DE FLEYRIAT;010780054;TOT;0;;;;;;940;3;;48;44
DIALYSE;2020;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;1130X;;;;8;22;3066;;;;;
DIALYSE;2020;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;TOT;0;;;;;;;1;;;
DIALYSE;2020;010780294;NEPHROCARE CH BELLEY;690000278;112AX;;;;1;0;69;;;;;
DIALYSE;2020;010780294;NEPHROCARE CH BELLEY;690000278;112BA;;;;12;44;6489;;;;;
DIALYSE;2020;010780294;NEPHROCARE CH BELLEY;690000278;1130X;;;;6;31;1947;;;;;
DIALYSE;2020;010780294;NEPHROCARE CH BELLEY;690000278;1140X;;;;6;6;869;;;;;
DIALYSE;2020;010780294;NEPHROCARE CH BELLEY;690000278;TOT;0;;;;;;0;;;;
DIALYSE;2020;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;112AX;;;;3;5;929;;;;;
DIALYSE;2020;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1130X;;;;16;56;8435;;;;;
DIALYSE;2020;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1140X;;;;6;9;1409;;;;;
DIALYSE;2020;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1150A;;;;7;7;1328;;;;;
DIALYSE;2020;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1210;;;;;9;;;;534;;
DIALYSE;2020;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;121AA;;;;;5;;;;344;;
DIALYSE;2020;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;121CA;;;;4;4;;;;190;;
DIALYSE;2020;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;TOT;0;;;;;;;;;;
DIALYSE;2020;020000162;CH SAINT-QUENTIN;020000063;112BA;;;;30;117;16692;;;;;
DIALYSE;2020;020000162;CH SAINT-QUENTIN;020000063;TOT;1;3;187;;;;1472;2;;88;0
DIALYSE;2020;020000394;CH LAON;020000253;112AX;;;;2;0;161;;;;;
DIALYSE;2020;020000394;CH LAON;020000253;112BA;;;;12;43;6433;;;;;
DIALYSE;2020;020000394;CH LAON;020000253;1130X;;;;8;0;0;;;;;
DIALYSE;2020;020000394;CH LAON;020000253;1150A;;;;2;2;;;;;;
DIALYSE;2020;020000394;CH LAON;020000253;1210;;;;;2;;;;;;
DIALYSE;2020;020000394;CH LAON;020000253;121CA;;;;;2;;;;;;
DIALYSE;2020;020000394;CH LAON;020000253;TOT;0;;;;;;304;1;;16;
