BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2020;010000024;CH DE FLEYRIAT;010780054;M1110;;5;1.73;0;1
DIALYSE_P;2020;010000024;CH DE FLEYRIAT;010780054;N2500;4;10;7.97;;
DIALYSE_P;2020;010000024;CH DE FLEYRIAT;010780054;NAUT;3;2;3.69;;
DIALYSE_P;2020;010000024;CH DE FLEYRIAT;010780054;NCINF;17;9;23.18;;
DIALYSE_P;2020;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;M1110;;1;0.25;0;1
DIALYSE_P;2020;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;NAUT;;2;0.17;;
DIALYSE_P;2020;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;NCINF;3;5;4.56;;
DIALYSE_P;2020;010780294;NEPHROCARE CH BELLEY;690000278;M1110;2;1;1.58;1;0
DIALYSE_P;2020;010780294;NEPHROCARE CH BELLEY;690000278;N2500;4;1;4.17;;
DIALYSE_P;2020;010780294;NEPHROCARE CH BELLEY;690000278;N4100;;;0.22;;
DIALYSE_P;2020;010780294;NEPHROCARE CH BELLEY;690000278;NCINF;9;2;10.34;;
DIALYSE_P;2020;020000162;CH SAINT-QUENTIN;020000063;M1110;6;0;3.4;0;1
DIALYSE_P;2020;020000162;CH SAINT-QUENTIN;020000063;NAUT;8;3;6.9;;
DIALYSE_P;2020;020000162;CH SAINT-QUENTIN;020000063;NCINF;29;5;31.47;;
DIALYSE_P;2020;020000394;CH LAON;020000253;M1110;3;0;3;0;1
DIALYSE_P;2020;020000394;CH LAON;020000253;N2500;2;1;2.8;;
DIALYSE_P;2020;020000394;CH LAON;020000253;NAUT;3;2;3.44;;
DIALYSE_P;2020;020000394;CH LAON;020000253;NCINF;12;0;12.19;;
DIALYSE_P;2020;020000519;CH SOISSONS;020000261;M1110;2;;2;0;1
DIALYSE_P;2020;020000519;CH SOISSONS;020000261;N2500;2;;2.02;;
DIALYSE_P;2020;020000519;CH SOISSONS;020000261;N4100;1;0;1.67;;
DIALYSE_P;2020;020000519;CH SOISSONS;020000261;NAUT;4;0;4.26;;
DIALYSE_P;2020;020000519;CH SOISSONS;020000261;NCINF;18;6;23.68;;
DIALYSE_P;2020;020001772;UNITE DE DIALYSE DE CHAUNY;590799995;M1110;;8;0.24;0;0
DIALYSE_P;2020;030000061;CH DE MOULINS;030780092;M1110;2;2;3.46;0;1
DIALYSE_P;2020;030000061;CH DE MOULINS;030780092;N2500;5;0;5.11;;
DIALYSE_P;2020;030000061;CH DE MOULINS;030780092;NAUT;1;1;1.1;;
DIALYSE_P;2020;030000061;CH DE MOULINS;030780092;NCINF;12;5;12.54;;
DIALYSE_P;2020;030000079;CH DE MONTLUCON;030780100;M1110;3;1;1.62;0;1
DIALYSE_P;2020;030000079;CH DE MONTLUCON;030780100;N2500;7;;6.7;;
DIALYSE_P;2020;030000079;CH DE MONTLUCON;030780100;NAUT;1;1;1.35;;
DIALYSE_P;2020;030000079;CH DE MONTLUCON;030780100;NCINF;10;1;10.32;;
DIALYSE_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;M1110;5;1;4.97;0;1
