AN;NOM_COURT_GHT;CODE_GHT;NOM_COMPLET_GHT;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;CAP_HTP_GEN;CAP_HTP_INF;CAP_HTP_PEN;CAP_HTP_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;JOU_USLD;PLATOT_HAD;SEJ_HAD;JOU_HAD;FIL_HAD;BIO_B2;BIO_B3;NB_SCAN;ACT_SCAN;ACTNUI_SCAN;NB_IRM;ACT_IRM;ACTNUI_IRM;NB_CAM;ACT_CAM;ACTNUI_CAM;NB_TOMO;ACT_TOMO;ACTNUI_TOMO;NB_MAMM;ACTEX_MAMM;NB_LITHO;ACT_LITHO;ACTNUI_LITHO;NB_RADIO;ACT_RADIO;ACTNUI_RADIO;NB_VASC;ACT_VASC;ACTNUI_VASC;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_C10;BLOCS_C11;BLOCS_C12;BLOCS_C13;BLOCS_C14;BLOCS_C15;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A10;PHARMA_A16_POURCENTOUI;PHARMA_A17_POURCENTOUI;PHARMA_A18_POURCENTOUI;PHARMA_A19_POURCENTOUI;PHARMA_A20_POURCENTOUI;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;INTTOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_ETAB;NB_CHRCHU;NB_CH;NB_CHS;NB_AUT
2020;ARA-01;84101;ALLIER PUY-DE-DÔME;1784;504;203;2491;96787;16022;12578;125387;589622;94765;43457;727844;128;69;17;214;19239;15396;972;35607;893;65;0;958;506;31;0;537;4131;460;;4591;152;83;0;235;18601;7442;;26043;1;0;1;117;0;117;3154;138;;3291;13711;4207;75;17920;17448;4630;75;21952;694;5763;202548;9759;49;582;324;209464;92;1193;31932;787;;;14;157829;2199;8;39512;284;1;8566;;;;;6;5070;2;1492;0;36;183738;1370;7;15395;128;11;49;6;8;3;17;0;15;0;2;0;91;9;1;16;3;1;107;12;8;44173;6808;7071;2719;26531;1517;2438;858;699;582;2174;87167106;33.3;7.1;7.7;50;93.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;4;15;1;
2020;ARA-02;84102;SAVOIE BELLEY;899;273;136;1308;38878;15489;5954;60321;241489;63066;23287;327842;81;64;18;163;3871;10210;1094;15175;230;8;;238;200;8;;208;2004;196;0;2200;77;28;;105;1520;568;;2088;;;;;;;1136;58;0;1186;7665;4165;1094;12777;8983;4287;1128;14192;301;2707;87526;5194;34;173;139;60574;68;2431;34809;1226;;;9;52668;169;4;11289;;3;10028;;1;11967;;2;3143;1;161;;16;118054;338;2;3383;;7;24;2;3;1;1;1;3;1;0;0;31;5;15;5;1;3;47;4;25;24172;4063;1271;336;11651;264;1376;234;311;173;1243;27821904;50;0;10;60;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;11;1;1
2020;ARA-03;84103;BRESSE HAUT-BUGEY;401;94;71;566;17301;4570;4615;26486;117520;21010;14356;152886;21;27;1;49;2538;4314;88;6940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;421;4074;108192;1968;13;170;160;56624;45;785;11973;367;;;3;20618;396;3;8001;8;;;;;;;1;;;;;8;58417;753;2;252;;3;12;1;3;3;1;0;2;0;1;0;19;4;;3;1;0;27;4;0;8446;1596;69;258;5365;57;646;0;429;185;1154;16731076;28.6;0;0;28.6;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;10;;2
2020;ARA-04;84104;CANTAL;371;82;35;488;13695;4035;1966;19696;98053;17073;5682;120808;31;16;0;47;1669;1659;0;3328;142;14;;156;135;10;;145;1165;346;;1511;73;22;;95;20093;16364;;36457;1;;1;179;;179;782;51;;833;2686;1054;;3740;3733;1187;;4920;186;1523;46171;1079;15;154;106;49529;15;618;5702;245;;;2;30073;240;2;11950;42;;;;;;;2;2099;;;;8;45003;296;1;1909;;4;9;3;2;2;1;1;3;1;0;0;15;7;0;3;3;0;17;1;0;5380;880;958;172;3410;13;494;149;242;154;514;10954829;16.7;0;0;50;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;8;;1
2020;ARA-05;84105;ALPES DAUPHINÉ;1024;447;95;1566;48360;18355;6106;72821;301537;99015;24525;425077;138;48;18;204;17188;8934;2938;29060;350;22;0;372;334;20;0;354;3514;293;0;3807;100;103;22;225;6377;10719;5004;22100;1;1;2;0;0;0;2271;186;0;2444;11789;4939;1013;17466;14477;5381;1060;21956;472;4896;122331;13454;55;346;241;114276;112;2681;25550;858;;;7;94699;892;6;51550;;4;7514;;1;4554;;2;2820;1;121;;26;174591;1199;4;8215;36;15;45;7;3;1;14;;8;;;;70;8;;7;3;;48;14;;35722;3916;2744;1876;10372;310;1619;362;435;346;679;65959604;0;0;0;22.2;77.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;4;6;1;
2020;ARA-06;84106;HAUTE-LOIRE;327;111;21;459;15977;5366;1381;22724;91302;26201;5185;122688;23;25;2;50;1096;5214;180;6490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112;1285;34646;605;9;131;100;44432;64;519;14193;404;;;3;37507;516;2;16263;13;;;;;;;1;3001;;;;5;57966;276;;;;2;9;1;1;1;;;2;;;;12;2;2;3;;;20;;;8648;852;122;226;4397;18;395;0;77;125;716;11272675;60;0;0;40;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;5;;
2020;ARA-07;84107;LÉMAN MONT-BLANC;643;166;86;895;29079;9180;6407;44666;178439;36711;21940;237090;38;46;1;85;4270;7970;885;13125;209;0;0;209;209;0;0;209;2033;;;2033;58;25;;83;7369;1118;;8487;5;;5;0;;0;1147;;;1147;5143;2115;;7227;6507;2164;444;8626;105;974;34165;0;;110;83;37184;52;1435;18113;668;;;4;39875;711;3;7853;94;3;10774;0;1;7998;0;3;4761;;;;10;77290;1505;;;;4;16;3;4;3;1;0;6;0;2;0;29;6;1;3;3;0;37;15;0;16988;3490;355;375;10560;91;954;208;130;110;1535;18840085;40;0;20;60;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;6;1;2
2020;ARA-08;84108;GENEVOIS ANNECY ALBANAIS;575;147;85;807;28738;8774;5965;43477;164903;41005;22412;228320;17;20;;37;3321;6173;0;9494;93;0;;93;75;0;;75;711;;;711;20;28;;48;1571;1618;;3189;;;;;;;388;;;388;3990;1659;;5494;4457;1715;;6008;133;1201;37068;3260;10;137;85;44735;35;662;11300;389;;;3;38016;429;3;17779;;;;;;;;1;1669;1;58;;8;52972;586;3;5583;45;11;18;2;3;2;4;1;10;0;0;0;35;5;1;2;1;;28;;;14388;2773;1776;428;6120;133;807;95;165;157;338;28163331;50;0;0;50;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;6;;1
2020;ARA-09;84109;LOIRE;1543;391;192;2126;78803;18796;11770;109369;446892;92985;39102;578979;159;96;13;268;19220;12894;1805;33919;291;19;;310;255;18;;273;4177;362;;4539;191;75;;266;19211;7321;;26532;0;0;0;0;0;0;2494;199;;2625;13721;3146;887;17642;17378;3683;887;21708;797;8182;225517;8689;66;450;378;156092;50;459;13049;291;;;10;148462;2146;7;43238;60;3;4549;0;1;3560;0;5;9374;1;59;;31;197161;5017;4;6005;45;13;53;3;6;3;10;3;13;1;5;1;87;11;0;10;3;0;78;19;0;40289;5957;3879;724;19668;820;3032;461;797;580;2145;77899275;15;5;10;30;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;4;20;;3
2020;ARA-10;84110;RHÔNE CENTRE;2419;816;287;3522;94252;35603;19136;148991;643137;176397;72260;891794;292;122;32;446;50126;20542;5530;76198;;24;;24;;24;;24;;602;;602;;9;;9;;955;;955;;;;;;;;;;;;;;;;733;;733;880;7413;249815;11970;73;462;229;161679;;;;;;;13;137386;2781;9;47416;130;5;16247;;2;5480;;6;4105;;;;36;191124;727;12;13570;39;27;98;9;5;4;16;4;16;0;8;;143;17;5;23;3;2;193;4;12;80500;11549;5282;3078;29800;1023;3523;0;670;229;1916;176877692;50;25;50;77.8;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;12;3;;1
