BOR;AN;FI;RS;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;AUTOBS;AUTSSR;AUTCAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2020;010000024;CH DE FLEYRIAT;010780054;0;;;;;234972;1;1;0;1;1;1;;;1;0;0;0;45;785;0;141;459;11973;0;3196;2670;367;0;113;123;119;44;28;60;0;18;0
HAD;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;1;2;010005379;010005429;;;0;0;0;0;1;1;;;1;0;0;0;60;356;0;149;19;12566;0;5044;813;262;0;120;14;127;72;1;65;0;24;0
HAD;2020;020000089;CH GUISE;020000022;0;;;;;112858;1;0;0;0;0;0;1;1;1;0;0;0;21;185;0;104;1;8875;0;5338;101;122;0;78;1;44;37;0;17;0;15;0
HAD;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;0;;;;;43370;0;0;0;0;1;0;0;1;1;0;0;0;15;66;0;41;1;2329;0;1154;4;54;0;32;1;22;16;0;9;0;7;0
HAD;2020;020004297;HAD AMSAM SOISSONS;020005179;1;2;020004297;020004297;;300488;1;0;0;0;1;1;1;0;1;0;0;0;70;392;0;152;11;12277;0;4954;161;293;0;110;9;91;32;2;61;0;18;0
HAD;2020;020010898;HAD CRF CHAUNY;750721334;0;;;;;54000;1;0;0;0;1;0;1;0;1;0;0;1;25;138;0;51;4;5022;0;1499;200;102;0;38;3;31;17;1;6;0;0;0
HAD;2020;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;0;;;;;300000;0;0;0;0;1;0;1;0;1;0;0;0;40;304;0;113;5;14401;0;5643;364;228;0;86;4;93;44;0;38;0;3;0
HAD;2020;030000061;CH DE MOULINS;030780092;0;;;;;;1;1;0;0;1;1;;;1;0;0;0;12;276;0;83;1;4391;0;1203;6;207;0;75;1;79;44;0;43;0;25;0
HAD;2020;030000079;CH DE MONTLUCON;030780100;0;;;;;127571;1;1;0;0;1;1;;;1;0;0;0;30;276;0;62;18;8687;0;1387;778;185;0;59;13;62;30;2;19;0;10;0
HAD;2020;030000087;CH JACQUES LACARIN VICHY;030780118;1;2;630000446;630000412;;;1;0;0;0;1;1;0;0;1;0;0;0;50;641;0;146;83;18854;0;6265;1085;395;0;126;39;135;60;7;73;0;24;0
HAD;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;0;;;;;64888;0;0;0;0;1;1;;;1;0;0;0;20;29;0;9;1;821;0;158;25;26;0;9;1;25;9;1;26;0;9;1
HAD;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;3;050000348;;;;1;;0;1;1;1;;;1;0;0;0;50;466;0;224;20;13669;0;6833;623;345;0;191;16;143;94;2;44;0;28;1
HAD;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;0;;;;;133855;1;1;0;0;1;0;1;0;1;0;0;0;15;114;0;29;0;4282;0;853;0;91;0;24;0;45;13;0;29;0;4;0
HAD;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;0;;;;;187300;1;0;0;0;1;0;1;0;1;0;0;0;25;225;0;33;4;6304;0;516;116;177;0;31;3;109;15;0;0;0;0;0
HAD;2020;060006558;HAD ARNAULT TZANCK;060798865;0;;;;;379000;0;0;;;1;0;0;0;1;0;0;0;30;202;0;95;5;9881;0;4270;105;149;0;79;3;64;44;0;10;0;7;0
HAD;2020;060785243;HAD NICE & REGION;060001484;1;2;060785243;060785243;060785243;;0;0;0;0;1;0;1;0;1;0;0;0;290;1674;0;482;14;81862;0;14112;564;1234;0;400;10;652;228;1;336;0;85;0
HAD;2020;070000609;CH D'AUBENAS;070005566;0;;;;;85000;1;1;0;0;1;1;;;1;0;0;0;24;390;0;181;33;11060;0;4319;936;292;0;150;25;106;72;6;55;0;43;0
HAD;2020;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;0;;;;;63000;1;0;0;0;1;1;;;1;0;0;1;18;226;0;95;7;5887;0;2410;31;176;0;81;5;80;49;1;45;0;30;0
HAD;2020;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;0;;;;;;1;;0;0;1;1;;;1;0;0;0;50;350;0;156;1;15552;0;4265;59;219;0;105;1;63;38;0;19;0;14;0
HAD;2020;090000175;CHIVAL SITE FOIX;090781774;1;2;090000175;;;130000;0;0;0;0;1;0;1;0;1;0;0;0;45;534;0;88;290;8642;0;2301;1988;250;0;81;60;74;27;12;0;0;0;0
HAD;2020;100007699;HAD GHAM;100006279;0;;;;;;;;;;;;;;1;0;0;0;40;296;0;35;13;7633;0;706;200;244;0;32;6;112;11;0;68;0;3;0
HAD;2020;100010578;GCS PATCS - HAD-TROYES;100010347;0;;;;;;0;0;0;0;1;1;;;1;0;0;0;50;492;0;144;0;15438;0;4664;0;296;0;112;0;77;38;0;20;0;9;0
HAD;2020;110000247;CH LEZIGNAN CORBIERES;110780772;0;;;;;59925;1;1;0;1;1;0;0;0;1;0;0;0;10;95;0;33;2;3630;0;878;70;65;0;25;2;17;6;0;7;0;1;0
HAD;2020;110005048;HAD NARBONNE HAD;110000114;0;;;;;123720;1;0;0;1;1;1;;;1;0;0;1;60;388;0;190;17;16260;0;6607;279;265;0;125;11;92;49;0;36;0;15;1
HAD;2020;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;0;;;;;190000;1;1;0;0;1;1;;;1;0;0;0;43;332;0;175;12;15803;0;9271;432;247;0;129;7;82;47;0;30;0;8;0
HAD;2020;120783618;HAD UDSMA RODEZ;120784616;0;;;;;280000;0;0;0;0;1;1;;;1;1;0;0;64;1604;84;117;38;16313;1634;2815;125;1305;72;89;4;771;44;0;462;0;17;1
HAD;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;0;;;;;;0;0;0;0;1;1;;;1;0;0;0;30;387;1;148;50;10074;7;2454;919;290;1;133;24;113;82;0;62;0;47;0
HAD;2020;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;0;;130781446;;;196375;0;;0;0;0;0;0;0;1;0;0;1;20;265;51;13;26;4862;1194;234;238;176;39;13;7;72;11;4;67;0;5;1
HAD;2020;130001647;INSTITUT PAOLI CALMETTES;130784127;0;;;;;;1;1;0;0;1;1;;;0;0;0;1;20;693;0;153;200;11650;0;4018;3951;253;0;108;77;64;31;11;0;0;0;0
HAD;2020;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;0;;;;;52000;1;0;0;0;1;0;0;0;1;0;0;0;20;126;0;30;0;2753;0;303;0;100;0;24;0;50;14;0;25;0;8;0
HAD;2020;130021488;HAD BOUCHES DU RHONE EST;130021439;0;;;;;334000;1;0;0;0;1;0;1;0;1;0;0;0;40;676;0;48;1;17225;0;962;15;530;0;43;1;349;27;0;330;0;7;0
HAD;2020;130021819;HAD CLARA SCHUMANN;130021769;0;;;;;710000;1;0;0;0;1;1;0;0;1;0;0;0;70;866;0;270;12;22642;0;7669;248;644;0;237;9;362;155;1;258;0;93;0
HAD;2020;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;0;;;;;106833;0;0;0;0;1;0;0;0;1;0;0;0;75;268;0;55;0;10737;0;1964;0;234;0;46;0;160;26;0;142;0;4;0
HAD;2020;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;0;;;;;200000;1;1;0;0;1;1;;;1;0;0;0;25;539;0;30;11;9862;0;550;101;381;0;29;5;159;14;3;131;0;6;0
HAD;2020;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;0;;;;;1500000;1;1;1;0;;;;;1;1;1;1;80;2052;223;24;33;24469;3791;502;170;1303;185;15;9;426;7;6;266;0;3;0
HAD;2020;130785652;HOPITAL SAINT JOSEPH;130014228;0;;;;;864164;1;1;0;0;1;1;0;0;1;1;0;1;58;622;3;80;143;18376;52;2790;546;390;2;72;14;179;55;8;83;0;17;0
HAD;2020;130802143;HAD SOINS ASSISTANCE;130804396;0;;;;;866644;1;0;0;0;1;1;;;1;0;0;0;100;776;0;350;22;26939;0;9108;336;570;0;285;17;315;171;2;209;0;109;0
HAD;2020;130809015;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;0;;;;;;0;0;0;0;1;1;;;1;0;0;0;45;428;0;110;0;14573;0;2074;0;345;0;106;0;276;85;0;332;0;98;0
HAD;2020;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;0;;;;;87761;1;1;0;0;1;1;0;0;1;0;1;1;25;408;0;155;59;7550;0;2179;826;283;0;138;15;148;82;5;77;0;54;1
HAD;2020;140000076;CENTRE HOSPITALIER AUNAY-BAYEUX;140000092;0;;;;;45000;1;0;0;0;1;1;;;1;0;0;0;12;99;0;58;2;3724;0;2216;47;76;0;45;2;38;25;0;16;0;11;0
