BOR;AN;FI;RS;FI_EJ;PERSO;EFFPLS;EFFPAS;ETPS;NBLIB
HAD_P;2020;010000024;CH DE FLEYRIAT;010780054;M9999;1;3;2.1;152
HAD_P;2020;010000024;CH DE FLEYRIAT;010780054;MAUT;;3;1.1;152
HAD_P;2020;010000024;CH DE FLEYRIAT;010780054;Mcoor;1;;1;
HAD_P;2020;010000024;CH DE FLEYRIAT;010780054;N2120;1;;1;
HAD_P;2020;010000024;CH DE FLEYRIAT;010780054;N2210;5;4;7.86;
HAD_P;2020;010000024;CH DE FLEYRIAT;010780054;N2710;;1;0.3;
HAD_P;2020;010000024;CH DE FLEYRIAT;010780054;N3120;;1;0.5;
HAD_P;2020;010000024;CH DE FLEYRIAT;010780054;N9999;8;6;11.66;
HAD_P;2020;010000024;CH DE FLEYRIAT;010780054;NAUT;2;;2;
HAD_P;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M3050;;1;0.6;
HAD_P;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M9999;1;1;1.68;
HAD_P;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;Mcoor;1;;1.08;
HAD_P;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2120;1;;0.52;
HAD_P;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2710;;1;0.21;
HAD_P;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N3120;;2;0.99;
HAD_P;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N9999;5;6;7.53;
HAD_P;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;2;1;1.99;
HAD_P;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;Ncoor;2;2;3.82;
HAD_P;2020;020000089;CH GUISE;020000022;M9999;1;0;0.33;38
HAD_P;2020;020000089;CH GUISE;020000022;MAUT;1;0;0.33;38
HAD_P;2020;020000089;CH GUISE;020000022;N2120;1;0;0.5;
HAD_P;2020;020000089;CH GUISE;020000022;N2210;4;0;1.99;95
HAD_P;2020;020000089;CH GUISE;020000022;N2410;0;0;0;40
HAD_P;2020;020000089;CH GUISE;020000022;N2510;29;0;18.99;
HAD_P;2020;020000089;CH GUISE;020000022;N2710;0;0;0;1
HAD_P;2020;020000089;CH GUISE;020000022;N9999;34;0;21.48;148
HAD_P;2020;020000089;CH GUISE;020000022;NAUT;0;0;0;12
HAD_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;M9999;;1;0.12;
HAD_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;Mcoor;;1;0.12;
HAD_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;N2120;0;;0.18;
HAD_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;N2460;0;;0.12;
HAD_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;N2510;0;;6.19;
HAD_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;N2710;0;;0.06;
HAD_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;N3120;0;;0.18;
HAD_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;N9999;0;0;7.5;
HAD_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;NAUT;0;;0.09;
HAD_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;Ncoor;0;0;0.68;
HAD_P;2020;020004297;HAD AMSAM SOISSONS;020005179;M3050;;1;0.09;
HAD_P;2020;020004297;HAD AMSAM SOISSONS;020005179;M9999;;4;0.62;
