BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2020;010000024;CH DE FLEYRIAT;010780054;M1160;1;7;1.43;0;1;0;0
IMAGES_P;2020;010000024;CH DE FLEYRIAT;010780054;MAUT;;2;0.2;;;;
IMAGES_P;2020;010000024;CH DE FLEYRIAT;010780054;N4130;13;12;20.7;0;1;;
IMAGES_P;2020;010000024;CH DE FLEYRIAT;010780054;N4160;;;0.87;;;;
IMAGES_P;2020;010000024;CH DE FLEYRIAT;010780054;NAUT;7;8;10.85;;;;
IMAGES_P;2020;010000032;CH DE BELLEY;010780062;M1160;1;;0.24;;;0;0
IMAGES_P;2020;010000032;CH DE BELLEY;010780062;N4130;6;3;7.79;;;;
IMAGES_P;2020;010000032;CH DE BELLEY;010780062;N4160;;;0.33;;;;
IMAGES_P;2020;010000032;CH DE BELLEY;010780062;NAUT;5;;4.55;;;;
IMAGES_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N4130;;3;2.7;;;;
IMAGES_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N4160;1;;1;;;;
IMAGES_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1160;2;1;2.42;;;;
IMAGES_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N4130;8;1;7.71;;;;
IMAGES_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;3;0;3.61;;;;
IMAGES_P;2020;010780195;CLINIQUE CONVERT;010000156;N4130;0;0;0;0;1;;
IMAGES_P;2020;020000089;CH GUISE;020000022;N4130;0;1;0.8;;;;
IMAGES_P;2020;020000089;CH GUISE;020000022;N4160;1;0;1;;;;
IMAGES_P;2020;020000089;CH GUISE;020000022;NAUT;2;0;1.5;;;;
IMAGES_P;2020;020000162;CH SAINT-QUENTIN;020000063;M1160;4;5;5.2;1;;1;1
IMAGES_P;2020;020000162;CH SAINT-QUENTIN;020000063;N4130;19;3;21.49;0;1;;
IMAGES_P;2020;020000162;CH SAINT-QUENTIN;020000063;N4160;1;0;1;;;;
IMAGES_P;2020;020000162;CH SAINT-QUENTIN;020000063;NAUT;9;12;11.62;;;;
IMAGES_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1160;;1;0.11;0;0;0;1
IMAGES_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N4130;1;1;1.4;0;0;;
IMAGES_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;NAUT;1;;1;;;;
IMAGES_P;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;M1160;;7;;;;;
IMAGES_P;2020;020000394;CH LAON;020000253;M1160;1;2;2.2;0;1;1;
IMAGES_P;2020;020000394;CH LAON;020000253;N4130;13;4;14.8;0;1;;
IMAGES_P;2020;020000394;CH LAON;020000253;N4160;0;1;0.8;;;;
IMAGES_P;2020;020000394;CH LAON;020000253;NAUT;5;2;6.4;;;;
IMAGES_P;2020;020000519;CH SOISSONS;020000261;M1160;7;1;7.02;0;1;;
IMAGES_P;2020;020000519;CH SOISSONS;020000261;N4130;13;1;14.67;1;0;;
IMAGES_P;2020;020000519;CH SOISSONS;020000261;N4160;1;0;0.8;;;;
IMAGES_P;2020;020000519;CH SOISSONS;020000261;NAUT;10;1;11.74;;;;
IMAGES_P;2020;020000535;CH CHAUNY;020000287;M1160;;1;0.6;0;0;0;0
IMAGES_P;2020;020000535;CH CHAUNY;020000287;N4130;6;5;10;;;;
IMAGES_P;2020;020000535;CH CHAUNY;020000287;N4160;1;;1;;;;
IMAGES_P;2020;020000535;CH CHAUNY;020000287;NAUT;3;2;3.86;;;;
IMAGES_P;2020;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;M1160;;1;0.2;0;0;0;1
IMAGES_P;2020;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;N4130;1;0;1;0;0;;
IMAGES_P;2020;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;M1160;;;;;;0;1
IMAGES_P;2020;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;N4130;;1;0.8;0;0;;
IMAGES_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;M1160;1;2;1.6;0;1;1;1
IMAGES_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N4130;14;;13.8;1;0;;
IMAGES_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;NAUT;10;;9.73;;;;
IMAGES_P;2020;020001087;CH HIRSON;020004495;M1160;0;5;1.5;;1;1;
IMAGES_P;2020;020001087;CH HIRSON;020004495;N4130;4;1;5.19;;1;;
IMAGES_P;2020;020001087;CH HIRSON;020004495;NAUT;4;0;3.33;;;;
IMAGES_P;2020;030000061;CH DE MOULINS;030780092;M1160;2;1;3;0;1;0;0
IMAGES_P;2020;030000061;CH DE MOULINS;030780092;MAUT;8;0;5.52;;;;
IMAGES_P;2020;030000061;CH DE MOULINS;030780092;N4130;13;8;16.05;1;0;;
IMAGES_P;2020;030000061;CH DE MOULINS;030780092;N4160;0;1;0.43;;;;
IMAGES_P;2020;030000061;CH DE MOULINS;030780092;NAUT;6;1;7.08;;;;
IMAGES_P;2020;030000079;CH DE MONTLUCON;030780100;M1160;3;3;4.45;0;1;0;0
IMAGES_P;2020;030000079;CH DE MONTLUCON;030780100;M1210;2;;2;0;0;;
IMAGES_P;2020;030000079;CH DE MONTLUCON;030780100;N4130;17;7;22.71;0;1;;
IMAGES_P;2020;030000079;CH DE MONTLUCON;030780100;N4160;1;;0.53;;;;
IMAGES_P;2020;030000079;CH DE MONTLUCON;030780100;NAUT;12;1;12.55;;;;
IMAGES_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;M1160;7;1;7.03;0;1;;
IMAGES_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;23;5;26.42;;;;
IMAGES_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N4160;1;0;1.5;;;;
IMAGES_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;7;2;8.23;;;;
IMAGES_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M1160;3;0;3;0;1;;
IMAGES_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M1160;0;7;3.24;0;1;0;0
IMAGES_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N4130;7;0;6.89;0;1;;
IMAGES_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N4160;1;0;1;;;;
IMAGES_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NAUT;3;1;3.16;;;;
IMAGES_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;M1160;0;4;1.3;;;;
IMAGES_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N4130;4;4;6.94;0;0;;
IMAGES_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;NAUT;1;4;1.57;;;;
IMAGES_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4130;10;1;10.42;1;0;;
IMAGES_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4160;;1;0.58;;;;
IMAGES_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NAUT;3;5;3.82;;;;
IMAGES_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M1160;2;0;2;;;;
