BOR;AN;FI;RS;FI_EJ;EX_NEUCHI;LIT_NEUCHI;EX_REA;EX_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;CRAN;CERE;STEREOT;NPED;ENDO;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;0;;0;0;0;;1;0;;0;;0;0;0;1;0;12;0;12;51;28;23;0;0;0;0;0;0;0
NEUROCHIR;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;28;0;1;1;14;1;1;994;0;;1;1;1;1;1;2100;109;9509;11;1;27;110;722;625;1576;297;24;1786
NEUROCHIR;2020;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;0;3;0;0;0;;0;0;;0;;0;0;0;0;0;152;0;738;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2020;130780521;APHM HOPITAL NORD;130786049;1;25;0;1;0;;1;1;250;0;;1;0;0;0;0;1123;27;6094;17;0;77;215;1004;139;259;0;0;0
NEUROCHIR;2020;130783293;APHM HOPITAL LA TIMONE;130786049;1;61;1;1;0;;1;1;;0;;1;1;1;1;1;3826;39;21546;30;0;85;164;1606;621;1975;481;36;3071
NEUROCHIR;2020;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;111;0;1;1;4;1;1;0;0;;1;1;1;0;1;3961;12;22190;4;0;12;165;680;158;793;151;0;388
NEUROCHIR;2020;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;;0;0;0;;1;0;;0;;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2020;140000209;CHU COTE DE NACRE - CAEN;140000100;1;42;1;1;0;;1;1;3600;0;;1;1;0;1;1;2070;74;12991;11;1;34;170;1841;496;1510;347;49;2047
NEUROCHIR;2020;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;26;0;1;;4;;1;2380;1;;1;1;1;1;1;1882;71;7438;2;0;7;169;986;99;647;326;40;1492
NEUROCHIR;2020;250006954;CHRU JEAN MINJOZ;250000015;1;33;0;1;0;;1;1;;1;;1;0;1;0;1;1711;31;7459;22;1;87;86;451;151;965;255;6;1335
NEUROCHIR;2020;260020078;SERVICE NEUROCHIRURGIE - CHU42;420784878;1;10;0;0;0;;0;0;;0;;0;0;0;0;0;432;80;2254;1;0;2;0;0;0;0;0;0;0
NEUROCHIR;2020;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;1;42;1;0;1;0;1;1;3500;0;;1;1;1;1;1;1461;39;10732;23;0;95;141;723;21;77;309;8;1343
NEUROCHIR;2020;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1;20;0;0;0;1;1;0;;0;;1;0;0;0;0;816;34;4946;5;0;12;24;353;39;113;0;0;0
NEUROCHIR;2020;300780152;NOUVEL HOPITAL PRIVE LES FRANCISCAINES;300017985;1;28;0;1;0;;1;0;;0;;1;0;0;0;0;1416;6;5211;1;0;5;25;54;153;180;0;0;0
NEUROCHIR;2020;300782117;CHU NIMES CAREMEAU;300780038;1;15;0;0;0;;1;1;;1;;1;0;0;0;0;492;8;2949;2;0;6;54;220;53;137;0;0;0
NEUROCHIR;2020;310780283;CL DE L'UNION;310000112;1;34;0;0;0;;1;0;;0;;1;0;0;0;0;588;11;2736;0;0;0;2;26;92;190;0;0;0
NEUROCHIR;2020;310781000;CL DES CEDRES;310788880;1;35;;;1;2;1;0;;0;;1;1;1;0;1;2741;7;11924;2;0;5;39;350;188;542;108;4;444
NEUROCHIR;2020;310783048;HOPITAL PURPAN CHU TLSE;310781406;1;78;1;1;1;;1;1;4000;0;;1;1;1;1;1;2700;24;20777;44;2;224;569;4744;399;1094;605;36;3069
NEUROCHIR;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;1;70;1;1;1;2;1;;;;;1;1;0;1;1;2343;40;17419;233;3;855;625;5939;1246;2104;805;272;2127
NEUROCHIR;2020;340015502;CL DU MILLENAIRE;340000512;1;30;1;1;0;;1;0;;0;;1;0;1;0;0;1370;12;5649;1;0;4;61;142;462;687;0;0;0
NEUROCHIR;2020;340782085;HOPITAL GUI DE CHAULIAC CHU MTP;340780477;1;53;1;1;1;8;1;0;;0;;1;1;1;1;1;2076;40;10333;213;8;905;90;1231;715;2474;907;99;4200
NEUROCHIR;2020;350000741;CHRU RENNES SITE PONTCHAILLOU;350005179;1;48;0;1;0;;1;1;;1;;1;1;1;1;1;2520;41;14385;20;0;82;127;1335;434;1811;365;70;1590
NEUROCHIR;2020;370000499;CHRU CLOCHEVILLE - TOURS;370000481;1;5;0;0;1;;0;1;;0;;0;0;0;1;0;2;1;4;1027;435;1735;40;235;53;156;0;0;0
NEUROCHIR;2020;370000861;CHRU BRETONNEAU - TOURS;370000481;1;30;1;1;1;;1;1;3650;0;;1;1;1;1;1;1781;88;8373;9;0;89;145;1876;603;2601;547;36;2982
NEUROCHIR;2020;380000067;HOPITAL NORD - CHU38;380780080;1;39;1;1;0;;1;1;2190;0;;1;1;0;1;1;1811;25;10122;24;1;102;361;2081;379;1056;279;80;1376
NEUROCHIR;2020;420785354;HOPITAL NORD - CHU42;420784878;1;43;1;1;1;2;1;1;7300;0;;1;1;1;1;1;1763;58;11681;28;1;188;98;1047;240;726;134;11;786
NEUROCHIR;2020;440017598;CHU DE NANTES SITE LAENNEC;440000289;1;31;0;0;0;0;1;1;1275;0;;1;1;1;1;1;1380;264;6293;8;0;48;396;1931;95;112;290;26;1636
NEUROCHIR;2020;450002613;CHR ORLÉANS - HÔPITAL DE LA SOURCE;450000088;1;18;0;0;0;;0;0;;0;;1;0;1;0;0;594;4;4858;1;0;4;74;548;153;652;0;0;0
NEUROCHIR;2020;490000049;CHR ANGERS SITE LARREY;490000031;1;32;0;1;1;2;1;1;;1;;1;1;0;1;1;1614;33;9195;18;0;79;153;861;12;39;222;29;1219
NEUROCHIR;2020;510004302;HOPITAL MAISON BLANCHE CHU REIMS;510000029;1;30;0;1;1;5;1;1;520;0;0;1;1;0;0;1;1456;89;5094;8;0;23;34;341;448;1317;254;10;1174
NEUROCHIR;2020;540001138;CHRU NANCY - HOPITAL CENTRAL;540023264;1;72;1;1;1;8;1;1;;1;;1;1;1;0;1;2442;14;20809;11;0;68;143;1438;145;1213;452;33;2417
NEUROCHIR;2020;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;1;8;0;0;1;8;1;0;;0;;1;1;1;1;0;0;0;0;376;6;1829;122;483;8;28;18;3;76
NEUROCHIR;2020;590000618;CH VALENCIENNES;590782215;1;20;1;1;0;;1;1;675;1;177;1;0;0;0;;1021;152;5264;11;7;10;102;531;27;142;0;0;0
NEUROCHIR;2020;590796975;HOP SALENGRO - HOPITAL B CHR LILLE;590780193;1;125;1;1;1;1;1;1;5284;1;531;1;1;1;1;1;3956;58;22039;753;139;2626;294;4248;36;513;563;60;2807
NEUROCHIR;2020;630000404;HOPITAL GABRIEL MONTPIED - CHU63;630780989;1;60;1;1;1;0;1;1;5366;0;;1;1;1;1;1;2167;30;13911;25;0;86;245;2527;122;1529;339;24;2152
NEUROCHIR;2020;630781268;HOPITAL ESTAING - CHU63;630780989;0;;0;0;0;;1;;;;;0;0;0;1;0;;;;26;;139;13;33;6;171;;;
NEUROCHIR;2020;640000162;CH DE LA COTE BASQUE - BAYONNE;640780417;1;21;0;1;0;;0;1;;0;;1;1;1;0;1;1109;94;4445;6;0;18;32;264;93;201;0;0;0
NEUROCHIR;2020;640780946;POLYCLINIQUE DE NAVARRE;640000469;1;32;0;1;0;;1;0;;0;;1;1;1;0;0;211;5;971;0;0;0;0;0;16;39;0;0;0
NEUROCHIR;2020;660000084;CH PERPIGNAN;660780180;1;23;1;1;1;2;1;1;360;1;1560;1;0;0;0;1;752;24;6040;4;0;26;65;362;86;275;0;0;0
NEUROCHIR;2020;660780669;POLYCL MEDITERRANEE;660000324;1;4;0;0;0;;0;0;;0;;0;0;0;0;0;118;0;532;1;0;4;0;0;0;0;0;0;0
NEUROCHIR;2020;670783273;HOPITAL DE HAUTEPIERRE;670780055;1;50;0;1;0;;1;0;;0;;1;1;0;1;1;1654;74;9689;21;0;95;104;770;34;407;278;19;1642
NEUROCHIR;2020;680000684;HOPITAL LOUIS PASTEUR;680000973;1;45;0;0;1;1;1;1;1500;1;70;1;1;0;0;1;2198;91;12400;5;0;33;178;1512;8;29;144;26;640
NEUROCHIR;2020;690007539;HOPITAL FEMME MERE ENFANT - HCL;690781810;1;10;0;0;0;;0;0;;0;;0;0;0;1;0;0;0;0;669;22;4122;79;383;235;367;0;0;0
NEUROCHIR;2020;690041124;MEDIPOLE HOPITAL PRIVE;690000724;1;15;0;0;0;;1;0;;0;;1;0;0;0;1;478;1;2316;1;0;1;22;171;174;310;0;0;0
NEUROCHIR;2020;690780648;CLINIQUE DE LA SAUVEGARDE;690036900;1;2;0;0;0;;0;0;;0;;0;0;0;0;1;346;1;829;0;0;0;2;4;2;5;0;0;0
NEUROCHIR;2020;690784178;HOPITAL PIERRE WERTHEIMER - HCL;690781810;1;114;1;1;1;5;1;;;0;;1;1;1;1;1;4982;1350;25378;60;50;67;308;2456;691;2148;790;52;3202
NEUROCHIR;2020;740000237;CH ANNECY-GENEVOIS SITE ANNECY;740781133;1;10;0;1;0;;1;1;700;0;;1;0;0;0;0;821;16;4030;6;0;26;84;325;68;163;0;0;0
NEUROCHIR;2020;750000499;CH SAINTE ANNE;750062036;1;41;1;1;1;7;1;1;;0;;1;;1;0;1;1069;20;9538;15;1;104;128;1569;352;1248;388;128;1527
NEUROCHIR;2020;750000549;HOPITAL FONDATION A DE ROTHSCHILD;750150229;1;32;1;1;1;12;1;0;;1;666;1;1;1;1;1;450;149;1076;0;0;0;5;90;3;34;597;54;3106
NEUROCHIR;2020;750100042;HU SAINT LOUIS SITE LARIBOISIERE APHP;750712184;1;42;0;0;0;;1;0;;1;;1;1;0;0;1;1491;99;7782;4;0;11;172;1662;81;814;462;40;2543
NEUROCHIR;2020;750100125;HU PITIE SALPETRIERE APHP;750712184;1;90;;;;;1;;;1;8;1;1;1;0;0;4359;803;20856;31;4;225;515;6967;1153;1273;499;73;3238
NEUROCHIR;2020;750100208;HU NECKER ENFANTS MALADES APHP;750712184;1;16;1;1;0;;1;1;;1;1226;0;0;0;1;1;20;4;40;1333;99;4251;512;1219;567;1764;0;0;0
NEUROCHIR;2020;760000158;HOPITAL CHARLES NICOLLE CHU ROUEN;760780239;1;58;1;1;1;3;1;1;1185;1;269;1;1;0;1;1;2613;110;16361;38;5;176;299;2474;681;1000;299;46;1199
NEUROCHIR;2020;800006124;CHU AMIENS SUD;800000044;1;39;1;1;1;1;1;1;;1;;1;1;0;1;1;2058;142;9521;157;16;384;250;1915;179;400;290;46;1205
NEUROCHIR;2020;830100574;HIA SAINTE ANNE;750821092;1;20;1;1;1;4;1;1;1187;;;1;0;0;0;1;855;10;6519;6;0;26;105;531;93;466;175;44;653
NEUROCHIR;2020;860000223;CHU LA MILETRIE;860014208;1;29;1;0;0;0;1;1;150;1;0;1;1;1;1;0;1272;4;9014;8;0;46;223;2711;347;527;447;32;2744
NEUROCHIR;2020;870000064;C H U DUPUYTREN LIMOGES;870000015;1;43;;1;1;7;1;1;;1;;1;1;;;1;1630;35;8040;11;0;27;56;540;325;2584;333;1;1402
NEUROCHIR;2020;890975550;CH SENS;890970569;0;0;0;0;0;;0;0;;0;;;;;1;;23;0;144;1;0;3;0;0;0;0;0;0;0
NEUROCHIR;2020;920000650;HOPITAL FOCH;920150059;1;40;0;0;1;7;1;0;;1;77;1;1;1;0;1;891;34;3543;3;0;6;24;340;394;2260;340;42;1286
NEUROCHIR;2020;920100039;HU PARIS NORD SITE BEAUJON APHP;750712184;1;22;0;0;0;;1;0;;1;;1;1;0;0;1;1189;517;5011;9;2;31;133;1464;133;154;0;0;0
NEUROCHIR;2020;920120011;HIA PERCY;750821092;1;15;0;0;0;;1;0;;0;;1;1;1;0;0;502;16;3839;5;0;36;71;484;0;0;1;0;13
NEUROCHIR;2020;930300025;HOPITAL EUROPEEN LA ROSERAIE;930000393;1;9;0;1;0;;1;1;;1;;1;0;1;0;0;248;6;1176;0;0;0;30;239;41;130;0;0;0
NEUROCHIR;2020;940100027;HU HENRI MONDOR SITE HENRI MONDOR APHP;750712184;1;30;1;1;1;10;1;1;;1;;1;1;0;0;1;1536;284;8293;4;0;22;344;1402;119;881;364;80;1364
NEUROCHIR;2020;940100043;HU PARIS SUD SITE KREMLIN BICETRE APHP;750712184;1;34;1;1;1;4;1;1;300;1;67;1;1;1;0;1;1765;367;9641;21;4;90;210;1392;377;985;484;36;2170
NEUROCHIR;2020;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;1;11;0;0;0;;1;1;25;1;;1;1;;;;629;19;3335;7;0;28;59;403;25;56;0;0;0
NEUROCHIR;2020;970107249;CLINIQUE -LES EAUX CLAIRES-;970100731;1;2;0;0;0;;0;0;;0;;0;0;0;0;0;7;0;171;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2020;970211215;CHU DE MARTINIQUE SITE P.ZOBDA QUITMAN;970211207;;10;;;;;;;;;;;;;;;419;5;3527;6;0;42;33;346;20;41;0;0;0
NEUROCHIR;2020;970400057;CHU SITE SUD (SAINT PIERRE);970408589;1;18;1;0;1;;1;1;1121;0;;1;0;0;1;1;861;21;5809;11;1;49;266;1614;24;72;180;11;1311
