BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
NEUROCHIR_P;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;M2060;;2;1;0;1
NEUROCHIR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M103X;0;7;3.8;;
NEUROCHIR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M1160;1;2;2.52;0;1
NEUROCHIR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M2060;0;5;3.02;0;1
NEUROCHIR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2200;23;4;20.93;;
NEUROCHIR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2500;25;1;23;;
NEUROCHIR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N4000;1;;0.91;;
NEUROCHIR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;NAUT;29;3;19.58;;
NEUROCHIR_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;NCINS;5;;1.9;;
NEUROCHIR_P;2020;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;M2060;;1;0.5;;
NEUROCHIR_P;2020;130780521;APHM HOPITAL NORD;130786049;M1120;2;;1.16;;
NEUROCHIR_P;2020;130780521;APHM HOPITAL NORD;130786049;M2060;2;4;3.33;;
NEUROCHIR_P;2020;130780521;APHM HOPITAL NORD;130786049;MAUT;;2;0.15;;
NEUROCHIR_P;2020;130780521;APHM HOPITAL NORD;130786049;N2200;12;4;14.89;;
NEUROCHIR_P;2020;130780521;APHM HOPITAL NORD;130786049;N2400;;1;0.3;;
NEUROCHIR_P;2020;130780521;APHM HOPITAL NORD;130786049;N2500;9;2;9.92;;
NEUROCHIR_P;2020;130780521;APHM HOPITAL NORD;130786049;NAUT;3;;2.83;;
NEUROCHIR_P;2020;130780521;APHM HOPITAL NORD;130786049;NCINS;1;;1;;
NEUROCHIR_P;2020;130783293;APHM HOPITAL LA TIMONE;130786049;M1120;;1;0.1;0;0
NEUROCHIR_P;2020;130783293;APHM HOPITAL LA TIMONE;130786049;M2060;2;7;3.82;1;1
NEUROCHIR_P;2020;130783293;APHM HOPITAL LA TIMONE;130786049;MAUT;;3;0.88;;
NEUROCHIR_P;2020;130783293;APHM HOPITAL LA TIMONE;130786049;N2200;34;5;36.56;;
NEUROCHIR_P;2020;130783293;APHM HOPITAL LA TIMONE;130786049;N2500;28;1;30.69;;
NEUROCHIR_P;2020;130783293;APHM HOPITAL LA TIMONE;130786049;NAUT;5;1;5.13;;
NEUROCHIR_P;2020;130783293;APHM HOPITAL LA TIMONE;130786049;NCINS;4;;3.28;;
NEUROCHIR_P;2020;130784051;HOPITAL PRIVE CLAIRVAL;130037823;M103X;4;5;7.3;;
NEUROCHIR_P;2020;130784051;HOPITAL PRIVE CLAIRVAL;130037823;M1120;3;5;1.2;0;0
NEUROCHIR_P;2020;130784051;HOPITAL PRIVE CLAIRVAL;130037823;M1160;6;2;3.8;0;1
