BOR;AN;FI;RS;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A12;GCS_PM;GHT_PM;AUT_PM;GCS_PARA;GHT_PARA;AUT_PARA;GCS_ADMTECLOG;GHT_ADMTECLOG;AUT_ADMTECLOG
ORG;2020;010000024;CH DE FLEYRIAT;010780054;;;;2;C;B;;;;;;;1;D;;;;;;;;322;C;D;;;;;;;;;;;0.6;;2.47;3.76;;0.28;1.8;;2.15;0.21
ORG;2020;010000032;CH DE BELLEY;010780062;;;;2;A;B;;;;;;;;;;1;A;;;;;15;C;D;1;C;;1;1;SAVOIE BELLEY;;;;;0.05;;;1.38;;0.1;9.1;;0.25;2.84
ORG;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;;;;;;;;;;;;;;;;1;A;;;;;1;D;;;;;;;;;;;;;;;;;;0.27;;0.45;0.27
ORG;2020;010000081;CH DU PAYS DE GEX;010780112;;;;;;;;;;;;;;;;;;;1;;;5;;;;;;;;;;;;;;;0.15;;;0.3;;;0.1;
ORG;2020;010000099;CH DE MEXIMIEUX;010780120;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0.05;
ORG;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;;;1;C;;;;;;;;2;A;A;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0.18;
ORG;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;;;1;C;;0;;;0;;;0;;;0;;;0;;;1;D;;0;;;;;;;;;;0;0;;;0;;;0;;
ORG;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;;;;;;;;;;;;;;;;1;D;;;;;;;;;;;;;;;;;;0;;0.1;;;;;;2;
ORG;2020;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;;;;;;;;;;;;;;;;3;C;D;;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0
ORG;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
