BOR;AN;FI;RS;FI_EJ;AUTOR;LACTA;LIT_KANG;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2020;010000024;CH DE FLEYRIAT;010780054;TYPE2;;1;35;9;6;;5;2483;175;280;18;137;15;0;0;1730;0;9905;2768;1190;0;5963;1946;8798;330;2168;15;1914;32;6;;1986;2976;8899;;95;0;1;530;550;378;46;;17;0;0
PERINAT;2020;010000032;CH DE BELLEY;010780062;TYPE1;;0;10;;;;2;467;44;0;0;0;0;0;0;329;1;1554;0;0;0;1128;344;1398;63;349;0;344;0;1;5;349;1332;1393;30;18;0;1;80;88;54;1;0;0;0;0
PERINAT;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;TYPE1;;0;20;0;0;0;3;893;133;0;0;0;0;0;0;673;7;2745;0;0;0;2310;672;2586;111;560;0;668;4;5;;677;3808;7093;17;25;0;1;82;91;72;1;;0;0;0
PERINAT;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;TYPE1;;;15;;;;4;963;95;0;0;0;0;0;0;710;708;3172;0;0;0;7;718;2827;146;722;0;714;4;12;;724;;;;31;0;1;1;0;0;0;;1;0;0
PERINAT;2020;020000162;CH SAINT-QUENTIN;020000063;TYPE2;;;28;9;6;0;5;1650;105;371;22;330;13;0;0;1047;0;5983;2132;1995;0;3211;1249;5103;256;1345;12;1215;34;7;0;1300;7579;1957;270;116;0;1;432;399;314;21;1;5;0;0
PERINAT;2020;020000394;CH LAON;020000253;TYPE2;;0;18;6;;;3;1040;80;200;1;0;0;0;0;613;0;3904;1307;0;0;2209;766;3543;159;988;0;758;8;0;;784;3827;3764;;19;0;1;244;244;189;11;;5;0;0
PERINAT;2020;020000519;CH SOISSONS;020000261;TYPE2;EXT;0;21;6;4;;3;1418;114;244;15;74;10;0;0;888;2;5276;1455;502;0;3276;1035;4663;200;1091;0;1025;10;2;;1048;12454;2861;;12;0;1;293;357;252;11;;3;0;0
PERINAT;2020;020000535;CH CHAUNY;020000287;TYPE1;;;16;;;;3;645;49;0;0;0;0;0;0;498;10;2033;0;0;0;1618;489;1793;110;496;0;484;5;10;;499;11392;987;290;57;0;1;193;248;126;5;;0;0;0
PERINAT;2020;020001061;CH CHÂTEAU-THIERRY;020004404;TYPE2;;;15;6;;;3;887;153;154;6;0;0;0;0;474;4;2865;706;0;0;1641;576;2494;149;752;0;570;6;9;;588;6502;2453;18;22;0;1;226;177;182;8;;3;0;0
PERINAT;2020;020001087;CH HIRSON;020004495;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;825;1574;123;0;0;0;0;0;0;0;0;0;0;0
