BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2020;010000024;CH DE FLEYRIAT;010780054;M1030;;18;2.9;1;0;1;0
PERINAT_P;2020;010000024;CH DE FLEYRIAT;010780054;M1140;;3;1.5;1;0;;
PERINAT_P;2020;010000024;CH DE FLEYRIAT;010780054;M2050;;10;5.43;1;0;;
PERINAT_P;2020;010000024;CH DE FLEYRIAT;010780054;MIVG;;9;0.55;;;;
PERINAT_P;2020;010000024;CH DE FLEYRIAT;010780054;N2200;2;4;3.25;;;;
PERINAT_P;2020;010000024;CH DE FLEYRIAT;010780054;N2340;7;12;13.17;;;;
PERINAT_P;2020;010000024;CH DE FLEYRIAT;010780054;N2530;12;21;23.76;;;;
PERINAT_P;2020;010000024;CH DE FLEYRIAT;010780054;N2700;;1;0.7;;;;
PERINAT_P;2020;010000024;CH DE FLEYRIAT;010780054;N2800;13;29;28.77;;;;
PERINAT_P;2020;010000024;CH DE FLEYRIAT;010780054;N280H;11;29;26.77;;;;
PERINAT_P;2020;010000024;CH DE FLEYRIAT;010780054;NAUT;8;7;13.57;;;;
PERINAT_P;2020;010000032;CH DE BELLEY;010780062;M1140;1;;1;;;;
PERINAT_P;2020;010000032;CH DE BELLEY;010780062;M2050;1;1;1.83;;;;
PERINAT_P;2020;010000032;CH DE BELLEY;010780062;N2800;6;6;10.26;;;;
PERINAT_P;2020;010000032;CH DE BELLEY;010780062;N280H;6;6;10.26;;;;
PERINAT_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1030;0;0;0;1;;0;
PERINAT_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1140;0;0;0;0;1;;
PERINAT_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2050;3;0;2.87;;1;;
PERINAT_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;MAUT;0;0;0.02;;;;
PERINAT_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2530;8;4;10.74;;;;
PERINAT_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2700;0;1;0.02;;;;
PERINAT_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2800;15;4;16.57;;;;
PERINAT_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N280H;15;4;16.57;;;;
PERINAT_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1030;5;;5;0;1;0;1
PERINAT_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1140;1;1;1.67;0;1;;
PERINAT_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2050;5;1;5.2;0;1;;
PERINAT_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2530;10;3;11.21;;;;
PERINAT_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2800;10;3;12.92;;;;
PERINAT_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N280H;5;;5;;;;
PERINAT_P;2020;020000162;CH SAINT-QUENTIN;020000063;M1030;1;0;1;1;;0;
PERINAT_P;2020;020000162;CH SAINT-QUENTIN;020000063;M1140;5;3;6.3;1;;;
PERINAT_P;2020;020000162;CH SAINT-QUENTIN;020000063;M2050;6;1;6.4;1;;;
PERINAT_P;2020;020000162;CH SAINT-QUENTIN;020000063;MIVG;0;1;0.2;;;;
PERINAT_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2200;15;8;15.4;;;;
PERINAT_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2340;15;4;17.32;;;;
PERINAT_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2530;8;4;9.91;;;;
PERINAT_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2700;2;0;2;;;;
PERINAT_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2800;25;7;27.68;;;;
PERINAT_P;2020;020000162;CH SAINT-QUENTIN;020000063;N280H;25;7;27.68;;;;
PERINAT_P;2020;020000162;CH SAINT-QUENTIN;020000063;NAUT;20;10;22.64;;;;
PERINAT_P;2020;020000394;CH LAON;020000253;M1140;0;5;3.63;;;;
PERINAT_P;2020;020000394;CH LAON;020000253;M2050;3;4;3.69;1;0;;
PERINAT_P;2020;020000394;CH LAON;020000253;MIVG;0;1;0.7;;;;
PERINAT_P;2020;020000394;CH LAON;020000253;N2200;13;0;12.51;;;;
PERINAT_P;2020;020000394;CH LAON;020000253;N2340;1;0;1.26;;;;
PERINAT_P;2020;020000394;CH LAON;020000253;N2530;8;0;7.99;;;;
PERINAT_P;2020;020000394;CH LAON;020000253;N2700;0;1;0.2;;;;
PERINAT_P;2020;020000394;CH LAON;020000253;N2800;13;7;16.63;;;;
PERINAT_P;2020;020000394;CH LAON;020000253;N280H;13;7;16.63;;;;
PERINAT_P;2020;020000394;CH LAON;020000253;NAUT;11;4;12.88;;;;
PERINAT_P;2020;020000519;CH SOISSONS;020000261;M1030;1;;1;1;0;0;0
PERINAT_P;2020;020000519;CH SOISSONS;020000261;M1140;4;2;5.4;1;0;;
PERINAT_P;2020;020000519;CH SOISSONS;020000261;M2050;5;;5;0;1;;
PERINAT_P;2020;020000519;CH SOISSONS;020000261;MIVG;2;;2;;;;
PERINAT_P;2020;020000519;CH SOISSONS;020000261;N2200;10;2;12.42;;;;
PERINAT_P;2020;020000519;CH SOISSONS;020000261;N2340;9;0;8;;;;
PERINAT_P;2020;020000519;CH SOISSONS;020000261;N2530;6;1;7.07;;;;
PERINAT_P;2020;020000519;CH SOISSONS;020000261;N2700;;1;0.25;;;;
PERINAT_P;2020;020000519;CH SOISSONS;020000261;N2800;16;3;16.93;;;;
PERINAT_P;2020;020000519;CH SOISSONS;020000261;NAUT;13;2;15.87;;;;
PERINAT_P;2020;020000535;CH CHAUNY;020000287;M1030;;2;5.98;1;;;
PERINAT_P;2020;020000535;CH CHAUNY;020000287;M1140;1;2;1.34;1;1;;
PERINAT_P;2020;020000535;CH CHAUNY;020000287;M2050;;5;4.41;0;1;;
PERINAT_P;2020;020000535;CH CHAUNY;020000287;N2200;2;;2;;;;
PERINAT_P;2020;020000535;CH CHAUNY;020000287;N2340;1;1;1.5;;;;
PERINAT_P;2020;020000535;CH CHAUNY;020000287;N2530;9;;8.95;;;;
PERINAT_P;2020;020000535;CH CHAUNY;020000287;N2800;9;2;10.43;;;;
PERINAT_P;2020;020000535;CH CHAUNY;020000287;N280H;9;2;10.43;;;;
PERINAT_P;2020;020000535;CH CHAUNY;020000287;NAUT;8;5;11.33;;;;
PERINAT_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;M1030;;2;0.75;;;;
PERINAT_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;M1140;2;2;3.3;0;1;;
PERINAT_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;M2050;2;2;3.5;0;1;;
PERINAT_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N2200;1;2;2.44;;;;
PERINAT_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N2340;6;;6;;;;
PERINAT_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N2530;16;2;17.26;;;;
PERINAT_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N2700;1;;0.25;;;;
PERINAT_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N2800;12;4;14.6;;;;
PERINAT_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;NAUT;8;1;7.34;;;;
PERINAT_P;2020;020001087;CH HIRSON;020004495;M2050;0;1;0.3;0;0;;
PERINAT_P;2020;020001087;CH HIRSON;020004495;N2800;1;0;1;;;;
PERINAT_P;2020;020001087;CH HIRSON;020004495;NAUT;1;0;1;;;;
PERINAT_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M1030;7;;7;0;1;;
PERINAT_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M1140;2;;2;0;1;;
PERINAT_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M2050;5;;5;0;1;;
PERINAT_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2200;;2;1;;;;
PERINAT_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2340;1;1;1.8;;;;
PERINAT_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2530;7;1;7.5;;;;
PERINAT_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2700;;1;0.25;;;;
PERINAT_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2800;9;2;10.6;;;;
PERINAT_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N280H;6;0;6;;;;
PERINAT_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;NAUT;3;;3;;;;
PERINAT_P;2020;030000061;CH DE MOULINS;030780092;M1030;0;0;0;1;0;0;0
PERINAT_P;2020;030000061;CH DE MOULINS;030780092;M1140;0;5;0.4;0;1;;
PERINAT_P;2020;030000061;CH DE MOULINS;030780092;M2050;0;6;0.63;1;0;;
PERINAT_P;2020;030000061;CH DE MOULINS;030780092;MIVG;0;1;0.05;;;;
PERINAT_P;2020;030000061;CH DE MOULINS;030780092;N2200;1;2;2.33;;;;
PERINAT_P;2020;030000061;CH DE MOULINS;030780092;N2340;5;1;5.6;;;;
PERINAT_P;2020;030000061;CH DE MOULINS;030780092;N2530;11;3;11.19;;;;
PERINAT_P;2020;030000061;CH DE MOULINS;030780092;N2800;18;15;26.87;;;;
PERINAT_P;2020;030000061;CH DE MOULINS;030780092;N280H;14;14;13;;;;
PERINAT_P;2020;030000061;CH DE MOULINS;030780092;NAUT;24;11;31.9;;;;
PERINAT_P;2020;030000079;CH DE MONTLUCON;030780100;M1140;5;3;5.16;0;1;;
PERINAT_P;2020;030000079;CH DE MONTLUCON;030780100;M2050;4;2;5.7;0;1;;
PERINAT_P;2020;030000079;CH DE MONTLUCON;030780100;N2340;7;;6.3;;;;
PERINAT_P;2020;030000079;CH DE MONTLUCON;030780100;N2700;1;;1;;;;
PERINAT_P;2020;030000079;CH DE MONTLUCON;030780100;N2800;17;9;21.75;;;;
PERINAT_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;M1030;5;3;7.18;1;0;0;
PERINAT_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;M1140;5;2;5.79;0;1;;
PERINAT_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;M2050;7;1;7.24;0;1;;
PERINAT_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;MIVG;4;1;0.21;;;;
PERINAT_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2530;12;1;12.8;;;;
PERINAT_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2700;1;0;1;;;;
PERINAT_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2800;15;11;22.87;;;;
PERINAT_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;7;0;9.73;;;;
PERINAT_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M1030;;1;0.02;0;1;;
PERINAT_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;MIVG;;1;0.02;;;;
PERINAT_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2200;;1;0.02;;;;
PERINAT_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M1140;2;2;0.92;0;1;;
PERINAT_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M2050;6;1;2.27;;1;;
PERINAT_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;MIVG;4;1;0.7;;;;
PERINAT_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2200;1;0;1.47;;;;
PERINAT_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2340;2;4;4.13;;;;
PERINAT_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2700;0;1;0.14;;;;
PERINAT_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2800;13;8;17.24;;;;
PERINAT_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N280H;13;8;17.24;;;;
PERINAT_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NAUT;7;5;10.7;;;;
PERINAT_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M2050;;3;2.3;0;1;;
PERINAT_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2700;;1;0.3;;;;
PERINAT_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2800;;10;4.44;;;;
PERINAT_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NAUT;4;11;7.59;;;;
PERINAT_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M2050;1;4;1.25;;;;
PERINAT_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2530;5;3;6.39;;;;
PERINAT_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2700;0;1;0.4;;;;
PERINAT_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2800;2;10;9.77;;;;
PERINAT_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N280H;2;10;9.77;;;;
PERINAT_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NAUT;3;2;3.53;;;;
PERINAT_P;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2800;1;0;1;;;;
PERINAT_P;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;NAUT;0;1;0.05;;;;
PERINAT_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1140;0;4;1.86;;;;
PERINAT_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M2050;1;7;4.19;;;;
PERINAT_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;MIVG;0;1;0.3;;;;
PERINAT_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2200;0;4;2.74;;;;
PERINAT_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2340;0;10;5.73;;;;
PERINAT_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2530;9;16;20.81;;;;
PERINAT_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2800;10;15;18.82;;;;
PERINAT_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N280H;10;15;18.82;;;;
PERINAT_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;5;11;12.51;;;;
PERINAT_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1140;6;0;1.92;;;;
PERINAT_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M2050;6;1;0.5;;;;
PERINAT_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2530;19;6;22.81;;;;
PERINAT_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2700;0;1;0.81;;;;
PERINAT_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2800;16;15;27.14;;;;
PERINAT_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N280H;16;15;27.14;;;;
PERINAT_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;2;1;4.53;;;;
PERINAT_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1030;5;2;5.85;1;0;0;0
PERINAT_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1140;1;8;3.4;0;1;;
PERINAT_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M2050;5;1;3.3;0;1;;
PERINAT_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;MIVG;1;;1;;;;
PERINAT_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2700;;;0.3;;;;
PERINAT_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2800;17;5;20.02;;;;
PERINAT_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;M1030;0;10;1.21;1;0;0;0
PERINAT_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;M1140;;4;0.74;1;0;;
PERINAT_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;M2050;4;9;8.47;1;0;;
PERINAT_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;MIVG;;1;0.1;;;;
PERINAT_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2200;1;;1.7;;;;
