BOR;AN;FI;RS;FI_EJ;PHARMA_A1;PHARMA_A2;PHARMA_A3;PHARMA_A4;PHARMA_A5;PHARMA_A6;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A36;PHARMA_A8;PHARMA_B8;PHARMA_C8;PHARMA_D8;PHARMA_E8;PHARMA_A9;PHARMA_B9;PHARMA_C9;PHARMA_D9;PHARMA_E9;PHARMA_A10;PHARMA_A11;PHARMA_A12;PHARMA_A13;PHARMA_A14;PHARMA_A16;PHARMA_A17;PHARMA_A18;PHARMA_A19;PHARMA_A20;PHARMA_A21;PHARMA_A22;PHARMA_A23;PHARMA_A24;PHARMA_A25;PHARMA_A26;PHARMA_A27;PHARMA_A28;PHARMA_A29;PHARMA_A30;PHARMA_A31;PHARMA_A32;PHARMA_A33;PHARMA_A34;PHARMA_A35;PHARMA_B29;PHARMA_B30;PHARMA_B31;PHARMA_B32;PHARMA_B33;PHARMA_B34;PHARMA_B35;PHARMA_C29;PHARMA_C30;PHARMA_C31;PHARMA_C32;PHARMA_C33;PHARMA_C34;PHARMA_C35;PHARMA_D29;PHARMA_E29
PHARMA;2020;010000024;CH DE FLEYRIAT;010780054;0;;;;1;;439;;80;120;169;0;;;;;;;;;;;15171091;1;776;661;337;1;0;0;1;1;1;1;40;0;1;1;1;0;7;2;3;;13;11;3;2;;;;17;6;1;8.55;0.6;1.5;;22.97;14.85;3.21;0;1
PHARMA;2020;010000032;CH DE BELLEY;010780062;0;;;;1;0;133;;40;;185;0;;;;;;;;;;;1166905;1;318;185;185;1;0;0;1;1;1;0;;;0;0;0;2;2;;;1;;5;;;;;;;3;;2.42;0.7;;0.1;0.5;6.8;;0;1
PHARMA;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;0;;;;0;0;59;0;69;30;296;0;;;;;;;;;;;440000;1;424;424;296;0;0;0;0;1;0;0;;;0;0;0;0;2;;;;2;;;;;;;5;;;2;;;;6;;;0;0
PHARMA;2020;010000081;CH DU PAYS DE GEX;010780112;0;;;;1;0;;;20;30;;0;;;;;;;;;;;205221;1;50;50;50;0;0;0;0;0;1;0;;;0;0;0;0;1;;;;1;;;;;;;2;;;1;;;;2.7;;;0;0
PHARMA;2020;010000099;CH DE MEXIMIEUX;010780120;0;;;;;;9;;20;;153;0;;;;;;;;;;;75984;1;153;153;153;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;3;;;;5;;;0.73;;;;0.79;;;0;0
PHARMA;2020;010000107;CH DE PONT DE VAUX;010780138;1;4;0;;;;15;;20;;172;0;;;;;;;;;;;88395;1;207;207;207;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;;;;;;;;2;;;0.48;;;;0.43;;;0;0
PHARMA;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;1;3;0;;0;0;12;;18;30;109;0;;;;;;;;;;;120000;1;169;169;169;0;0;0;0;1;0;0;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0.46;0;0;0;1.2;0;0;0;0
PHARMA;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;0;;;;0;0;8;0;29;0;227;0;;;;;;;;;;;172000;1;264;264;227;0;0;0;0;1;1;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.44;;;;0.5;;;0;0
PHARMA;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;;;;1;0;23;0;232;0;69;0;;;;;;;;;;;371132;1;324;324;324;0;0;0;0;1;1;0;;;0;0;0;0;2;0;0;0;3;1;1;;;;;1;;;2;;;;3.8;1;1;0;0
PHARMA;2020;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;0;;;;;;;312;;;;0;;;;;;;;;;;569417;1;312;312;30;0;0;0;0;1;1;0;;;0;0;0;0;2;;;;3;1;;1;;;;1;;2;2.6;;;;3.63;1;0.81;0;1
PHARMA;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;0;;;;;;;;100;;;0;;;;;;;;;;;117523;1;100;100;100;0;0;0;0;1;0;0;;;0;0;0;0;;0;0;0;1;;;2;;;;;;;1.16;;;;1.07;;;0;0
PHARMA;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;;;;;;140;0;30;35;255;0;;;;;;;;;;;732474;1;460;439;320;1;0;0;1;1;1;0;;;1;1;0;2;2;1;0;0;11;3;0;0;0;0;0;2;2;2;1.75;0.5;0;0;8.84;3.39;0.93;0;0
PHARMA;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;0;;;;;;60;;;;;0;;;;;;;;;;;165878;1;40;40;40;0;0;0;0;1;0;1;40;0;0;0;0;2;;;;;1;;;1;;;;;1;;0.6;;;;1;0.23;;0;0
PHARMA;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;0;;;;1;0;;;;;;0;;;;;;;;;;;35247;1;10;10;10;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;4;;;0.06;;;;0.13;;;0;0
PHARMA;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;0;;;;;;;;85;;;0;;;;;;;;;;;16506;1;85;85;85;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;;;;;;;;1;;;0.16;;;;0.08;;;0;0
PHARMA;2020;010780195;CLINIQUE CONVERT;010000156;0;;;;1;0;137;;;;;0;;;;;;;;;;;3499922;1;137;50;90;1;0;1;1;1;0;0;;;1;1;0;0;2;1;1;0;5;8;0;0;0;0;0;1;0;0;1.79;0.33;0.5;0;5.96;5.66;0;0;0
PHARMA;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;0;;;;;;117;;;;;0;;;;;;;;;;;559914;1;117;46;46;0;0;0;1;1;0;1;60;0;1;0;0;0;2;1;;;2;1;;;;;;2;2;;1.16;0.4;;;2.99;1.41;;0;0
PHARMA;2020;010780252;CRF L'ORCET;010783009;0;;;;1;0;;;71;;;0;;;;;;;;;;;63841;1;71;71;71;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;4;;;0.48;;;;1.04;;;0;0
PHARMA;2020;010780278;CTRE DE RÉÉDUCATION MANGINI;010783009;0;;;;1;0;;;100;;;0;;;;;;;;;;;143190;1;100;100;100;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;4;;;0.66;;;;1.44;;;0;0
PHARMA;2020;010780294;NEPHROCARE CH BELLEY;690000278;0;;;;;;;;;;;0;;;;;;;;;;;46000;1;24;24;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;;;;0.92;;;;;0.18;;0;0
PHARMA;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;0;;;;1;;;;38;;;0;;;;;;;;;;;68227;1;38;38;38;0;0;0;0;0;0;0;;;0;0;0;0;;;;;;;;0;;;;0;;;0.42;;;;0.16;;;0;0
PHARMA;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;0;;;;1;;;;58;;;0;;;;;;;;;;;83312;1;58;58;58;0;0;0;0;0;0;0;;;0;0;0;0;;;;;;;;0;;;;0;;;0.42;;;;0.25;;;0;0
PHARMA;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;0;;;;;;;;115;;;0;;;;;;;;;;;23578;1;115;115;115;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.42;;;;0.5;;;0;0
