BOR;AN;FI;RS;FI_EJ;PN_A1;PN_A2;PN_A3;PN_A4;PN_A5;PN_A6;PN_A7;PN_A73;PN_A8;PN_A9;PN_A74;PN_A10;PN_A11;PN_A12;PN_A13;PN_A75;PN_A14;PN_A15;PN_A16;PN_A17;PN_A18;PN_A19;PN_A20;PN_A21;PN_A22;PN_A23;PN_A24;PN_A25;PN_B25;PN_A26;PN_A27;PN_A28;PN_A29;PN_A30;PN_A31;PN_A32;PN_A33;PN_A34;PN_B30;PN_B31;PN_B32;PN_B33;PN_B34;PN_C30;PN_C31;PN_C32;PN_C33;PN_C34;PN_A35;PN_A36;PN_A37;PN_A38;PN_A39;PN_A40;PN_A41;PN_A42;PN_A43;PN_A44;PN_A45;PN_A46;PN_A47;PN_A48;PN_A49;PN_A50;PN_A51;PN_A53;PN_A54;PN_A55;PN_A56;PN_A57;PN_A58;PN_A59;PN_A60;PN_A61;PN_A62;PN_A63;PN_A64;PN_A65;PN_A66
PN;2020;010000024;CH DE FLEYRIAT;010780054;5.44;2.1;2425;1;1.04;970;0;0;0;1;;690;5328;167;1493;;907;1262;2;0;;;0;;;1;1;1;01/01/2006;268;52;1;;;;;;;6;4;2;3;2;0.85;0.45;0.4;1.4;1.1;0;;;;0;;;;0;;;;1;42;2315;1;3.68;1;1.13;1526;112;1;1123;454;60;4.76;0;;;;
PN;2020;010000032;CH DE BELLEY;010780062;1;0.2;347;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2009;42;35;1;49;;;;;;1;;;;;0.17;;;;;0;;;;0;;;;0;;;;1;2;133;0;;0;;;;0;;;;;0;;;;
PN;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;0.75;;42;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;15/02/2005;150;48;0;90;;;;;;3;3;;3;2;0.29;0.29;;0.9;0.5;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000081;CH DU PAYS DE GEX;010780112;0.6;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000099;CH DE MEXIMIEUX;010780120;0.5;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000107;CH DE PONT DE VAUX;010780138;0.2;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;0.15;0.04;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;0.33;0.04;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;18;18;0;1;0;;;;
PN;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0.6;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;1;4;1;1;0;;;0;;0;;;;0;;;;;0;;;;
