BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL_PA;NB_CMP_SEUL_PL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_ASS;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_ASS;HPLETP_REE;HPLETP_EDU
PSY;2020;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;GEN;;4;;;298;;;;;;107764;77;;;2898;89971;;;;;;;5864;;;3;12;1;13;75883;4511;25114;5293;2774;5226;2;11429;9563;1727;84;20;14;27.13;10;9;13.88;0;0;602;147;672.83;411.85;97.92;32.75;;6.56;35.05;8;2;9.15;3;1;2.36;372;55;407.49;225.31;88.6;5.14;;0.08;10.65
PSY;2020;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;INF;;1;;;11;;;;;;4026;14;;;241;2890;;;;;;;2302;;;4;7;1;6;22874;1251;7779;22;32;332;563;3253;2932;122;0;5;4;8.43;0;0;1.01;0;0;83;68;122.19;61;5.26;22.53;;12.91;12.91;1;0;1.36;0;0;1.01;32;9;36.62;24.57;2.46;3.02;;0.24;2.3
PSY;2020;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;PEN;;;;;0;;;;;;0;0;;;;;;;;;;;;;;1;0;;1;4129;;633;;;;;899;868;;;1;0;0.62;0;0;0;;;4;5;6.18;2.1;;4.08;;;;0;;0;0;0;0;9;0;;0;;0;;0;
PSY;2020;010000495;;010783009;TOT;1;;6;1;309;;;;;;111790;91;;;3139;92861;;;;;;;8166;;;8;19;2;20;102886;5762;33526;5315;2806;5558;565;15280;13222;1838;84;26;18;36.18;10;9;14.89;;;689;220;801.2;474.95;103.18;59.36;;19.47;47.96;9;2;10.51;3;1;3.37;404;64;444.11;249.88;91.06;8.16;;0.32;12.95
PSY;2020;010010171;CLINIQUE DE CHATILLON;010011559;GEN;;;;;100;;;;20;;35000;20;4;;851;23860;;;;4316;;;4982;1;;;;;;;;;;;;;786;;786;;;4;;;;;0;1;;;;17.78;15.27;7.4;;3.27;1;;;;;;;;;;;;;;;
PSY;2020;010010171;;010011559;TOT;0;;;0;100;;;;20;;35000;20;4;;851;23860;;;;4316;;;4982;1;;;;;;;;;;;;;786;;786;;;4;;;;;;;;;;17.78;15.27;7.4;;3.27;1;;;;;;;;;;;;;;;
PSY;2020;020000386;CLINIQUE DE LA ROSERAIE;020000600;GEN;;;;;86;;;;;;31476;10;;;660;27586;;;;;;;2673;;;;;;;;;;;;;;465;;407;71;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2020;020000386;;020000600;TOT;0;;;0;86;;;;;;31476;10;;;660;27586;;;;;;;2673;;;;;;;;;;;;;;465;;407;71;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2020;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;GEN;;5;;;289;82;0;0;0;0;105120;42;4;0;2195;88966;27816;0;0;0;0;0;3399;0;;1;6;25;2;48531;3858;7664;59773;2024;1805;7;6544;4928;439;157;16;3;16.6;10;2;4.1;;;521;49;569.6;386.27;63.35;22.85;;2.86;17.54;10;2;11;5;0;5;432;47;419.37;277.61;59.78;5.54;;2.08;9.65
PSY;2020;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;INF;;3;;;24;5;;;0;0;7380;118;0;0;249;3234;411;;;0;0;0;5157;0;;1;8;18;0;34205;2611;0;92;50;366;205;3735;3470;17;0;8;0;8;4;;;;;153;27;177.05;87.13;5.01;25.2;;10.89;29.61;3;;3;1;0;1;46;6;46.26;30.89;4.01;1;;0;3.62
