BOR;AN;FI;RS;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2020;010000024;CH DE FLEYRIAT;010780054;REAADU;12;4392;740;764;70;4323;23;31;101;5;2;3.92;1;2;2.13;23;15;28.68;17;3;18.8;;;;2;;1
REA;2020;010000024;CH DE FLEYRIAT;010780054;SITOT;6;2196;514;;;1509;;;;;;;;;;;;;;;;;;;;;
REA;2020;010000024;CH DE FLEYRIAT;010780054;SIUNV;6;2196;514;;;1509;;;;;6;1.38;;;;;;;;;;;;;;;
REA;2020;010000024;CH DE FLEYRIAT;010780054;SURVADU;6;2196;441;;;1181;;;;5;2;2.6;;;;7;6;10.49;7;2;8.52;;;;;;
REA;2020;010000024;CH DE FLEYRIAT;010780054;SURVENF;4;1464;270;;;1009;;;;;7;0.49;;;;;;;;;;;;;;;
REA;2020;010000032;CH DE BELLEY;010780062;SURVADU;4;1464;876;;;1666;;;;1;1;1.63;;;0.38;21;1;4.62;7;1;3.93;;;;;2;0.89
REA;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SURVADU;3;1095;579;;;1199;;;;0;0;0;0;0;0.3;1;1;1.5;4;2;6.67;0;0;0;0;1;0.15
REA;2020;010780195;CLINIQUE CONVERT;010000156;REAADU;10;3650;583;625;27;3648;12;34;164;9;3;11;1;1;1.23;22;3;20.86;9;0;7.68;0;0;0;1;1;1.93
REA;2020;010780195;CLINIQUE CONVERT;010000156;SITOT;6;2190;1017;;;1644;;;;;;;;;;;;;;;;;;;;;
REA;2020;010780195;CLINIQUE CONVERT;010000156;SURVADU;5;1825;0;;;0;;;;0;0;0;;;;;;;;;;;;;;;
REA;2020;010780195;CLINIQUE CONVERT;010000156;USIC;6;2190;1017;;;1644;;;;9;1;9.5;1;;0.9;8;;7.93;;1;0.54;;;;1;;1
REA;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;SURVADU;6;2196;384;;;1517;;;;5;;5;;;;4;;4;4;;4;;;;;;
