BOR;AN;FI;RS;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP;EMSSR
SSR;2020;010000032;CH DE BELLEY;010780062;SSR_A;;40;14640;8;428;10305;7;811;
SSR;2020;010000032;CH DE BELLEY;010780062;SSR_A50;1;40;;8;;10305;;811;
SSR;2020;010000032;CH DE BELLEY;010780062;SSR_TOT;;40;14640;8;428;10305;7;811;0
SSR;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A;;69;25185;;775;24408;50;0;
SSR;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A50;1;34;;;;13281;;0;
SSR;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A59;1;35;;;;11127;;0;
SSR;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_TOT;;69;25185;;775;24408;50;0;0
SSR;2020;010000081;CH DU PAYS DE GEX;010780112;SSR_A;;20;7320;;174;6171;10;0;
SSR;2020;010000081;CH DU PAYS DE GEX;010780112;SSR_A50;1;20;;;;6171;;0;
SSR;2020;010000081;CH DU PAYS DE GEX;010780112;SSR_TOT;;20;7320;;174;6171;10;0;0
SSR;2020;010000099;CH DE MEXIMIEUX;010780120;SSR_A;;20;7320;;289;7058;4;0;
SSR;2020;010000099;CH DE MEXIMIEUX;010780120;SSR_A50;1;20;;;;7058;;0;
SSR;2020;010000099;CH DE MEXIMIEUX;010780120;SSR_TOT;;20;7320;;289;7058;4;0;0
SSR;2020;010000107;CH DE PONT DE VAUX;010780138;SSR_A;;20;7320;;283;7226;7;0;
SSR;2020;010000107;CH DE PONT DE VAUX;010780138;SSR_A50;1;20;;;;7226;;0;
SSR;2020;010000107;CH DE PONT DE VAUX;010780138;SSR_TOT;;20;7320;;283;7226;7;0;0
SSR;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_A;;18;6588;;187;5430;3;0;
SSR;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_A50;1;18;;;;5430;;0;
SSR;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_TOT;;18;6588;;187;5430;3;0;
SSR;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_A;;29;10614;;356;8182;0;0;
SSR;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_A50;1;29;;;;8182;;0;
SSR;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_TOT;;29;10614;;356;8182;0;0;
SSR;2020;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_A;;36;13176;;394;7368;0;0;
SSR;2020;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_A50;1;;;;;0;;0;
SSR;2020;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_A58;1;36;;;;7368;;0;
SSR;2020;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_TOT;;36;13176;;394;7368;0;0;
SSR;2020;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A;;85;31110;;767;16283;5;0;
SSR;2020;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A50;1;;;;;0;;0;
SSR;2020;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A51;1;85;;;;16283;;0;
SSR;2020;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_E;;4;1464;;19;235;0;0;
SSR;2020;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_E50;1;;;;;0;;0;
SSR;2020;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_E51;1;4;;;;235;;0;
SSR;2020;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_TOT;;89;32574;;786;16518;5;0;
SSR;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A;;109;39894;;938;32193;52;0;
SSR;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A50;1;4;;;;2406;;0;
SSR;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A51;1;18;;;;5098;;0;
SSR;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A54;1;30;;;;9288;;0;
SSR;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A59;1;57;;;;15401;;0;
SSR;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_E50;1;;;;;0;;0;
SSR;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_E51;1;;;;;0;;0;
SSR;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_TOT;;109;39894;;938;32193;52;0;
SSR;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SSR_A;;100;36600;;697;30434;96;0;
SSR;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SSR_A50;1;47;;;;10171;;0;
SSR;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SSR_A51;1;20;;;;11490;;0;
SSR;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SSR_A52;1;33;;;;8773;;0;
SSR;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SSR_TOT;;100;36600;;697;30434;96;0;0
SSR;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SSR_A;;30;10950;;238;6327;2;0;
SSR;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SSR_A50;1;30;;;;6327;;0;
SSR;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SSR_TOT;;30;10950;;238;6327;2;0;0
SSR;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_A;;;;10;0;0;0;1331;
SSR;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_A50;1;;;;;0;;0;
SSR;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_A52;1;;;10;;0;;1331;
SSR;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_TOT;;;;10;0;0;0;1331;1
SSR;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_A;;70;25620;13;603;17890;20;1968;
SSR;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_A50;1;10;;;;6991;;0;
SSR;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_A53;1;;;5;;0;;1150;
SSR;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_A54;1;;;5;;0;;227;
SSR;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_A59;1;60;;3;;10899;;591;
SSR;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_TOT;;70;25620;13;603;17890;20;1968;
SSR;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_A;;85;4004;;125;4102;0;0;
SSR;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_A50;1;10;;;;137;;0;
SSR;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_A54;1;75;;;;3965;;0;
SSR;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_TOT;;85;4004;;125;4102;0;0;0
SSR;2020;010780252;CRF L'ORCET;010783009;SSR_A;;71;25915;;443;17254;31;0;
SSR;2020;010780252;CRF L'ORCET;010783009;SSR_A50;1;;;;;0;;0;
SSR;2020;010780252;CRF L'ORCET;010783009;SSR_A51;1;66;;;;14471;;0;
SSR;2020;010780252;CRF L'ORCET;010783009;SSR_A52;1;5;;;;2783;;0;
SSR;2020;010780252;CRF L'ORCET;010783009;SSR_TOT;;71;25915;;443;17254;31;0;
SSR;2020;010780278;CTRE DE RÉÉDUCATION MANGINI;010783009;SSR_A;;100;36500;;457;30114;124;0;
SSR;2020;010780278;CTRE DE RÉÉDUCATION MANGINI;010783009;SSR_A50;1;;;;;0;;0;
SSR;2020;010780278;CTRE DE RÉÉDUCATION MANGINI;010783009;SSR_A51;1;25;;;;11791;;0;
SSR;2020;010780278;CTRE DE RÉÉDUCATION MANGINI;010783009;SSR_A52;1;75;;;;18323;;0;
SSR;2020;010780278;CTRE DE RÉÉDUCATION MANGINI;010783009;SSR_TOT;;100;36500;;457;30114;124;0;
SSR;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;SSR_A;;0;8628;;221;8553;18;0;
SSR;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;SSR_A50;1;0;;;;675;;0;
SSR;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;SSR_A54;1;0;;;;7878;;0;
SSR;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;SSR_TOT;;0;8628;;221;8553;18;0;0
SSR;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;SSR_A;;;14437;;317;14340;46;0;
SSR;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;SSR_A50;1;;;;;1687;;0;
