BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2020;010000032;CH DE BELLEY;010780062;M1010;3;1;2.53
SSR_P;2020;010000032;CH DE BELLEY;010780062;M1190;1;;0.7
SSR_P;2020;010000032;CH DE BELLEY;010780062;N241P;2;2;4
SSR_P;2020;010000032;CH DE BELLEY;010780062;N2430;;1;0.61
SSR_P;2020;010000032;CH DE BELLEY;010780062;N2450;;;0.33
SSR_P;2020;010000032;CH DE BELLEY;010780062;N2460;16;4;9.06
SSR_P;2020;010000032;CH DE BELLEY;010780062;N2500;;2;1.24
SSR_P;2020;010000032;CH DE BELLEY;010780062;N2710;;1;0.3
SSR_P;2020;010000032;CH DE BELLEY;010780062;N310H;;1;0.8
SSR_P;2020;010000032;CH DE BELLEY;010780062;NAUT;10;1;8.54
SSR_P;2020;010000032;CH DE BELLEY;010780062;NCINF;5;8;9.66
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1010;;2;1.35
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1040;;1;0.1
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1070;;1;0.05
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1320;1;2;2.78
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N241P;;3;1.8
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2430;;1;0.1
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2450;;1;0.5
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2460;1;1;1.6
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2470;;1;0.6
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2500;11;36;30.69
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2710;;4;1.9
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N310H;;1;0.13
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N3120;;4;1.8
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NAUT;6;5;6.66
SSR_P;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NCINF;5;33;20.75
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;M1010;;2;1.03
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;MAUT;1;1;0.07
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;N241P;;;0.67
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;N2450;;;0.27
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;N2460;;;0.13
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;N2470;;;0.12
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;N2500;;;8.98
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;N2710;;;0.12
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;N310H;;;1
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;N3120;;;0.4
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;NAUT;;;12.23
SSR_P;2020;010000081;CH DU PAYS DE GEX;010780112;NCINF;;;4.07
SSR_P;2020;010000099;CH DE MEXIMIEUX;010780120;M1180;;1;0.11
SSR_P;2020;010000099;CH DE MEXIMIEUX;010780120;MAUT;;3;0.4
SSR_P;2020;010000099;CH DE MEXIMIEUX;010780120;N241P;1;1;0.87
SSR_P;2020;010000099;CH DE MEXIMIEUX;010780120;N2500;24;10;8.66
SSR_P;2020;010000099;CH DE MEXIMIEUX;010780120;N2710;1;2;0.23
SSR_P;2020;010000099;CH DE MEXIMIEUX;010780120;N3120;;1;0.17
SSR_P;2020;010000099;CH DE MEXIMIEUX;010780120;NAUT;38;4;7.79
SSR_P;2020;010000099;CH DE MEXIMIEUX;010780120;NCINF;9;6;5.51
SSR_P;2020;010000107;CH DE PONT DE VAUX;010780138;M1320;1;1;1.24
SSR_P;2020;010000107;CH DE PONT DE VAUX;010780138;MAUT;1;;0.23
SSR_P;2020;010000107;CH DE PONT DE VAUX;010780138;N241P;1;;0.3
SSR_P;2020;010000107;CH DE PONT DE VAUX;010780138;N2450;;1;0.36
SSR_P;2020;010000107;CH DE PONT DE VAUX;010780138;N2500;12;1;6.54
SSR_P;2020;010000107;CH DE PONT DE VAUX;010780138;N3120;;1;0.29
SSR_P;2020;010000107;CH DE PONT DE VAUX;010780138;NCINF;8;3;5.07
SSR_P;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M1320;1;;1
SSR_P;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;MAUT;;1;0.02
SSR_P;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N241P;;1;0.5
SSR_P;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2460;;1;0.57
SSR_P;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2470;;1;0.2
SSR_P;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2500;;6;2.75
SSR_P;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2710;;2;0.45
SSR_P;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N3120;;1;0.25
SSR_P;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;NAUT;1;5;2.11
SSR_P;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;NCINF;3;2;3.52
SSR_P;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;M1180;1;;1
SSR_P;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;MAUT;;1;0.02
SSR_P;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N241P;;2;0.97
SSR_P;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N2460;;1;0.2
SSR_P;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N2500;7;5;8.83
SSR_P;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N2710;;1;0.29
SSR_P;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N310H;;1;0.25
SSR_P;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;NAUT;2;7;3.63
SSR_P;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;NCINF;7;7;10.56
