BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2020;010000024;CH DE FLEYRIAT;010780054;M9999;;27;10.6;1;1
URGENCES_P;2020;010000024;CH DE FLEYRIAT;010780054;N1220;3;;4;;
URGENCES_P;2020;010000024;CH DE FLEYRIAT;010780054;N2120;1;0;1;;
URGENCES_P;2020;010000024;CH DE FLEYRIAT;010780054;N2500;16;5;20.46;;
URGENCES_P;2020;010000024;CH DE FLEYRIAT;010780054;N9999;44;22;56.59;;
URGENCES_P;2020;010000024;CH DE FLEYRIAT;010780054;NINF;19;17;27.11;;
URGENCES_P;2020;010000032;CH DE BELLEY;010780062;M9999;7;1;3.51;;1
URGENCES_P;2020;010000032;CH DE BELLEY;010780062;N1220;;;;;1
URGENCES_P;2020;010000032;CH DE BELLEY;010780062;N2120;2;;0.68;;1
URGENCES_P;2020;010000032;CH DE BELLEY;010780062;N2500;8;;7.96;;
URGENCES_P;2020;010000032;CH DE BELLEY;010780062;N3120;;;0.05;;
URGENCES_P;2020;010000032;CH DE BELLEY;010780062;N9999;31;1;17.16;;
URGENCES_P;2020;010000032;CH DE BELLEY;010780062;NINF;21;1;8.47;;1
URGENCES_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M9999;6;6;10.3;2;1
URGENCES_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N1220;2;0;1.49;2;1
URGENCES_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2120;0;0;0.37;2;1
URGENCES_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2500;11;2;12.95;;
URGENCES_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N9999;33;6;38.54;;
URGENCES_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NINF;20;4;23.73;2;1
URGENCES_P;2020;010780195;CLINIQUE CONVERT;010000156;M9999;6;1;6;;0
URGENCES_P;2020;010780195;CLINIQUE CONVERT;010000156;N1220;3;0;3.67;;
URGENCES_P;2020;010780195;CLINIQUE CONVERT;010000156;N2120;;1;0.83;;
URGENCES_P;2020;010780195;CLINIQUE CONVERT;010000156;N2500;4;2;1.76;;
URGENCES_P;2020;010780195;CLINIQUE CONVERT;010000156;N9999;18;7;16.93;;
URGENCES_P;2020;010780195;CLINIQUE CONVERT;010000156;NINF;11;4;10.67;;
URGENCES_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M9999;9;;9;3;1
URGENCES_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N1220;3;1;3.5;;1
URGENCES_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2120;;1;0.5;;1
URGENCES_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2500;2;2;4.38;;
URGENCES_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N9999;19;4;23.54;;
URGENCES_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;NINF;14;;15.16;;1
URGENCES_P;2020;020000162;CH SAINT-QUENTIN;020000063;M1140;0;6;1;;0
