BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;COMEHPAD
USLD_P;2020;010000081;010780112;MEDCH;1;4;0.75;
USLD_P;2020;010000081;010780112;N2210;;;4.52;
USLD_P;2020;010000081;010780112;N2410;;;0.03;
USLD_P;2020;010000081;010780112;N2460;;;0.01;
USLD_P;2020;010000081;010780112;N2510;;;6.07;
USLD_P;2020;010000081;010780112;N3120;;;0.04;
USLD_P;2020;010000081;010780112;NAUT;;;20.36;
USLD_P;2020;010000115;010009132;M1320;;;;1
USLD_P;2020;010000115;010009132;MEDCH;;1;0.83;1
USLD_P;2020;010000115;010009132;N2210;4;4;7.05;1
USLD_P;2020;010000115;010009132;N2410;1;;1;1
USLD_P;2020;010000115;010009132;N2460;;1;0.14;1
USLD_P;2020;010000115;010009132;N2510;11;7;14.15;1
USLD_P;2020;010000115;010009132;N3120;;1;0.11;1
USLD_P;2020;010000115;010009132;NAUT;6;8;7.45;1
USLD_P;2020;010009314;010780054;M1320;;4;1.17;0
USLD_P;2020;010009314;010780054;MEDCH;;5;1.32;0
USLD_P;2020;010009314;010780054;N2210;14;2;14.3;
USLD_P;2020;010009314;010780054;N2510;20;7;22.13;
USLD_P;2020;010009314;010780054;NAUT;11;2;13.29;
USLD_P;2020;010009702;010780054;M1320;;1;0.35;
USLD_P;2020;010009702;010780054;MEDCH;;1;0.35;
USLD_P;2020;010009702;010780054;N2210;3;3;4.88;
USLD_P;2020;010009702;010780054;N2460;;1;0.3;
USLD_P;2020;010009702;010780054;N2510;7;4;9.41;
USLD_P;2020;010009702;010780054;NAUT;1;4;4.21;
USLD_P;2020;010786259;010008407;N2210;4;1;4.51;
USLD_P;2020;010786259;010008407;N2510;3;2;4.5;
USLD_P;2020;010786259;010008407;NAUT;1;0;1.35;
USLD_P;2020;010789576;010780096;M1320;;1;0.5;1
USLD_P;2020;010789576;010780096;MEDCH;;2;0.7;1
USLD_P;2020;010789576;010780096;N2210;4;3;7;0
USLD_P;2020;010789576;010780096;N2410;;;0.3;0
USLD_P;2020;010789576;010780096;N2460;;;0.3;1
USLD_P;2020;010789576;010780096;N2510;5;6;9.79;0
USLD_P;2020;010789576;010780096;N3120;;;0.1;1
USLD_P;2020;010789576;010780096;NAUT;4;14;10.44;1
USLD_P;2020;010789717;010008407;MEDCH;0;2;1;
USLD_P;2020;010789717;010008407;N2210;2;1;3.51;
USLD_P;2020;010789717;010008407;N2510;5;1;6.59;
USLD_P;2020;010789717;010008407;NAUT;4;1;5.75;
USLD_P;2020;020000089;020000022;M1320;0;1;0.5;0
USLD_P;2020;020000089;020000022;MEDCH;0;1;0.5;0
USLD_P;2020;020000089;020000022;N2210;7;0;6.49;0
USLD_P;2020;020000089;020000022;N2510;15;0;13.25;0
USLD_P;2020;020000089;020000022;N3120;0;2;0.21;0
USLD_P;2020;020000089;020000022;NAUT;12;0;9.36;0
USLD_P;2020;020000162;020000063;MEDCH;0;2;0.5;1
