BOR;AN;FI;RS;FI_EJ;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALHYB;SAL24HYB;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_A10;BLOCS_B10;BLOCS_C10;BLOCS_D10;BLOCS_E10;BLOCS_A11;BLOCS_B11;BLOCS_C11;BLOCS_D11;BLOCS_E11;BLOCS_A12;BLOCS_B12;BLOCS_C12;BLOCS_D12;BLOCS_E12;BLOCS_A13;BLOCS_B13;BLOCS_C13;BLOCS_D13;BLOCS_E13;BLOCS_A14;BLOCS_B14;BLOCS_C14;BLOCS_D14;BLOCS_E14;BLOCS_A15;BLOCS_B15;BLOCS_C15;BLOCS_D15;BLOCS_E15
BLOCS;2022;010000024;CH DE FLEYRIAT;010780054;2;9;;2;2;;;1;;1;;;;13;2;;2;;;19;;;3793;3648;7441;6178;;477;260;737;646;;101;48;149;21;;239;64;303;242;;2137;2536;4673;3109;;4;41;45;0;
BLOCS;2022;010000032;CH BUGEY SUD;010780062;1;2;2;1;1;0;0;0;0;1;0;0;0;4;3;;1;1;;6;6;;952;1005;1957;1644;1439;252;50;302;132;0;0;0;0;0;0;3;0;3;3;0;467;876;1343;839;3436;0;6;6;4;3
BLOCS;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;3;;1;1;0;;0;;2;;1;;7;1;;1;;;8;;;1268;1452;2720;2075;;437;34;471;148;;10;1;11;0;;4;16;20;6;;335;1002;1337;797;;0;2;2;0;
BLOCS;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;1;;;;;;;;;1;;;;1;;1;;;1;;;5;0;1552;1552;1149;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;1037;1037;692;;0;0;0;0;
BLOCS;2022;010780195;CLINIQUE CONVERT;010000156;1;8;0;0;0;1;1;1;0;1;0;0;0;11;1;0;1;0;0;18;0;0;3748;5872;9620;8506;;2;0;2;2;;1186;524;1710;6;;122;174;296;194;;1099;4514;5613;3329;;7;98;105;68;
BLOCS;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;4;1;1;1;0;0;0;0;1;1;;;6;3;;1;1;;8;8;;2598;4595;7193;6285;;241;34;275;224;;0;0;0;0;;29;142;171;59;;749;2823;3572;1938;;2;29;31;12;
BLOCS;2022;020000162;CH SAINT-QUENTIN;020000063;2;12;0;1;1;1;1;0;;4;1;0;;18;3;0;1;1;0;25;25;0;5440;7030;12470;10840;;1090;125;1215;466;;1588;11;1599;1289;;192;475;667;334;;3751;3553;7304;3650;;7;40;47;26;
BLOCS;2022;020000360;CLINIQUE COURLANCY SOISSONS;020014742;1;3;;;;;;;;1;;1;;5;;;1;;;6;;;1145;4173;5318;4702;;0;0;0;0;;0;0;0;0;;0;0;0;0;;244;1566;1810;1303;;0;35;35;34;
BLOCS;2022;020000394;CH LAON;020000253;1;4;1;1;0;0;0;0;0;2;0;0;0;7;1;;1;1;;9;9;;1897;2035;3932;2587;;413;67;480;290;;40;0;40;1;;0;5;5;1;;1610;864;2474;1596;;7;83;90;0;
BLOCS;2022;020000519;CH SOISSONS;020000261;3;5;1;1;1;1;1;;;1;1;;;8;4;;1;;;8;;;2340;1567;3907;2883;3645;641;32;673;215;5;622;19;641;0;0;46;3;49;0;0;1277;1249;2526;1193;1310;0;26;26;1;968
