BOR;AN;FI;RS;FI_EJ;PERSO;EFFLIB;ETPSAL;GAR;AST
BLOCS_P;2022;010000024;CH DE FLEYRIAT;010780054;M100H;;1.89;0;0
BLOCS_P;2022;010000024;CH DE FLEYRIAT;010780054;M1030;;11.68;1;0
BLOCS_P;2022;010000024;CH DE FLEYRIAT;010780054;M200H;;9.38;0;1
BLOCS_P;2022;010000024;CH DE FLEYRIAT;010780054;N2200;;11.68;;
BLOCS_P;2022;010000024;CH DE FLEYRIAT;010780054;N2310;;25.9;;
BLOCS_P;2022;010000024;CH DE FLEYRIAT;010780054;N2320;;20.51;;
BLOCS_P;2022;010000024;CH DE FLEYRIAT;010780054;N2510;;16.23;;
BLOCS_P;2022;010000024;CH DE FLEYRIAT;010780054;N4160;;1.5;;
BLOCS_P;2022;010000024;CH DE FLEYRIAT;010780054;NAUT;;4.88;;
BLOCS_P;2022;010000032;CH BUGEY SUD;010780062;M200H;;2.56;;1
BLOCS_P;2022;010000032;CH BUGEY SUD;010780062;N2310;;4.3;;1
BLOCS_P;2022;010000032;CH BUGEY SUD;010780062;N2320;;7.51;;1
BLOCS_P;2022;010000032;CH BUGEY SUD;010780062;N2510;;3;;
BLOCS_P;2022;010000032;CH BUGEY SUD;010780062;NAUT;;4.32;;
BLOCS_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1030;0;4.8;;
BLOCS_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M200H;0;2.99;;
BLOCS_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2200;0;8.2;;
BLOCS_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2310;0;5.5;;
BLOCS_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2320;0;3.45;;
BLOCS_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;0;2.95;;
BLOCS_P;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M100H;2;;0;0
BLOCS_P;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M1030;4;;0;0
BLOCS_P;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M200H;6;;0;0
BLOCS_P;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2200;;2.93;0;0
BLOCS_P;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2310;;0.7;0;0
BLOCS_P;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2510;;1.54;0;0
BLOCS_P;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;NAUT;;2.68;0;0
BLOCS_P;2022;010780195;CLINIQUE CONVERT;010000156;M100H;11;2.8;0;0
BLOCS_P;2022;010780195;CLINIQUE CONVERT;010000156;M1030;0;12;0;0
BLOCS_P;2022;010780195;CLINIQUE CONVERT;010000156;M200H;35;0;0;0
BLOCS_P;2022;010780195;CLINIQUE CONVERT;010000156;N2200;;114.56;0;1
BLOCS_P;2022;010780195;CLINIQUE CONVERT;010000156;N2310;3;3;0;1
BLOCS_P;2022;010780195;CLINIQUE CONVERT;010000156;N2320;;25;0;1
BLOCS_P;2022;010780195;CLINIQUE CONVERT;010000156;N2510;;53.66;0;1
BLOCS_P;2022;010780195;CLINIQUE CONVERT;010000156;N4130;;1;0;0
BLOCS_P;2022;010780195;CLINIQUE CONVERT;010000156;N4160;;12;0;1
BLOCS_P;2022;010780195;CLINIQUE CONVERT;010000156;NAUT;;0;0;1
BLOCS_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M100H;3;;;
