BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST
BRULES_P;2022;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;M1030;2.42;;1;1
BRULES_P;2022;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;M2040;0.25;;0;0
BRULES_P;2022;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2120;0.81;;;
BRULES_P;2022;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2200;32.52;;;
BRULES_P;2022;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2300;3;;;
BRULES_P;2022;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2500;22.52;;;
BRULES_P;2022;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2710;0.3;;;
BRULES_P;2022;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;NAUT;9.41;;;
BRULES_P;2022;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;MAUT;0.93;;;
BRULES_P;2022;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2120;0.33;;;
BRULES_P;2022;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2200;9.67;;;
BRULES_P;2022;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2300;6.89;;;
BRULES_P;2022;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2410;0.5;;;
BRULES_P;2022;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2500;11.6;;;
BRULES_P;2022;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2710;1;;;
BRULES_P;2022;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;NAUT;0.2;;;
BRULES_P;2022;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;M2040;0.1;;0;0
BRULES_P;2022;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2120;1;;;
BRULES_P;2022;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2200;18.42;;;
BRULES_P;2022;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2410;1;;;
BRULES_P;2022;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2500;13.69;;;
BRULES_P;2022;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2710;0.19;;;
BRULES_P;2022;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;NAUT;0.4;;;
BRULES_P;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;M2040;2.4;;;1
BRULES_P;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;M3020;0.1;;;
BRULES_P;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;MAUT;1.4;;;
BRULES_P;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2120;1.67;;;
BRULES_P;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2200;6.71;;;
BRULES_P;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2300;38.15;;;
BRULES_P;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2500;30.26;;;
BRULES_P;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2710;0.5;;;
BRULES_P;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;NAUT;4.43;;;
BRULES_P;2022;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;M1030;0.76;;1;1
BRULES_P;2022;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;M1180;0.1;;;
