BOR;AN;FI;RS;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_B17;CANCERO_D19;CANCERO_D20;CANCERO_D21;CANCERO_D22;CANCERO_D23;CANCERO_E19;CANCERO_E20;CANCERO_E21;CANCERO_E22;CANCERO_E23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_D28;CANCERO_D29;CANCERO_D30;CANCERO_D31;CANCERO_D32;CANCERO_D33;CANCERO_D34;CANCERO_E24;CANCERO_E26;CANCERO_E28;CANCERO_E29;CANCERO_E30;CANCERO_E31;CANCERO_E32;CANCERO_E33;CANCERO_E34
CANCERO;2022;010000024;CH DE FLEYRIAT;010780054;1;1;1;28589;192;27644;7020;1067;1;;;;9393;192;285;8976;1009;37;0;0;2;0;;893;17475;87;0;0;953;0;0;2.66;;10.51;0.4;2.59;;;;;;14;24;;;497;10475;0;0;0;0;0;0;4855;0;3.7;0.98;19.45;9.45;0.4;;5.47;0;0;;;;;;;
CANCERO;2022;010000032;CH BUGEY SUD;010780062;1;0;0;959;0;857;768;0;0;730000015;;;873;0;21;805;113;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;0;226;0;200;369;0;0;010780054;;;151;0;0;149;8;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;1;0;0;0;14;0;0;863;1;;;;0;14;0;0;0;10;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;010780195;CLINIQUE CONVERT;010000156;1;0;1;3766;0;3439;2386;0;1;;;;3328;0;11;3272;390;0;0;0;;;;;;;;;;;;;;;;;;;;;;;15;;;0;3688;0;0;0;3;0;0;0;0;0;0;3.18;0;1;0.5;0.32;0;0;1;4;0;0;0;0;0
CANCERO;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;0;0;224;0;105;583;0;0;690023411;;;26;0;0;26;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;020000162;CH SAINT-QUENTIN;020000063;1;1;1;28079;0;27117;10377;0;1;;;;10201;0;267;9629;976;0;7;0;3;0;;886;16030;201;0;0;860;0;0;3.8;3.78;14.71;;2.2;;;;;;21;30;;;722;11953;0;0;0;1;0;0;7220;0;;;24.12;13.78;2;;8.67;0;0;;;;;;;
CANCERO;2022;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0;0;0;310;0;194;494;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;020000394;CH LAON;020000253;1;0;1;868;0;698;1294;0;1;;;;674;0;0;651;83;0;2;0;;;;;;;;;;;;;;;;;;;;;;31;11;;;2;183;0;0;0;0;0;0;18;0;0.7;;0.96;;;0.08;1;0;0;;;;;;;
CANCERO;2022;020000519;CH SOISSONS;020000261;1;1;1;9673;0;9470;1630;0;1;;;;3500;0;2;3462;353;0;0;0;1;1;;323;5634;19;0;0;271;0;0;;;3.08;;0.47;;;;;;8;14;;;493;3599;0;0;0;0;0;0;2463;0;4.92;;14.04;7;0.05;;6.99;0;0;;;;;;;
CANCERO;2022;020000535;CH CHAUNY;020000287;1;0;1;1830;0;1765;313;0;1;;;;1605;0;0;1547;159;0;0;0;;;;;;;;;;;;;;;;;;;;;;;9;;;0;1603;0;0;0;0;0;0;0;0;1;0.6;2.2;0.99;;;1.08;0;0;;;;;;;
CANCERO;2022;020001061;CH CHÂTEAU-THIERRY;020004404;1;0;1;626;0;544;542;0;0;020000261;;;440;0;1;436;59;0;0;0;;;;;;;;;;;;;;;;;;;;;;;2;;;0;383;0;0;0;0;0;0;0;0;;0.1;1;0.4;;;0.1;0;0;;;;;;;
CANCERO;2022;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1;0;1;2853;0;2557;1987;0;1;;;;2577;0;10;2514;297;0;0;0;;;;;;;;;;;;;;;;;;;;;;;16;;;0;3095;0;0;0;2;0;0;0;0;0.5;;2;0;;;;0;0;1;;;;;;
CANCERO;2022;030000061;CH DE MOULINS;030780092;1;0;1;5441;0;5058;4870;0;1;;;;5262;0;86;5021;513;0;0;0;;;;;;;;;;;;;;;;;;;;;;0;8;0;0;0;5233;0;0;0;0;0;0;0;0;1.84;0;8.19;2.44;0.5;0;3.87;0;0;0;0;0;0;0;0;0
CANCERO;2022;030000079;CH DE MONTLUCON;030780100;1;0;1;3258;6;2924;3448;443;1;;;;2965;6;38;2851;301;6;0;0;;;;;;;;;;;;;;;;;;;;;;11;9;;;413;3281;0;0;0;0;0;0;4456;0;1;1;8.56;6.17;1;;7.21;0;0;;;;;;;
CANCERO;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1;0;1;5858;24;5579;3373;854;1;;;;5486;24;12;5398;554;15;0;0;;;;;;;;;;;;;;;;;;;;;;;32;;;0;7612;0;0;0;5;0;0;0;0;3.57;;10.87;7.71;0.62;0;5;0;0;;;0;0;0;0;0
CANCERO;2022;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;0;1;0;15544;;15042;0;;;;;;;;;;;;;;2;;;502;15042;1112;;;625;;0;;2;6.1;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;0;1;0;8790;;8790;;;;;;;;;;;;;;;2;;;;8790;;;;438;;;;2.5;8.6;;4;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;030780548;POLYCLINIQUE LA PERGOLA;030000194;1;0;1;2263;0;1981;1733;0;1;;;;1913;0;1;1900;151;0;0;0;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1804;0;0;0;0;0;0;0;0;;;2.42;;;;1;0;0;1;7;;;;;
CANCERO;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;0;1;7275;2;6636;6464;68;1;;;;6427;2;64;6241;581;2;0;0;;;;;;;;;;;;;;;;;;;;;;0;22;0;0;0;6290;0;0;0;0;0;0;0;0;;;5;;0.6;0.5;1.3;0;0;5;;;;;;
CANCERO;2022;030785430;POLYCLINIQUE SAINT-ODILON;030009088;1;0;1;1002;0;419;2795;0;1;;;;857;0;481;349;121;0;0;0;;;;;;;;;;;;;;;;;;;;;;;17;;;0;980;0;0;0;0;0;0;0;0;;;2.4;;;;0.96;0;0;1;2;;;;;
CANCERO;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;0;1;3885;0;3703;2314;0;0;040788879;;;3752;0;1;3691;439;0;1;0;;;;;;;;;;;;;;;;;;;;;;0;10;0;0;0;4709;0;0;0;8;0;0;0;0;1;0.66;6.4;0;0.5;0;3.5;0;0;0;0;0;0;0;0;0
