BOR;AN;FI;RS;FI_EJ;AUT;SAL;SALANG;SALHYBCAR;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2022;010000024;CH DE FLEYRIAT;010780054;1;1;;;138;321;148;5;0;143;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;010780195;CLINIQUE CONVERT;010000156;1;2;2;0;1543;2209;1710;170;0;1540;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2022;020000162;CH SAINT-QUENTIN;020000063;1;2;2;;1383;4678;1595;477;0;1118;0;0;0;;;0;0;;0;0;29;0;0
CHIRCAR;2022;020000519;CH SOISSONS;020000261;1;0;1;0;613;1649;641;77;0;564;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;030000061;CH DE MOULINS;030780092;1;1;0;0;210;542;217;201;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2022;030000079;CH DE MONTLUCON;030780100;1;1;1;0;930;2231;1030;47;0;983;0;0;0;;;0;0;;0;0;5;0;0
CHIRCAR;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1;2;2;0;1261;2186;1344;66;0;1278;0;0;0;;;;;;;;21;0;0
CHIRCAR;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;1;1;0;1286;3107;1745;823;0;922;0;0;0;;;0;0;;0;0;39;0;0
CHIRCAR;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;1;2;1;;1220;2919;1345;554;0;791;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;060780715;CLINIQUE SAINT GEORGE;060000361;1;;4;;2173;3842;2459;1115;0;1344;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;2;2;0;1159;3425;1307;559;0;748;0;0;0;;;0;0;;0;0;41;0;0
CHIRCAR;2022;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;1;0;3;1;2008;3612;2331;778;0;1553;1;0;0;2;2;0;467;44;439;24;;3098;1547
CHIRCAR;2022;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;1;1;;;36;136;38;34;0;4;0;0;0;;;0;0;;0;;25;0;0
CHIRCAR;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;0;1;0;209;1070;210;7;0;203;0;0;0;0;0;0;0;0;0;0;14;0;0
CHIRCAR;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;1;1;;941;3396;1116;390;0;726;0;0;0;;;0;0;;0;0;32;0;0
CHIRCAR;2022;110000023;CH CARCASSONNE;110780061;1;;1;;1060;3823;1206;247;0;959;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;110000056;CH NARBONNE;110780137;1;1;1;;67;350;70;62;;8;0;0;0;;;;;;;;;0;0
