BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST
CHIRCAR_P;2022;010780195;CLINIQUE CONVERT;010000156;M1040;0;11;1;0
CHIRCAR_P;2022;010780195;CLINIQUE CONVERT;010000156;N2200;8.28;0;;
CHIRCAR_P;2022;010780195;CLINIQUE CONVERT;010000156;N2310;1.94;0;;
CHIRCAR_P;2022;010780195;CLINIQUE CONVERT;010000156;N2510;4.53;0;;
CHIRCAR_P;2022;010780195;CLINIQUE CONVERT;010000156;N4130;1.11;0;;
CHIRCAR_P;2022;010780195;CLINIQUE CONVERT;010000156;NAUT;1;0;;
CHIRCAR_P;2022;020000162;CH SAINT-QUENTIN;020000063;M103X;1;;0;0
CHIRCAR_P;2022;020000162;CH SAINT-QUENTIN;020000063;M1040;4;;0;1
CHIRCAR_P;2022;020000519;CH SOISSONS;020000261;M1040;7.73;;;
CHIRCAR_P;2022;020000519;CH SOISSONS;020000261;M104H;7.73;;;
CHIRCAR_P;2022;020000519;CH SOISSONS;020000261;MAUT;2.05;;;
CHIRCAR_P;2022;020000519;CH SOISSONS;020000261;N2200;14.33;;;
CHIRCAR_P;2022;020000519;CH SOISSONS;020000261;N2510;9.64;;;
CHIRCAR_P;2022;020000519;CH SOISSONS;020000261;NAUT;6.6;;;
CHIRCAR_P;2022;030000061;CH DE MOULINS;030780092;M1040;5.16;0;0;1
CHIRCAR_P;2022;030000061;CH DE MOULINS;030780092;N2200;10.36;0;;
CHIRCAR_P;2022;030000061;CH DE MOULINS;030780092;N2510;8.84;0;;
CHIRCAR_P;2022;030000061;CH DE MOULINS;030780092;NAUT;3.5;0;;
CHIRCAR_P;2022;030000079;CH DE MONTLUCON;030780100;M1040;1.3;4;0;1
CHIRCAR_P;2022;030000079;CH DE MONTLUCON;030780100;N2320;1.9;;;
CHIRCAR_P;2022;030000079;CH DE MONTLUCON;030780100;N2510;1.3;;;
CHIRCAR_P;2022;030000079;CH DE MONTLUCON;030780100;NAUT;1;;;
CHIRCAR_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;M1040;1;0;0;1
CHIRCAR_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N2200;10.15;0;;
CHIRCAR_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;3.01;0;;
CHIRCAR_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;4.52;0;;
CHIRCAR_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;2.92;0;;
CHIRCAR_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M103X;9.91;;1;0
CHIRCAR_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1040;6.99;3;1;1
CHIRCAR_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1160;8.77;;0;1
CHIRCAR_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2200;5.95;;;
CHIRCAR_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2510;3.86;;;
CHIRCAR_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N4130;3.5;;;
CHIRCAR_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NAUT;0.49;;;
CHIRCAR_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;M1040;2.71;3;1;1
CHIRCAR_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2200;5.39;;;
CHIRCAR_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N4130;1.6;;;
CHIRCAR_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;0.2;;;
CHIRCAR_P;2022;060780715;CLINIQUE SAINT GEORGE;060000361;M103X;;29;0;1
CHIRCAR_P;2022;060780715;CLINIQUE SAINT GEORGE;060000361;M1040;;19;1;1
CHIRCAR_P;2022;060780715;CLINIQUE SAINT GEORGE;060000361;M1160;;22;0;1
CHIRCAR_P;2022;060780715;CLINIQUE SAINT GEORGE;060000361;N2320;2.2;;;
CHIRCAR_P;2022;060780715;CLINIQUE SAINT GEORGE;060000361;N4130;4.2;;;
CHIRCAR_P;2022;060780715;CLINIQUE SAINT GEORGE;060000361;NAUT;2;;;
CHIRCAR_P;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M1040;7.79;;1;1
CHIRCAR_P;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;MAUT;0.03;;1;1
CHIRCAR_P;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2200;34.3;;;
CHIRCAR_P;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2510;28.75;;;
CHIRCAR_P;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N4130;3.19;;;
