BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST
DIALYSE_P;2022;010000024;CH DE FLEYRIAT;010780054;M1110;3.56;;;1
DIALYSE_P;2022;010000024;CH DE FLEYRIAT;010780054;N2500;9.38;;;
DIALYSE_P;2022;010000024;CH DE FLEYRIAT;010780054;NAUT;5.45;;;
DIALYSE_P;2022;010000024;CH DE FLEYRIAT;010780054;NCINF;22.81;;;
DIALYSE_P;2022;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;M1110;0.25;;;1
DIALYSE_P;2022;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;NAUT;0.16;3;;
DIALYSE_P;2022;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;NCINF;5.41;0;;
DIALYSE_P;2022;010011385;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;M1110;0.02;;0;0
DIALYSE_P;2022;010011385;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;N4100;0.04;;;
DIALYSE_P;2022;010011385;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;NAUT;0.11;;;
DIALYSE_P;2022;010011385;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;NCINF;0.6;;;
DIALYSE_P;2022;010780294;NEPHROCARE CH BELLEY;690000278;M1110;1;1;;
DIALYSE_P;2022;010780294;NEPHROCARE CH BELLEY;690000278;N2500;2.44;0;;
DIALYSE_P;2022;010780294;NEPHROCARE CH BELLEY;690000278;N4100;0.5;1;;
DIALYSE_P;2022;010780294;NEPHROCARE CH BELLEY;690000278;NAUT;0.97;0;;
DIALYSE_P;2022;010780294;NEPHROCARE CH BELLEY;690000278;NCINF;12;0;;
DIALYSE_P;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;M1110;1.38;;0;0
DIALYSE_P;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;N4100;0.8;;;
DIALYSE_P;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;NAUT;3.02;;;
DIALYSE_P;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;NCINF;18.68;;;
DIALYSE_P;2022;020000162;CH SAINT-QUENTIN;020000063;M1110;7;;0;1
DIALYSE_P;2022;020000162;CH SAINT-QUENTIN;020000063;N4100;1;;;
DIALYSE_P;2022;020000162;CH SAINT-QUENTIN;020000063;NAUT;7.35;;;
DIALYSE_P;2022;020000162;CH SAINT-QUENTIN;020000063;NCINF;31.78;;;
DIALYSE_P;2022;020000394;CH LAON;020000253;M1110;3.53;;0;1
DIALYSE_P;2022;020000394;CH LAON;020000253;N2500;2.8;;;
DIALYSE_P;2022;020000394;CH LAON;020000253;NAUT;4.8;;;
