NOM_COURT_GHT;CODE_GHT;NOM_COMPLET_GHT;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;CAP_HTP_GEN;CAP_HTP_INF;CAP_HTP_PEN;CAP_HTP_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;JOU_USLD;PLATOT_HAD;SEJ_HAD;JOU_HAD;FIL_HAD;BIO_B2;BIO_B3;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;NB_MAMM;ACTEX_MAMM;NB_LITHO;ACT_LITHO;NB_RADIO;ACT_RADIO;NB_VASC;ACT_VASC;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_C10;BLOCS_C11;BLOCS_C12;BLOCS_C13;BLOCS_C14;BLOCS_C15;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A16_POURCENTOUI;PHARMA_A17_POURCENTOUI;PHARMA_A18_POURCENTOUI;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;EFF_INT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRSOI;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRSOI;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_ETAB;NB_CHRCHU;NB_CH;NB_CHS;NB_AUT
ARA-01;84101;ALLIER PUY-DE-DÔME;1751;515;194;2460;86185;28472;12936;127593;562690;141841;44413;748944;165;71;19;255;27659;21722;3066;52447;829;65;0;894;483;31;0;514;4591;208;0;4799;170;82;0;252;24322;8716;0;33038;0;0;0;0;0;0;13141;4469;0;17612;18684;5373;2;23940;674;5458;188030;10990;43;584;329;193879;100;1164;31178;825;;;16;155157;8;38833;1;8457;;;6;6670;2;1289;37;214873;7;15493;11;51;4;8;4;17;0;14;0;3;0;93;8;1;16;3;2;105;12;13;48726;6747;7600;3134;28955;1399;2267;699;649;517;2372;42.9;7.1;14.3;1007;186;88;152;199;63;99;69;83;117;1574;49;12;0;0;4;0;0;0;0;1;54;771.38;128.63;70.74;131.52;154.77;48.36;74.26;29.57;74;81.06;1185.04;852;688.49;231;243;489;3915;3420;1589;182;277;10346;50;8;1547;186;96;157;369;272;17;2036;4642;14988;207.38;232;451.04;3723.46;3246.62;1528.53;142.66;232.55;9764.24;47.68;8.2;1466.04;172.66;91.13;142.56;347.56;259.84;11.41;1960.98;4416.93;14181.17;20;4;15;1;
ARA-02;84102;SAVOIE BELLEY;872;302;132;1306;44016;18237;6072;68325;259631;76869;24606;361106;92;84;19;195;5762;15577;1145;22484;230;10;0;240;200;10;0;210;1826;256;;2082;77;28;;105;3759;712;;4471;0;;0;0;;0;7804;4765;1155;13582;9059;4876;1179;14922;293;2442;83316;7000;34;173;131;58709;68;1910;31144;769;;;9;70505;5;15240;3;8778;1;9212;2;4605;1;276;15;155645;2;2885;7;23;4;4;2;1;1;3;0;0;0;31;7;10;5;2;2;47;11;22;30009;4051;1396;357;14333;306;1207;210;307;143;1200;50;0;20;590;118;131;58;126;41;53;10;56;23;858;1;0;0;0;7;0;;;0;3;11;468.46;83.29;106.49;52.55;99;30.83;44.9;7.35;51.71;16.94;688.36;137;161.57;123;128;221;1833;1208;582;144;182;4421;37;5;982;116;59;90;97;146;12;814;2299;6720;106.76;123.54;193.27;1674.64;1117.03;523.9;107.07;144.19;3990.4;33.65;5.25;874.65;98.55;51.64;79.71;91.24;131.69;11.36;763.8;2089.9;6080.3;13;;11;1;1
ARA-03;84103;BRESSE HAUT-BUGEY;399;88;64;551;20195;8317;4390;32902;118294;21276;13352;152922;29;28;1;58;2124;1387;95;3606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;353;4019;106565;3204;13;154;111;50612;45;560;12846;305;;;3;24942;4;11940;;;;;;;;;9;51459;1;319;3;12;;3;3;0;;3;;1;;20;3;;3;;;27;;;10161;1208;160;323;6010;47;473;0;343;139;765;33.3;0;0;229;72;27;30;51;12;;2;33;8;323;5;4;0;0;4;4;;;0;0;9;171.9;51.05;21.59;25.32;40.51;10.01;;1.61;24.29;3.81;242.12;68;65.3;60;55;111;701;749;271;36;111;2094;18;5;428;29;20;59;44;46;4;452;1085;3179;54.04;50.16;100.22;647.79;675.81;249.46;22.54;70.31;1870.33;11.55;2.81;364.52;16.26;12.84;47.04;42.43;44.49;5.05;393.21;927.36;2797.69;12;;10;;2
ARA-04;84104;CANTAL;345;69;33;447;14144;3911;1985;20040;98921;18034;6076;123031;33;16;0;49;2862;2785;0;5647;132;14;;146;125;10;;135;1576;405;;1981;57;22;;79;6934;3496;;10430;1;;1;17;;17;3108;1031;114;4240;3623;1142;114;4863;186;1428;44715;1537;15;142;98;47878;15;672;5246;222;;;2;25730;2;8065;;;;;2;2486;;;8;44737;1;4782;3;9;3;2;2;1;1;2;1;0;0;15;7;0;2;1;0;17;1;0;6087;891;1004;164;4410;26;487;149;242;142;434;16.7;0;0;139;24;29;19;36;9;11;1;11;13;211;1;;;;;;;;;;1;106.5;22.25;27.58;14.51;29.91;5.6;8.9;0.5;11.49;10.24;167.54;77;64.61;34;40;59;641;595;274;36;50;1729;10;3;297;66;19;34;24;36;6;321;797;2526;34.49;40.75;58.06;601.66;542.13;240.05;25.67;40.78;1583.59;8.86;2.92;262.39;45.14;15.34;30.79;23.86;31.11;5.23;303.52;713.82;2297.41;8;;8;;
ARA-05;84105;ALPES DAUPHINÉ;818;424;90;1332;45025;19886;6947;71858;300201;107268;25880;433349;154;48;18;220;21877;11763;3562;37202;314;22;0;336;298;20;0;318;3025;221;0;3246;100;104;22;226;9949;13797;4208;27954;0;1;1;0;0;0;12437;5208;1275;18551;14845;5713;1326;22720;438;4402;114691;17983;54;346;178;105229;112;3149;24409;895;;;7;213277;6;66373;4;15361;1;10070;2;5712;1;0;26;199367;4;16666;5;45;7;3;1;14;;8;;;;70;8;;8;3;;48;14;;41271;4058;3284;1975;11750;350;1487;323;452;346;802;22.2;22.2;22.2;960;157;100;158;181;43;130;3;101;128;1503;18;;4;;11;8;;;;;29;615.43;78.38;30.2;119.63;123.55;26.24;112.62;1.1;79.96;94.63;1027.29;591;530.15;137;215;465;2657;1790;1055;281;381;6981;40;4;1418;203;114;116;314;215;36;1379;3725;10706;115.53;203.89;417.83;2506.07;1649;982.68;203.99;303.84;6382.83;39.2;4;1311.02;172.65;98.85;103.64;297.24;200.72;33.21;1312.11;3473.79;9856.62;11;4;6;1;
ARA-06;84106;HAUTE-LOIRE;321;103;21;445;18886;5808;1347;26041;93026;28668;5140;126834;27;25;2;54;1833;7633;185;9651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;107;1258;35615;1494;9;145;94;49982;64;558;15062;404;;;3;46787;2;18290;;;;;1;2526;;;6;52758;1;922;2;10;1;1;1;1;0;2;0;0;0;14;2;2;3;1;1;20;14;2;11103;809;439;347;5331;28;466;0;107;145;816;20;20;0;140;34;25;17;37;8;2;2;17;13;211;25;19;;;;;;;;;25;111.75;21.63;20.85;16.72;32.24;4.91;0.6;0.73;14.56;7.74;167.62;71;70.63;33;40;68;605;556;287;20;49;1658;11;1;283;22;13;37;47;57;4;234;696;2354;23.71;35.2;59.74;551.67;500.42;230.45;13.14;37.79;1452.12;10.29;1.9;264.18;15.2;10.47;33.49;39.47;50.23;3.35;205.03;623.14;2075.26;5;;5;;
ARA-07;84107;LÉMAN MONT-BLANC;591;152;83;826;29918;9914;6784;46616;187150;40791;23136;251077;43;49;1;93;5992;11119;1121;18232;208;0;0;208;208;0;0;208;1845;;;1845;58;29;;87;9735;1861;;11596;5;;5;0;;0;5309;2425;;7702;6602;2509;353;9071;67;522;20391;0;0;110;62;35124;62;1421;19667;765;;;4;49076;4;24408;3;6535;1;8913;2;3155;;;10;96109;;;4;16;4;3;3;1;0;4;1;1;0;25;8;1;4;2;;37;15;;19069;3587;200;551;13007;79;897;208;130;160;1478;33.3;0;33.3;371;77;59;60;86;32;40;3;27;18;545;8;0;;;5;;;1;;;14;274.07;56.84;44.76;45.72;76.2;23.43;40.87;0.14;23.22;13.24;427.74;128;110.73;120;79;97;1123;828;358;103;116;2824;52;3;615;108;41;63;78;77;8;619;1623;4447;102;71.79;87.97;1047.94;788.52;340.2;81.83;84.51;2604.76;46.09;3.78;559.46;88.7;35.84;51.97;69.12;70.06;7.18;559.36;1455.72;4060.48;9;;6;1;2
ARA-08;84108;GENEVOIS ANNECY ALBANAIS;551;151;83;785;30047;9275;5987;45309;170636;43469;22322;236427;50;27;;77;5634;8124;1;13759;87;;;87;69;;;69;882;10;;892;20;28;;48;2891;2122;;5013;;;;;;;4468;2360;;6606;5645;2461;;7835;147;843;32110;6813;25;135;56;41744;35;412;10821;286;;;4;44904;3;11811;;;;;1;2488;1;81;8;67556;3;6068;12;14;2;3;2;3;1;10;0;0;0;31;6;6;3;1;1;23;14;12;17869;2861;2061;611;7745;193;800;95;147;185;572;25;0;0;425;87;68;62;71;20;40;7;32;19;594;;;;;5;;;;;;5;336.76;55.66;60.92;53.89;64.9;19.06;33.3;0.45;27.28;17.73;480.42;115;118.07;87;66;127;1164;890;393;79;124;2930;15;2;517;76;46;67;67;76;10;505;1335;4265;76.55;64.76;115.65;1061.99;817.19;347.31;56.61;95.45;2635.51;12.57;1.7;551.8;64.56;43.56;55.51;62.79;70.34;9.03;449.03;1277.33;3912.84;7;;6;;1
ARA-09;84109;LOIRE;1479;400;190;2069;83226;18989;11983;114198;455285;106443;40497;602225;141;101;14;256;24915;24008;2208;51131;289;12;0;301;253;11;0;264;3593;264;0;3857;171;64;0;235;17256;12584;0;29840;0;0;0;0;0;0;13532;3603;748;17762;16936;3990;768;21639;731;6685;197901;13666;66;420;311;138498;50;338;11561;236;;;10;162691;6;39485;3;7929;2;4244;4;6864;1;34;29;219383;4;7882;12;52;6;6;3;9;3;13;1;5;1;86;14;0;10;3;0;84;19;0;48763;5834;4397;1195;22609;1192;4218;624;943;740;2027;23.5;5.9;17.6;986;313;55;119;224;61;102;4;103;91;1510;6;6;;0;3;0;;;0;4;13;685.89;222.53;44.39;82.52;152.22;42.68;64.89;2.94;80.39;58.84;1045.17;775;775.92;206;226;351;3610;2490;1050;202;309;8444;48;7;1711;192;114;157;314;257;80;1610;4376;12820;189.65;222.53;316.97;3345.48;2290.04;977.46;142.69;223.85;7708.67;41.58;5.57;1549.01;160.55;97.98;135.17;282.02;235.97;67.41;1458.54;3935.82;11644.49;24;5;18;;1
ARA-10;84110;RHÔNE CENTRE;2311;805;283;3399;95906;36849;18714;151469;651414;173778;75479;900671;339;128;44;511;75686;25303;6660;107649;;24;;24;;24;;24;;797;;797;;9;;9;;1035;;1035;;;;;;;;;;;;328;;328;788;6779;200186;22402;88;467;191;130099;;;;;;;14;138395;10;49487;5;11834;3;6323;4;4643;;;34;206660;13;18374;19;92;10;7;6;15;1;16;;11;;144;17;4;22;5;1;196;17;8;88283;11889;6457;3163;32408;1212;3561;0;642;383;2050;55.6;22.2;55.6;1423;188;85;224;321;71;37;45;88;657;2571;8;;;;2;1;;;;;10;851.04;83.62;56.83;169.74;175.21;42.71;24.81;15.9;69.5;718.61;1855.07;1057;1126.66;313;310;844;4312;4022;623;201;640;11265;94;5;1746;171;108;220;719;415;5;1898;5273;16538;282.41;329.35;776.68;4291.63;3844.77;661.33;145.61;517.35;10849.13;181.03;8.67;2045.16;159.07;110.03;236.32;694.7;399.72;4.86;2734.89;6464.42;17313.55;15;12;3;;
