BOR;AN;FI;RS;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;AUTOBS;AUTSSR;AUTCAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2022;010000024;CH DE FLEYRIAT;010780054;0;;;;;234972;1;1;0;1;1;1;;;1;0;0;0;45;560;0;116;269;12846;0;2535;4387;305;0;101;86;80;37;17;25;0;8;0
HAD;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;1;2;010005379;010005429;;140200;0;0;0;0;1;1;;;1;0;0;0;60;445;0;198;29;17968;0;6186;1693;336;0;157;22;174;98;4;102;0;63;0
HAD;2022;020000089;CH GUISE;020000022;0;;;;;112858;0;0;0;0;1;0;1;0;1;0;0;0;30;250;0;106;0;10582;0;4362;0;152;0;72;0;50;30;0;8;0;6;0
HAD;2022;020004297;HAD AMSAM SOISSONS;020005179;1;2;020004297;020004297;;438483;1;0;0;0;1;1;1;0;1;0;0;0;70;389;0;135;17;11538;0;4737;561;250;0;100;7;63;41;0;23;0;18;0
HAD;2022;020010898;HAD CRF CHAUNY;750721334;0;;;;;54000;1;1;0;0;1;0;0;0;1;0;1;1;25;138;0;44;5;6435;0;1854;55;88;0;30;3;17;8;0;3;0;1;0
HAD;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;0;;;;;130000;0;0;0;0;1;0;1;0;1;0;0;0;55;445;0;185;10;20023;0;8746;435;269;0;118;8;110;61;0;28;0;14;0
HAD;2022;030000061;CH DE MOULINS;030780092;0;;;;;100000;1;1;0;0;1;1;;;1;0;0;0;20;323;0;108;7;4714;0;1815;36;250;0;84;6;89;44;1;52;0;22;0
HAD;2022;030000079;CH DE MONTLUCON;030780100;0;;;;;127571;1;1;0;0;0;0;0;0;1;0;0;0;30;219;0;59;33;8203;0;1894;1551;155;0;57;25;56;32;3;29;0;16;0
HAD;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1;2;630000446;630000412;;;1;0;0;0;1;1;;;1;0;0;1;50;622;0;171;52;18261;0;7507;1657;420;0;143;38;106;37;6;49;0;10;0
HAD;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;0;;;;;64000;0;0;0;0;1;1;0;0;1;0;0;0;20;94;0;5;2;3491;0;100;68;69;0;5;2;32;3;0;11;0;0;0
HAD;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;3;050000348;;;;1;;;1;1;1;;;1;0;0;0;40;485;2;225;18;13659;54;5031;1255;383;1;200;17;181;120;3;79;0;58;0
HAD;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;0;;;;;135855;1;1;0;0;1;1;1;0;1;0;0;1;22;202;0;47;0;6676;0;787;0;144;0;42;0;64;25;0;44;0;14;0
HAD;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;0;;;;;187140;1;1;0;0;1;0;1;0;1;0;0;1;25;211;0;48;4;7331;0;1068;159;149;0;43;4;70;24;0;1;0;0;0
HAD;2022;060006558;HAD ARNAULT TZANCK;060798865;0;;;;;340000;1;0;0;1;1;0;1;1;1;0;0;0;30;184;0;71;4;8446;0;2341;205;134;0;57;4;77;42;1;39;0;15;0
HAD;2022;060785243;HAD NICE & REGION;060001484;1;3;060785243;;;;0;0;0;0;1;0;1;0;1;0;0;0;300;1932;0;602;27;100799;0;18908;1298;1495;0;509;18;888;343;3;537;0;148;0
HAD;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;0;;;;;85000;1;1;0;;1;1;0;0;1;0;0;0;34;515;0;227;62;11357;0;5069;702;387;0;207;17;166;116;4;105;0;80;0
HAD;2022;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;0;;;;;63000;0;0;0;0;1;1;;;1;0;0;0;18;170;0;65;1;4807;0;2029;3;122;0;52;1;43;21;0;21;0;9;0
