BOR;AN;FI;RS;FI_EJ;PERSO;ETPS;NBLIB
HAD_P;2022;010000024;CH DE FLEYRIAT;010780054;M9999;1.97;
HAD_P;2022;010000024;CH DE FLEYRIAT;010780054;MAUT;1.97;
HAD_P;2022;010000024;CH DE FLEYRIAT;010780054;N2120;0.08;
HAD_P;2022;010000024;CH DE FLEYRIAT;010780054;N2210;7.71;
HAD_P;2022;010000024;CH DE FLEYRIAT;010780054;N2710;0.37;
HAD_P;2022;010000024;CH DE FLEYRIAT;010780054;N9999;10.16;
HAD_P;2022;010000024;CH DE FLEYRIAT;010780054;NAUT;2;
HAD_P;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M3050;0.5;
HAD_P;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M9999;1.96;
HAD_P;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;Mcoor;1.46;
HAD_P;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2120;0.99;
HAD_P;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2710;0.33;
HAD_P;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N3120;0.68;
HAD_P;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N9999;11;
HAD_P;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;4.14;
HAD_P;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;Ncoor;4.86;
HAD_P;2022;020000089;CH GUISE;020000022;M3050;0.4;0
HAD_P;2022;020000089;CH GUISE;020000022;M9999;0.8;73
HAD_P;2022;020000089;CH GUISE;020000022;MAUT;0;73
HAD_P;2022;020000089;CH GUISE;020000022;Mcoor;0.4;
HAD_P;2022;020000089;CH GUISE;020000022;N2120;0.5;
HAD_P;2022;020000089;CH GUISE;020000022;N2210;2;148
HAD_P;2022;020000089;CH GUISE;020000022;N2410;0;44
HAD_P;2022;020000089;CH GUISE;020000022;N2510;24;
HAD_P;2022;020000089;CH GUISE;020000022;N3120;0.09;
HAD_P;2022;020000089;CH GUISE;020000022;N9999;28.89;203
HAD_P;2022;020000089;CH GUISE;020000022;NAUT;0.3;11
HAD_P;2022;020000089;CH GUISE;020000022;Ncoor;2;
HAD_P;2022;020004297;HAD AMSAM SOISSONS;020005179;M3050;0.21;
HAD_P;2022;020004297;HAD AMSAM SOISSONS;020005179;M9999;0.71;
HAD_P;2022;020004297;HAD AMSAM SOISSONS;020005179;Mcoor;0.5;
HAD_P;2022;020004297;HAD AMSAM SOISSONS;020005179;N2120;0.32;
HAD_P;2022;020004297;HAD AMSAM SOISSONS;020005179;N2210;4.16;
HAD_P;2022;020004297;HAD AMSAM SOISSONS;020005179;N2510;13.41;
HAD_P;2022;020004297;HAD AMSAM SOISSONS;020005179;N2710;0.63;
HAD_P;2022;020004297;HAD AMSAM SOISSONS;020005179;N3120;0.47;
HAD_P;2022;020004297;HAD AMSAM SOISSONS;020005179;N9999;21.12;
HAD_P;2022;020004297;HAD AMSAM SOISSONS;020005179;Ncoor;2.13;
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;M9999;0.07;17
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;MAUT;;17
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;Mcoor;0.07;
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;N2120;0.5;
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;N2210;0;30
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;N2410;0;1
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;N2510;3.03;
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;N2710;0.08;0
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;N3120;0.33;
