FI;FI_EJ;AN;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFF_INT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRSOI;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRSOI;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
010000099;010780120;2022;10;;;10;170;0;0;170;2670;0;0;2670;0;;;0;0;0;0;0;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;261;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;;;1;2;7;;;;;;;;;;0;;0;2.2;0.58;;;;;;;0.94;0.1;3.24;;;1;;9;23;8;1;5;47;2;;8;2;1;2;;;1;18;33;80;;1;;7.8;14.48;6.21;0.5;1.45;31.44;0.63;;3.29;0.5;0.3;1.53;;;1;6.59;13.54;44.98;;;;;;;;1;1;0;;;;;;;;;;
010000107;010780138;2022;15;;;15;177;0;0;177;2259;0;0;2259;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;263;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;1;;4;;;;;;;;;;;;;2.6;;;;;;;;0.48;;3.08;;;1;;10;14;4;;2;31;1;;11;2;1;2;;;;21;37;68;;0.51;;9.17;13.58;4.68;0.22;1.18;29.34;0.17;;2.9;0.82;0.5;0.3;;;;3.5;7.69;37.03;;;;;;;;1;1;0;;;;;;;;;;
010000115;010009132;2022;12;0;0;12;72;0;0;72;1468;0;0;1468;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;106;0;;30;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;1;;5;;;;;;;;;;;;;1.79;0.79;;;;;;;0.54;;2.33;;;3;;14;27;25;1;7;77;2;1;8;2;1;3;;;;19;35;112;;1.64;;12.96;21.44;24.16;0.88;3.88;64.96;0.52;0.26;3.5;0.71;0.61;1.56;;;;13.87;20.42;85.38;;;;;;;;;;;;;;;;;;;;
010000131;010009132;2022;8;0;0;8;126;0;0;126;2106;0;0;2106;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;257;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;4;;;;;;;;;;;;;1.4;;;;;;;;0.48;;1.88;;;1;;15;14;12;1;5;48;2;1;9;2;1;1;;;;12;27;75;;1;;12.81;11.21;11.94;0.4;2.08;39.44;0.6;0.3;4.69;0.77;0.49;0.5;;;;8.13;14.99;54.43;;;;;;;;1;1;0;;;;;;;;;;
020000089;020000022;2022;28;0;0;28;839;0;0;839;7157;0;0;7157;0;0;0;0;0;0;0;0;;10168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;369;0;;30;13;30;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;5;;;;;;;2;2;13;1;;;;;;;;;;;;4.4;3.1;;;;;;;2;0.3;6.7;1;;5;;47;85;33;1;3;174;1;;22;2;2;4;;2;;23;54;228;;4.5;;46.26;81.35;32.57;0.7;2.7;168.08;1;;19.63;1.47;1.47;3.71;;1.86;;22.5;50.17;218.25;;;;;;;;1;1;0;;;;;;;;;;
020000097;020000048;2022;38;;;38;664;0;0;664;10313;0;0;10313;;;;;0;0;0;0;;830;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;288;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;;;;;1;;1;1;8;;;;;;;;;;;;;5.49;3.49;;;;;1;;1.1;0.33;7.92;0.88;;2;;24;45;16;2;2;91;;;20;2;1;2;;;;16;40;131;;2;;23.71;43.14;15.19;2;2;88.04;;;19.71;2;1;1.86;;;;15.72;39.29;127.33;;;;;;;;1;1;0;;;;;;;;;;
020000105;020000055;2022;15;;;15;276;0;0;276;2871;0;0;2871;;;;;0;0;0;0;;1802;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;213;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;;;;;;;;2;7;;1;;;;1;;;;2;3;7;1.93;1.6;;;;;;;;0.12;2.05;;;1;;11;16;10;1;2;41;1;;8;1;1;;;;;18;28;69;;0.54;;10.13;13.91;7.91;0.16;0.79;33.44;1;;8;0.1;0.1;;;;;16.57;25.67;59.11;;;;;;;;;;;;;;;;;;;;
020000246;020000071;2022;26;;;26;392;0;0;392;5966;0;0;5966;;;;;0;0;0;0;;1589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;243;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;;;4;;;;;;;;;;;;;2.1;2.1;;;;;;;;;2.1;;;3;;20;35;10;3;4;75;;;11;1;;;;;;17;29;104;;1.76;;17.34;27.2;12.22;1;2.47;61.99;;;7.65;0.91;0.08;;;;;17.14;25.7;87.69;;;;;;;;;;;;;;;;;;;;
020001087;020004495;2022;60;;;60;3224;0;0;3224;15402;0;0;15402;4;;;4;331;0;0;331;;10491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;266;0;;;;;;1;14185;0;;1;0;0;0;0;;0;0;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;0;25;4;9;2;;;1;;2;2;30;;;;;;;;;;;;;21.19;6.15;9.65;0.63;;;0.6;;1.8;0.55;24.14;;;7;;57;50;18;2;4;138;2;;41;4;1;4;3;6;1;36;97;235;;4.57;;49.59;46.94;17.37;0.92;3.73;123.12;2;;35.27;1.63;0.5;3.26;3;5.7;0.25;30.55;81.66;204.78;;;;;;;;1;1;0;1;;;;;;;;;
030000095;030780126;2022;8;;;8;113;0;0;113;1588;0;0;1588;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;427;173;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;1;;4;;;;;;;;;;;;;1.8;1.7;;;;;;;1;;2.8;;;2;;12;14;20;;2;50;;;19;2;1;;;;4;25;50;100;;1.5;;9.58;12.29;17.97;;3.56;44.9;;;15.22;1.73;0.8;;;;3.33;23.07;43.35;88.25;;;;;;;;1;1;0;;;;;;;;;;
